,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,in_player_num,in_player_name,out_player_num,out_player_name,timeout,challange
0,20221113,PFU,トヨタ車体,0,0,*,a,サーブ,18,山上,0,1,2799,,,,,,,
1,20221113,PFU,トヨタ車体,0,0,*,*,レシーブ失敗,18,アコスタ,1,1,2799,,,,,,,
2,20221113,PFU,トヨタ車体,0,0,*,*,アタック,23,バルデス,1,1,2799,,,,,,,
3,20221113,PFU,トヨタ車体,0,0,*,a,アタック,1,鴫原,2,1,2799,,,,,,,
4,20221113,PFU,トヨタ車体,0,0,*,*,アタック失敗,23,バルデス,3,1,2799,,,,,,,
5,20221113,PFU,トヨタ車体,0,1,a,a,,,,3,1,2799,得点,,,,,,
6,20221113,PFU,トヨタ車体,0,1,a,a,サーブ,18,山上,0,1,2799,,,,,,,
7,20221113,PFU,トヨタ車体,0,1,a,*,レシーブ成功(優),35,志摩,1,1,2799,,,,,,,
8,20221113,PFU,トヨタ車体,0,1,a,*,アタック,18,アコスタ,1,1,2799,,,,,,,
9,20221113,PFU,トヨタ車体,0,1,a,*,アタック,23,バルデス,2,1,2799,,,,,,,
10,20221113,PFU,トヨタ車体,0,1,a,a,アタック失敗,1,鴫原,3,1,2799,,,,,,,
11,20221113,PFU,トヨタ車体,1,1,*,*,,,,3,1,2799,得点,,,,,,
12,20221113,PFU,トヨタ車体,1,1,*,*,サーブ,18,アコスタ,0,1,2799,,,,,,,
13,20221113,PFU,トヨタ車体,1,1,*,a,レシーブ成功(良),13,立石,1,1,2799,,,,,,,
14,20221113,PFU,トヨタ車体,1,1,*,a,アタック,5,周田,1,1,2799,,,,,,,
15,20221113,PFU,トヨタ車体,1,1,*,*,アタック,35,志摩,2,1,2799,,,,,,,
16,20221113,PFU,トヨタ車体,1,1,*,*,アタック,35,志摩,3,1,2799,,,,,,,
17,20221113,PFU,トヨタ車体,1,1,*,*,アタック,23,バルデス,4,1,2799,,,,,,,
18,20221113,PFU,トヨタ車体,1,1,*,a,アタック,9,ダニエル,5,1,2799,,,,,,,
19,20221113,PFU,トヨタ車体,1,1,*,*,ブロック成功,2,瀬戸,6,1,2799,,,,,,,
20,20221113,PFU,トヨタ車体,2,1,*,*,,,,6,1,2799,得点,,,,,,
21,20221113,PFU,トヨタ車体,2,1,*,*,サーブ,18,アコスタ,0,1,2799,,,,,,,
22,20221113,PFU,トヨタ車体,2,1,*,a,レシーブ失敗,13,立石,1,1,2799,,,,,,,
23,20221113,PFU,トヨタ車体,2,1,*,a,アタック,9,ダニエル,1,1,2799,,,,,,,
24,20221113,PFU,トヨタ車体,2,1,*,a,アタック成功,1,鴫原,2,1,2799,,,,,,,
25,20221113,PFU,トヨタ車体,2,2,a,a,,,,2,1,2799,得点,,,,,,
26,20221113,PFU,トヨタ車体,2,2,a,a,サーブ,1,鴫原,0,1,2799,,,,,,,
27,20221113,PFU,トヨタ車体,2,2,a,*,レシーブ失敗,35,志摩,1,1,2799,,,,,,,
28,20221113,PFU,トヨタ車体,2,2,a,*,アタック,23,バルデス,1,1,2799,,,,,,,
29,20221113,PFU,トヨタ車体,2,2,a,*,アタック成功,35,志摩,2,1,2799,,,,,,,
30,20221113,PFU,トヨタ車体,3,2,*,*,,,,2,1,2799,得点,,,,,,
31,20221113,PFU,トヨタ車体,3,2,*,*,サーブ,2,瀬戸,0,1,2799,,,,,,,
32,20221113,PFU,トヨタ車体,3,2,*,a,レシーブ成功(良),13,立石,1,1,2799,,,,,,,
33,20221113,PFU,トヨタ車体,3,2,*,a,アタック成功,9,ダニエル,1,1,2799,,,,,,,
34,20221113,PFU,トヨタ車体,3,3,a,a,,,,1,1,2799,得点,,,,,,
35,20221113,PFU,トヨタ車体,3,3,a,*,,,,0,1,2799,,IN:10,綿引,OUT:2,瀬戸,,
36,20221113,PFU,トヨタ車体,3,3,a,a,サーブ,5,周田,0,1,2799,,,,,,,
37,20221113,PFU,トヨタ車体,3,3,a,*,レシーブ成功(優),35,志摩,1,1,2799,,,,,,,
38,20221113,PFU,トヨタ車体,3,3,a,*,アタック成功,35,志摩,1,1,2799,,,,,,,
39,20221113,PFU,トヨタ車体,4,3,*,*,,,,1,1,2799,得点,,,,,,
40,20221113,PFU,トヨタ車体,4,3,*,*,サーブ,23,バルデス,0,1,2799,,,,,,,
41,20221113,PFU,トヨタ車体,4,3,*,a,レシーブ成功(良),16,大川,1,1,2799,,,,,,,
42,20221113,PFU,トヨタ車体,4,3,*,a,アタック,20,ハッタヤ,1,1,2799,,,,,,,
43,20221113,PFU,トヨタ車体,4,3,*,*,アタック,35,志摩,2,1,2799,,,,,,,
44,20221113,PFU,トヨタ車体,4,3,*,a,アタック,9,ダニエル,3,1,2799,,,,,,,
45,20221113,PFU,トヨタ車体,4,3,*,*,ブロック成功,12,ジャン,4,1,2799,,,,,,,
46,20221113,PFU,トヨタ車体,5,3,*,*,,,,4,1,2799,得点,,,,,,
47,20221113,PFU,トヨタ車体,5,3,*,*,サーブミス,23,バルデス,0,1,2799,,,,,,,
48,20221113,PFU,トヨタ車体,5,4,a,a,,,,0,1,2799,得点,,,,,,
49,20221113,PFU,トヨタ車体,5,4,a,a,サーブミス,9,ダニエル,0,1,2799,,,,,,,
