,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,challange,timeout,in_player_num,in_player_name,out_player_num,out_player_name
0,20230319,PFU,埼玉上尾,0,0,*,*,サーブ,2,岩崎,0,1,2954,,,,,,,
1,20230319,PFU,埼玉上尾,0,0,*,a,レシーブ失敗,10,石川,1,1,2954,,,,,,,
2,20230319,PFU,埼玉上尾,0,0,*,a,アタック,7,クラン,1,1,2954,,,,,,,
3,20230319,PFU,埼玉上尾,0,0,*,*,アタック,24,ロゾ,2,1,2954,,,,,,,
4,20230319,PFU,埼玉上尾,0,0,*,a,アタック,10,石川,3,1,2954,,,,,,,
5,20230319,PFU,埼玉上尾,0,0,*,a,アタック,7,クラン,4,1,2954,,,,,,,
6,20230319,PFU,埼玉上尾,0,0,*,a,アタック,11,野呂,5,1,2954,,,,,,,
7,20230319,PFU,埼玉上尾,0,0,*,*,アタック,24,ロゾ,6,1,2954,,,,,,,
8,20230319,PFU,埼玉上尾,0,0,*,a,ブロック成功,11,野呂,7,1,2954,,,,,,,
9,20230319,PFU,埼玉上尾,0,1,a,a,,,,7,1,2954,得点,,,,,,
10,20230319,PFU,埼玉上尾,0,1,a,a,サーブ,12,大崎,0,1,2954,,,,,,,
11,20230319,PFU,埼玉上尾,0,1,a,*,レシーブ失敗,24,ロゾ,1,1,2954,,,,,,,
12,20230319,PFU,埼玉上尾,0,1,a,*,アタック,9,内瀬戸,1,1,2954,,,,,,,
13,20230319,PFU,埼玉上尾,0,1,a,a,アタック,7,クラン,2,1,2954,,,,,,,
14,20230319,PFU,埼玉上尾,0,1,a,*,アタック,3,サンティアゴ,3,1,2954,,,,,,,
15,20230319,PFU,埼玉上尾,0,1,a,a,アタック失敗,11,野呂,4,1,2954,,,,,,,
16,20230319,PFU,埼玉上尾,1,1,*,*,,,,4,1,2954,得点,,,,,,
17,20230319,PFU,埼玉上尾,1,1,*,*,サーブ,24,ロゾ,0,1,2954,,,,,,,
18,20230319,PFU,埼玉上尾,1,1,*,a,レシーブ失敗,10,石川,1,1,2954,,,,,,,
