,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,timeout,challange,in_player_num,in_player_name,out_player_num,out_player_name
0,20221113,デンソー,KUROBE,0,0,*,a,サーブミス,13,梅津,0,1,2797,,,,,,,
1,20221113,デンソー,KUROBE,1,0,*,*,,,,0,1,2797,得点,,,,,,
2,20221113,デンソー,KUROBE,1,0,*,*,サーブ,6,中元,0,1,2797,,,,,,,
3,20221113,デンソー,KUROBE,1,0,*,a,レシーブ成功(良),19,福本,1,1,2797,,,,,,,
4,20221113,デンソー,KUROBE,1,0,*,a,アタック,26,コクラム,1,1,2797,,,,,,,
5,20221113,デンソー,KUROBE,1,0,*,a,アタック,4,イヴェギン,2,1,2797,,,,,,,
6,20221113,デンソー,KUROBE,1,0,*,a,アタック,10,山口,3,1,2797,,,,,,,
7,20221113,デンソー,KUROBE,1,0,*,*,アタック,6,中元,4,1,2797,,,,,,,
8,20221113,デンソー,KUROBE,1,0,*,a,アタック,4,イヴェギン,5,1,2797,,,,,,,
9,20221113,デンソー,KUROBE,1,0,*,a,その他ミス,5,菊池,6,1,2797,,,,,,,
10,20221113,デンソー,KUROBE,2,0,*,*,,,,6,1,2797,得点,,,,,,
11,20221113,デンソー,KUROBE,2,0,*,*,サーブ,6,中元,0,1,2797,,,,,,,
12,20221113,デンソー,KUROBE,2,0,*,a,レシーブ失敗,13,梅津,1,1,2797,,,,,,,
13,20221113,デンソー,KUROBE,2,0,*,a,アタック,4,イヴェギン,1,1,2797,,,,,,,
14,20221113,デンソー,KUROBE,2,0,*,*,アタック,31,ネリマン,2,1,2797,,,,,,,
15,20221113,デンソー,KUROBE,2,0,*,a,アタック,10,山口,3,1,2797,,,,,,,
16,20221113,デンソー,KUROBE,2,0,*,*,アタック,24,兵頭,4,1,2797,,,,,,,
17,20221113,デンソー,KUROBE,2,0,*,a,アタック失敗,26,コクラム,5,1,2797,,,,,,,
18,20221113,デンソー,KUROBE,3,0,*,*,,,,5,1,2797,得点,,,,,,
19,20221113,デンソー,KUROBE,3,0,*,*,サーブ,6,中元,0,1,2797,,,,,,,
20,20221113,デンソー,KUROBE,3,0,*,a,レシーブ成功(優),4,イヴェギン,1,1,2797,,,,,,,
21,20221113,デンソー,KUROBE,3,0,*,a,アタック成功,26,コクラム,1,1,2797,,,,,,,
22,20221113,デンソー,KUROBE,3,1,a,a,,,,1,1,2797,得点,,,,,,
23,20221113,デンソー,KUROBE,3,1,a,a,サーブ,10,山口,0,1,2797,,,,,,,
24,20221113,デンソー,KUROBE,3,1,a,*,レシーブ成功(優),19,福留,1,1,2797,,,,,,,
25,20221113,デンソー,KUROBE,3,1,a,*,アタック成功,2,横田(真),1,1,2797,,,,,,,
26,20221113,デンソー,KUROBE,4,1,*,*,,,,1,1,2797,得点,,,,,,
27,20221113,デンソー,KUROBE,4,1,*,*,サーブ,2,横田(真),0,1,2797,,,,,,,
28,20221113,デンソー,KUROBE,4,1,*,a,レシーブ成功(優),4,イヴェギン,1,1,2797,,,,,,,
29,20221113,デンソー,KUROBE,4,1,*,a,アタック,15,戸部,1,1,2797,,,,,,,
30,20221113,デンソー,KUROBE,4,1,*,*,アタック,24,兵頭,2,1,2797,,,,,,,
31,20221113,デンソー,KUROBE,4,1,*,a,アタック,26,コクラム,3,1,2797,,,,,,,
32,20221113,デンソー,KUROBE,4,1,*,*,アタック成功,31,ネリマン,4,1,2797,,,,,,,
33,20221113,デンソー,KUROBE,5,1,*,*,,,,4,1,2797,得点,,,,,,
34,20221113,デンソー,KUROBE,5,1,*,*,サーブ,2,横田(真),0,1,2797,,,,,,,
35,20221113,デンソー,KUROBE,5,1,*,a,レシーブ失敗,4,イヴェギン,1,1,2797,,,,,,,
36,20221113,デンソー,KUROBE,5,1,*,a,アタック,15,戸部,1,1,2797,,,,,,,
37,20221113,デンソー,KUROBE,5,1,*,a,アタック成功,26,コクラム,2,1,2797,,,,,,,
38,20221113,デンソー,KUROBE,5,2,a,a,,,,2,1,2797,得点,,,,,,
39,20221113,デンソー,KUROBE,5,2,a,a,サーブ,5,菊池,0,1,2797,,,,,,,
40,20221113,デンソー,KUROBE,5,2,a,*,レシーブ成功(優),6,中元,1,1,2797,,,,,,,
41,20221113,デンソー,KUROBE,5,2,a,*,アタック,24,兵頭,1,1,2797,,,,,,,
42,20221113,デンソー,KUROBE,5,2,a,*,アタック成功,31,ネリマン,2,1,2797,,,,,,,
43,20221113,デンソー,KUROBE,6,2,*,*,,,,2,1,2797,得点,,,,,,
44,20221113,デンソー,KUROBE,6,2,*,*,サーブ,31,ネリマン,0,1,2797,,,,,,,
45,20221113,デンソー,KUROBE,6,2,*,a,レシーブ失敗,4,イヴェギン,1,1,2797,,,,,,,
46,20221113,デンソー,KUROBE,6,2,*,a,アタック成功,4,イヴェギン,1,1,2797,,,,,,,
47,20221113,デンソー,KUROBE,6,3,a,a,,,,1,1,2797,得点,,,,,,
48,20221113,デンソー,KUROBE,6,3,a,a,サーブ,4,イヴェギン,0,1,2797,,,,,,,
49,20221113,デンソー,KUROBE,6,3,a,*,レシーブ成功(良),6,中元,1,1,2797,,,,,,,
50,20221113,デンソー,KUROBE,6,3,a,*,アタック,24,兵頭,1,1,2797,,,,,,,
51,20221113,デンソー,KUROBE,6,3,a,*,アタック成功,15,横田(紗),2,1,2797,,,,,,,
52,20221113,デンソー,KUROBE,7,3,*,*,,,,2,1,2797,得点,,,,,,
53,20221113,デンソー,KUROBE,7,3,*,*,サーブ,24,兵頭,0,1,2797,,,,,,,
54,20221113,デンソー,KUROBE,7,3,*,a,レシーブ失敗,4,イヴェギン,1,1,2797,,,,,,,
55,20221113,デンソー,KUROBE,7,3,*,a,アタック,13,梅津,1,1,2797,,,,,,,
56,20221113,デンソー,KUROBE,7,3,*,*,アタック成功,31,ネリマン,2,1,2797,,,,,,,
57,20221113,デンソー,KUROBE,8,3,*,*,,,,2,1,2797,得点,,,,,,
58,20221113,デンソー,KUROBE,8,3,*,a,,,,0,1,2797,,タイムアウト,,,,,
59,20221113,デンソー,KUROBE,8,3,*,*,サーブ,24,兵頭,0,1,2797,,,,,,,
60,20221113,デンソー,KUROBE,8,3,*,a,レシーブ成功(優),19,福本,1,1,2797,,,,,,,
61,20221113,デンソー,KUROBE,8,3,*,a,アタック成功,26,コクラム,1,1,2797,,,,,,,
62,20221113,デンソー,KUROBE,8,4,a,a,,,,1,1,2797,得点,,,,,,
63,20221113,デンソー,KUROBE,8,4,a,a,サーブ,15,戸部,0,1,2797,,,,,,,
64,20221113,デンソー,KUROBE,8,4,a,*,レシーブ成功(優),6,中元,1,1,2797,,,,,,,
65,20221113,デンソー,KUROBE,8,4,a,*,アタック成功,15,横田(紗),1,1,2797,,,,,,,
66,20221113,デンソー,KUROBE,9,4,*,*,,,,1,1,2797,得点,,,,,,
67,20221113,デンソー,KUROBE,9,4,*,*,サーブ,15,横田(紗),0,1,2797,,,,,,,
68,20221113,デンソー,KUROBE,9,4,*,a,レシーブ失敗,19,福本,1,1,2797,,,,,,,
69,20221113,デンソー,KUROBE,9,4,*,a,アタック,13,梅津,1,1,2797,,,,,,,
70,20221113,デンソー,KUROBE,9,4,*,*,アタック成功,2,横田(真),2,1,2797,,,,,,,
71,20221113,デンソー,KUROBE,10,4,*,*,,,,2,1,2797,得点,,,,,,
72,20221113,デンソー,KUROBE,10,4,*,*,サーブ,15,横田(紗),0,1,2797,,,,,,,
73,20221113,デンソー,KUROBE,10,4,*,a,レシーブ成功(優),19,福本,1,1,2797,,,,,,,
74,20221113,デンソー,KUROBE,10,4,*,a,アタック,10,山口,1,1,2797,,,,,,,
75,20221113,デンソー,KUROBE,10,4,*,*,アタック,2,横田(真),2,1,2797,,,,,,,
76,20221113,デンソー,KUROBE,10,4,*,a,ブロック成功,10,山口,3,1,2797,,,,,,,
77,20221113,デンソー,KUROBE,10,5,a,a,,,,3,1,2797,得点,,,,,,
78,20221113,デンソー,KUROBE,10,5,a,a,ノータッチエース,26,コクラム,0,1,2797,,,,,,,
79,20221113,デンソー,KUROBE,10,6,a,a,,,,0,1,2797,得点,,,,,,
80,20221113,デンソー,KUROBE,10,6,a,a,サーブ,26,コクラム,0,1,2797,,,,,,,
81,20221113,デンソー,KUROBE,10,6,a,*,レシーブ成功(優),6,中元,1,1,2797,,,,,,,
82,20221113,デンソー,KUROBE,10,6,a,*,アタック,31,ネリマン,1,1,2797,,,,,,,
83,20221113,デンソー,KUROBE,10,6,a,a,アタック,13,梅津,2,1,2797,,,,,,,
84,20221113,デンソー,KUROBE,10,6,a,*,アタック,6,中元,3,1,2797,,,,,,,
85,20221113,デンソー,KUROBE,10,6,a,a,ブロック成功,5,菊池,4,1,2797,,,,,,,
86,20221113,デンソー,KUROBE,10,7,a,a,,,,4,1,2797,得点,,,,,,
87,20221113,デンソー,KUROBE,10,7,a,a,サーブ,26,コクラム,0,1,2797,,,,,,,
88,20221113,デンソー,KUROBE,10,7,a,*,レシーブ失敗,6,中元,1,1,2797,,,,,,,
89,20221113,デンソー,KUROBE,10,7,a,*,アタック,6,中元,1,1,2797,,,,,,,
90,20221113,デンソー,KUROBE,10,7,a,*,アタック,6,中元,2,1,2797,,,,,,,
91,20221113,デンソー,KUROBE,10,7,a,a,アタック,13,梅津,3,1,2797,,,,,,,
92,20221113,デンソー,KUROBE,10,7,a,*,アタック成功,31,ネリマン,4,1,2797,,,,,,,
93,20221113,デンソー,KUROBE,11,7,*,*,,,,4,1,2797,得点,,,,,,
94,20221113,デンソー,KUROBE,11,7,*,*,サーブ,11,松井,0,1,2797,,,,,,,
95,20221113,デンソー,KUROBE,11,7,*,a,レシーブ失敗,19,福本,1,1,2797,,,,,,,
96,20221113,デンソー,KUROBE,11,7,*,a,アタック成功,26,コクラム,1,1,2797,,,,,,,
97,20221113,デンソー,KUROBE,11,8,a,a,,,,1,1,2797,得点,,,,,,
98,20221113,デンソー,KUROBE,11,8,a,a,サーブ,13,梅津,0,1,2797,,,,,,,
99,20221113,デンソー,KUROBE,11,8,a,*,レシーブ成功(優),24,兵頭,1,1,2797,,,,,,,
100,20221113,デンソー,KUROBE,11,8,a,*,アタック失敗,6,中元,1,1,2797,,,,,,,
101,20221113,デンソー,KUROBE,11,9,a,a,,,,1,1,2797,得点,,,,,,
102,20221113,デンソー,KUROBE,11,9,a,a,サーブ,13,梅津,0,1,2797,,,,,,,
103,20221113,デンソー,KUROBE,11,9,a,*,レシーブ失敗,6,中元,1,1,2797,,,,,,,
104,20221113,デンソー,KUROBE,11,9,a,*,アタック,6,中元,1,1,2797,,,,,,,
105,20221113,デンソー,KUROBE,11,9,a,a,アタック,13,梅津,2,1,2797,,,,,,,
106,20221113,デンソー,KUROBE,11,9,a,*,アタック成功,6,中元,3,1,2797,,,,,,,
107,20221113,デンソー,KUROBE,12,9,*,*,,,,3,1,2797,得点,,,,,,
108,20221113,デンソー,KUROBE,12,9,*,*,,,,0,1,2797,,,,,,,
109,20221113,デンソー,KUROBE,12,9,*,*,サーブ,6,中元,0,1,2797,,,,,,,
110,20221113,デンソー,KUROBE,12,9,*,a,レシーブ成功(優),19,福本,1,1,2797,,,,,,,
111,20221113,デンソー,KUROBE,12,9,*,a,アタック,4,イヴェギン,1,1,2797,,,,,,,
112,20221113,デンソー,KUROBE,12,9,*,*,アタック成功,31,ネリマン,2,1,2797,,,,,,,
113,20221113,デンソー,KUROBE,13,9,*,*,,,,2,1,2797,得点,,,,,,
114,20221113,デンソー,KUROBE,13,9,*,*,サーブ,6,中元,0,1,2797,,,,,,,
115,20221113,デンソー,KUROBE,13,9,*,a,レシーブ失敗,19,福本,1,1,2797,,,,,,,
116,20221113,デンソー,KUROBE,13,9,*,*,アタック,24,兵頭,1,1,2797,,,,,,,
117,20221113,デンソー,KUROBE,13,9,*,a,アタック,26,コクラム,2,1,2797,,,,,,,
118,20221113,デンソー,KUROBE,13,9,*,a,アタック失敗,13,梅津,3,1,2797,,,,,,,
119,20221113,デンソー,KUROBE,14,9,*,*,,,,3,1,2797,得点,,,,,,
