,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,timeout,in_player_num,in_player_name,out_player_num,out_player_name,challange
0,20221030,PFU,東レ,0,0,*,*,サーブ,18,アコスタ,0,1,2776,,,,,,,
1,20221030,PFU,東レ,0,0,*,a,レシーブ失敗,10,石川,1,1,2776,,,,,,,
2,20221030,PFU,東レ,0,0,*,a,アタック失敗,14,西川,1,1,2776,,,,,,,
3,20221030,PFU,東レ,1,0,*,*,,,,1,1,2776,得点,,,,,,
4,20221030,PFU,東レ,1,0,*,*,サーブミス,18,アコスタ,0,1,2776,,,,,,,
5,20221030,PFU,東レ,1,1,a,a,,,,0,1,2776,得点,,,,,,
6,20221030,PFU,東レ,1,1,a,a,サービスエース,10,石川,0,1,2776,,,,,,,
7,20221030,PFU,東レ,1,1,a,*,レシーブ失敗,7,林,0,1,2776,,,,,,,
8,20221030,PFU,東レ,1,2,a,a,,,,0,1,2776,得点,,,,,,
9,20221030,PFU,東レ,1,2,a,a,サーブ,10,石川,0,1,2776,,,,,,,
10,20221030,PFU,東レ,1,2,a,*,レシーブ成功(優),35,志摩,1,1,2776,,,,,,,
11,20221030,PFU,東レ,1,2,a,*,アタック,6,細沼,1,1,2776,,,,,,,
12,20221030,PFU,東レ,1,2,a,a,アタック,14,西川,2,1,2776,,,,,,,
13,20221030,PFU,東レ,1,2,a,*,アタック,23,バルデス,3,1,2776,,,,,,,
14,20221030,PFU,東レ,1,2,a,a,アタック成功,12,大崎,4,1,2776,,,,,,,
15,20221030,PFU,東レ,1,3,a,a,,,,4,1,2776,得点,,,,,,
16,20221030,PFU,東レ,1,3,a,a,サーブ,10,石川,0,1,2776,,,,,,,
17,20221030,PFU,東レ,1,3,a,*,レシーブ成功(優),35,志摩,1,1,2776,,,,,,,
18,20221030,PFU,東レ,1,3,a,*,アタック,23,バルデス,1,1,2776,,,,,,,
19,20221030,PFU,東レ,1,3,a,a,アタック,10,石川,2,1,2776,,,,,,,
20,20221030,PFU,東レ,1,3,a,a,アタック,7,クラン,3,1,2776,,,,,,,
21,20221030,PFU,東レ,1,3,a,a,アタック,14,西川,4,1,2776,,,,,,,
22,20221030,PFU,東レ,1,3,a,*,アタック,35,志摩,5,1,2776,,,,,,,
23,20221030,PFU,東レ,1,3,a,*,アタック,23,バルデス,6,1,2776,,,,,,,
24,20221030,PFU,東レ,1,3,a,a,アタック,7,クラン,7,1,2776,,,,,,,
25,20221030,PFU,東レ,1,3,a,a,その他ミス,6,関,8,1,2776,,,,,,,
26,20221030,PFU,東レ,2,3,*,*,,,,8,1,2776,得点,,,,,,
27,20221030,PFU,東レ,2,3,*,*,サービスエース,6,細沼,0,1,2776,,,,,,,
28,20221030,PFU,東レ,2,3,*,a,レシーブ失敗,10,石川,0,1,2776,,,,,,,
29,20221030,PFU,東レ,3,3,*,*,,,,0,1,2776,得点,,,,,,
30,20221030,PFU,東レ,3,3,*,*,サーブ,6,細沼,0,1,2776,,,,,,,
31,20221030,PFU,東レ,3,3,*,a,レシーブ失敗,10,石川,1,1,2776,,,,,,,
32,20221030,PFU,東レ,3,3,*,a,アタック,14,西川,1,1,2776,,,,,,,
33,20221030,PFU,東レ,3,3,*,*,ブロック成功,35,志摩,2,1,2776,,,,,,,
34,20221030,PFU,東レ,4,3,*,*,,,,2,1,2776,得点,,,,,,
35,20221030,PFU,東レ,4,3,*,*,サーブミス,6,細沼,0,1,2776,,,,,,,
36,20221030,PFU,東レ,4,4,a,a,,,,0,1,2776,得点,,,,,,
37,20221030,PFU,東レ,4,4,a,a,サーブ,12,大崎,0,1,2776,,,,,,,
38,20221030,PFU,東レ,4,4,a,*,レシーブ成功(良),35,志摩,1,1,2776,,,,,,,
39,20221030,PFU,東レ,4,4,a,*,アタック,23,バルデス,1,1,2776,,,,,,,
40,20221030,PFU,東レ,4,4,a,a,アタック,10,石川,2,1,2776,,,,,,,
41,20221030,PFU,東レ,4,4,a,*,アタック成功,35,志摩,3,1,2776,,,,,,,
42,20221030,PFU,東レ,5,4,*,*,,,,3,1,2776,得点,,,,,,
43,20221030,PFU,東レ,5,4,*,*,サーブ,23,バルデス,0,1,2776,,,,,,,
44,20221030,PFU,東レ,5,4,*,a,レシーブ成功(良),9,水杉,1,1,2776,,,,,,,
45,20221030,PFU,東レ,5,4,*,a,アタック成功,7,クラン,1,1,2776,,,,,,,
46,20221030,PFU,東レ,5,5,a,a,,,,1,1,2776,得点,,,,,,
47,20221030,PFU,東レ,5,5,a,a,サーブ,14,西川,0,1,2776,,,,,,,
48,20221030,PFU,東レ,5,5,a,*,レシーブ成功(良),35,志摩,1,1,2776,,,,,,,
49,20221030,PFU,東レ,5,5,a,*,アタック成功,17,田原,1,1,2776,,,,,,,
50,20221030,PFU,東レ,6,5,*,*,,,,1,1,2776,得点,,,,,,
51,20221030,PFU,東レ,6,5,*,*,サーブ,35,志摩,0,1,2776,,,,,,,
52,20221030,PFU,東レ,6,5,*,a,レシーブ成功(良),14,西川,1,1,2776,,,,,,,
53,20221030,PFU,東レ,6,5,*,a,アタック成功,4,小川,1,1,2776,,,,,,,
54,20221030,PFU,東レ,6,6,a,a,,,,1,1,2776,得点,,,,,,
55,20221030,PFU,東レ,6,6,a,a,サーブ,7,クラン,0,1,2776,,,,,,,
56,20221030,PFU,東レ,6,6,a,*,レシーブ失敗,7,林,1,1,2776,,,,,,,
57,20221030,PFU,東レ,6,6,a,*,アタック,18,アコスタ,1,1,2776,,,,,,,
58,20221030,PFU,東レ,6,6,a,a,アタック,7,クラン,2,1,2776,,,,,,,
59,20221030,PFU,東レ,6,6,a,*,アタック成功,23,バルデス,3,1,2776,,,,,,,
60,20221030,PFU,東レ,7,6,*,*,,,,3,1,2776,得点,,,,,,
61,20221030,PFU,東レ,7,6,*,*,サーブ,12,ジャン,0,1,2776,,,,,,,
62,20221030,PFU,東レ,7,6,*,a,レシーブ成功(良),10,石川,1,1,2776,,,,,,,
63,20221030,PFU,東レ,7,6,*,a,アタック,7,クラン,1,1,2776,,,,,,,
64,20221030,PFU,東レ,7,6,*,*,アタック成功,18,アコスタ,2,1,2776,,,,,,,
65,20221030,PFU,東レ,8,6,*,*,,,,2,1,2776,得点,,,,,,
66,20221030,PFU,東レ,8,6,*,*,サーブ,12,ジャン,0,1,2776,,,,,,,
67,20221030,PFU,東レ,8,6,*,a,レシーブ成功(優),10,石川,1,1,2776,,,,,,,
68,20221030,PFU,東レ,8,6,*,a,アタック,10,石川,1,1,2776,,,,,,,
69,20221030,PFU,東レ,8,6,*,a,アタック成功,6,関,2,1,2776,,,,,,,
70,20221030,PFU,東レ,8,7,a,a,,,,2,1,2776,得点,,,,,,
71,20221030,PFU,東レ,8,7,a,a,サーブ,4,小川,0,1,2776,,,,,,,
72,20221030,PFU,東レ,8,7,a,*,レシーブ失敗,18,アコスタ,1,1,2776,,,,,,,
73,20221030,PFU,東レ,8,7,a,a,アタック成功,10,石川,1,1,2776,,,,,,,
74,20221030,PFU,東レ,8,8,a,a,,,,1,1,2776,得点,,,,,,
75,20221030,PFU,東レ,8,8,a,a,サーブミス,4,小川,0,1,2776,,,,,,,
76,20221030,PFU,東レ,9,8,*,*,,,,0,1,2776,得点,,,,,,
77,20221030,PFU,東レ,9,8,*,*,サーブ,17,田原,0,1,2776,,,,,,,
78,20221030,PFU,東レ,9,8,*,a,レシーブ成功(優),14,西川,1,1,2776,,,,,,,
79,20221030,PFU,東レ,9,8,*,a,アタック,10,石川,1,1,2776,,,,,,,
80,20221030,PFU,東レ,9,8,*,*,その他ミス,18,アコスタ,2,1,2776,,,,,,,
81,20221030,PFU,東レ,9,9,a,a,,,,2,1,2776,得点,,,,,,
82,20221030,PFU,東レ,9,9,a,a,サーブミス,6,関,0,1,2776,,,,,,,
83,20221030,PFU,東レ,10,9,*,*,,,,0,1,2776,得点,,,,,,
84,20221030,PFU,東レ,10,9,*,*,サーブ,18,アコスタ,0,1,2776,,,,,,,
85,20221030,PFU,東レ,10,9,*,a,レシーブ成功(優),14,西川,1,1,2776,,,,,,,
