,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,timeout,in_player_num,in_player_name,out_player_num,out_player_name
67,20230408,VC長野,富士通,6,10,a,*,アタック,11,工藤,1,1,3366,,,,,,
68,20230408,VC長野,富士通,6,10,a,a,アタック失敗,2,樋内,2,1,3366,,,,,,
69,20230408,VC長野,富士通,7,10,*,*,,,,2,1,3366,得点,,,,,
70,20230408,VC長野,富士通,7,10,*,*,サーブ,5,下川,0,1,3366,,,,,,
71,20230408,VC長野,富士通,7,10,*,a,レシーブ失敗,2,樋内,1,1,3366,,,,,,
72,20230408,VC長野,富士通,7,10,*,a,アタック成功,14,谷平,1,1,3366,,,,,,
73,20230408,VC長野,富士通,7,11,a,a,,,,1,1,3366,得点,,,,,
74,20230408,VC長野,富士通,7,11,a,a,サーブミス,2,樋内,0,1,3366,,,,,,
75,20230408,VC長野,富士通,8,11,*,*,,,,0,1,3366,得点,,,,,
76,20230408,VC長野,富士通,8,11,*,*,サーブ,11,工藤,0,1,3366,,,,,,
77,20230408,VC長野,富士通,8,11,*,a,レシーブ成功(良),6,小林,1,1,3366,,,,,,
78,20230408,VC長野,富士通,8,11,*,a,アタック成功,14,谷平,1,1,3366,,,,,,
79,20230408,VC長野,富士通,8,12,a,a,,,,1,1,3366,得点,,,,,
80,20230408,VC長野,富士通,8,12,a,a,,,,0,1,3366,,,,,,
81,20230408,VC長野,富士通,8,12,a,a,サーブ,23,田中,0,1,3366,,,,,,
82,20230408,VC長野,富士通,8,12,a,*,レシーブ成功(優),19,三輪,1,1,3366,,,,,,
83,20230408,VC長野,富士通,8,12,a,*,アタック,8,アラウジョ,1,1,3366,,,,,,
84,20230408,VC長野,富士通,8,12,a,a,アタック,14,谷平,2,1,3366,,,,,,
85,20230408,VC長野,富士通,8,12,a,*,アタック,9,池田(幸),3,1,3366,,,,,,
86,20230408,VC長野,富士通,8,12,a,*,アタック成功,8,アラウジョ,4,1,3366,,,,,,
87,20230408,VC長野,富士通,9,12,*,*,,,,4,1,3366,得点,,,,,
88,20230408,VC長野,富士通,9,12,*,*,サーブ,19,三輪,0,1,3366,,,,,,
89,20230408,VC長野,富士通,9,12,*,a,レシーブ成功(優),14,谷平,1,1,3366,,,,,,
90,20230408,VC長野,富士通,9,12,*,a,アタック成功,4,柳田,1,1,3366,,,,,,
91,20230408,VC長野,富士通,9,13,a,a,,,,1,1,3366,得点,,,,,
92,20230408,VC長野,富士通,9,13,a,a,サーブミス,4,柳田,0,1,3366,,,,,,
93,20230408,VC長野,富士通,10,13,*,*,,,,0,1,3366,得点,,,,,
94,20230408,VC長野,富士通,10,13,*,*,サーブミス,8,アラウジョ,0,1,3366,,,,,,
95,20230408,VC長野,富士通,10,14,a,a,,,,0,1,3366,得点,,,,,
