Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
サントリーサンバーズ,3,2,25,21,18,25,15,104,121,56,9,46.3,11.20,20,9,4,45.0,16,3.20,103,3,15,25,5.3,84,41.0,22.0,61.9,3.0,29,JTサンダーズ,2,1,19,25,25,22,12,103,122,58,7,47.5,11.60,28,17,3,60.7,12,2.40,104,6,18,17,5.5,87,36.0,24.0,55.2,4.0,27
JTサンダーズ,2,1,19,25,25,22,12,103,122,58,7,47.5,11.60,28,17,3,60.7,12,2.40,104,6,18,17,5.5,87,36.0,24.0,55.2,4.0,27,サントリーサンバーズ,3,2,25,21,18,25,15,104,121,56,9,46.3,11.20,20,9,4,45.0,16,3.20,103,3,15,25,5.3,84,41.0,22.0,61.9,3.0,29
豊田合成トレフェルサ,3,3,25,29,25,,,79,80,42,4,52.5,14.00,4,3,0,75.0,4,1.33,78,3,12,18,5.8,48,25.0,9.0,61.5,1.0,30,FC東京,0,0,20,27,17,,,64,91,38,8,41.8,12.67,11,2,1,18.2,5,1.67,65,4,16,11,4.2,64,29.0,16.0,57.8,6.0,17
FC東京,0,0,20,27,17,,,64,91,38,8,41.8,12.67,11,2,1,18.2,5,1.67,65,4,16,11,4.2,64,29.0,16.0,57.8,6.0,17,豊田合成トレフェルサ,3,3,25,29,25,,,79,80,42,4,52.5,14.00,4,3,0,75.0,4,1.33,78,3,12,18,5.8,48,25.0,9.0,61.5,1.0,30
ジェイテクトSTINGS,3,3,25,21,25,25,,96,108,53,5,49.1,13.25,13,4,1,30.8,9,2.25,95,6,12,32,11.6,62,24.0,20.0,54.8,2.0,28,堺ブレイザーズ,1,0,19,25,15,21,,80,116,50,8,43.1,12.50,28,12,2,42.9,10,2.50,81,1,18,18,1.2,79,26.0,19.0,44.9,2.0,19
堺ブレイザーズ,1,0,19,25,15,21,,80,116,50,8,43.1,12.50,28,12,2,42.9,10,2.50,81,1,18,18,1.2,79,26.0,19.0,44.9,2.0,19,ジェイテクトSTINGS,3,3,25,21,25,25,,96,108,53,5,49.1,13.25,13,4,1,30.8,9,2.25,95,6,12,32,11.6,62,24.0,20.0,54.8,2.0,28
東レアローズ,3,3,25,25,25,,,75,79,39,5,49.4,13.00,13,5,3,38.5,7,2.33,73,4,13,21,8.2,42,17.0,11.0,53.6,0.0,25,大分三好ヴァイセアドラー,0,0,15,20,19,,,54,83,31,10,37.3,10.33,28,11,4,39.3,4,1.33,56,1,13,14,2.2,58,21.0,16.0,50.0,2.0,18
大分三好ヴァイセアドラー,0,0,15,20,19,,,54,83,31,10,37.3,10.33,28,11,4,39.3,4,1.33,56,1,13,14,2.2,58,21.0,16.0,50.0,2.0,18,東レアローズ,3,3,25,25,25,,,75,79,39,5,49.4,13.00,13,5,3,38.5,7,2.33,73,4,13,21,8.2,42,17.0,11.0,53.6,0.0,25
VC長野トライデンツ,0,0,19,17,23,,,59,72,31,6,43.1,10.33,13,5,3,38.5,3,1.00,61,4,12,15,7.8,59,26.0,17.0,58.5,1.0,21,パナソニックパンサーズ,3,3,25,25,25,,,75,73,42,6,57.5,14.00,13,8,2,61.5,9,3.00,73,5,13,16,7.9,49,22.0,12.0,57.1,2.0,19
パナソニックパンサーズ,3,3,25,25,25,,,75,73,42,6,57.5,14.00,13,8,2,61.5,9,3.00,73,5,13,16,7.9,49,22.0,12.0,57.1,2.0,19,VC長野トライデンツ,0,0,19,17,23,,,59,72,31,6,43.1,10.33,13,5,3,38.5,3,1.00,61,4,12,15,7.8,59,26.0,17.0,58.5,1.0,21
