,Player,Team,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
158,関田誠大,ジェイテクトSTINGS,240,60,7,4,0,57.1,0.07,0,0,0,,7,0.12,210,8,21,49,7.1,3,0,0,0.0,2992,37272,19,57.1,
159,阿部大樹,JTサンダーズ広島,220,26,2,1,1,50.0,0.04,0,0,0,,3,0.12,69,0,5,8,1.1,1,0,0,0.0,1451,13392,4,0.0,
160,陳龍海,ジェイテクトSTINGS,48,48,96,61,3,63.5,1.27,0,0,0,,14,0.29,115,2,9,20,4.1,12,8,3,79.2,2272,30323,77,60.4,
161,難波尭弘,東レアローズ,20,50,59,32,5,54.2,0.64,0,0,0,,6,0.12,115,3,8,20,5.2,7,2,2,42.9,2991,27899,41,45.8,
162,須貝祐介,VC長野トライデンツ,2,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,183,885,0,,
163,高梨健太,ウルフドッグス名古屋,171,59,359,174,25,48.5,2.95,75,38,12,50.7,12,0.2,254,8,41,70,6.0,311,153,56,58.2,2794,31791,194,41.5,34.7
164,高橋健太郎,東レアローズ,40,44,74,42,6,56.8,0.95,0,0,0,,28,0.64,104,1,10,15,2.2,12,5,3,54.2,2991,27899,71,48.6,
165,高橋和幸,ジェイテクトSTINGS,420,68,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,2,2,0,100.0,2992,37272,0,,
166,高橋塁,サントリーサンバーズ,168,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1082,8544,0,,
167,高橋良,ウルフドッグス名古屋,190,7,21,5,1,23.8,0.71,2,1,0,50.0,2,0.29,19,1,5,8,9.2,24,9,5,47.9,1568,13642,8,19.0,50.0
168,高野直哉,堺ブレイザーズ,64,29,148,82,8,55.4,2.83,3,2,0,66.7,7,0.24,82,2,19,12,0.3,170,70,33,50.9,2277,17778,91,50.0,66.7
169,鳥飼亜斗夢,サントリーサンバーズ,20,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,869,5644,0,,
170,鵜野幸也,堺ブレイザーズ,345,28,12,6,0,50.0,0.21,2,1,0,50.0,0,0.0,45,2,7,12,7.2,18,7,6,55.6,2323,18503,8,50.0,50.0
171,黒田彪斗,東京グレートベアーズ,78,1,1,0,1,0.0,0.0,0,0,0,,0,0.0,1,0,0,0,0.0,0,0,0,,552,3496,0,-100.0,
