,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
23,山岸隼,ヴォレアス北海道,12,9,6.0,4.0,0.0,66.7,0.44,0.0,0.0,0.0,,1.0,0.11,38.0,1.0,4.0,11.0,7.2,1.0,0.0,0.0,0.0,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,6.0,66.7,
24,山田滉太,大分三好ヴァイセアドラー,20,6,18.0,6.0,2.0,33.3,1.0,4.0,2.0,1.0,50.0,0.0,0.0,17.0,2.0,8.0,5.0,7.4,31.0,17.0,5.0,62.9,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,8.0,22.2,25.0
25,山田航旗,VC長野トライデンツ,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
26,岡村義郎,富士通カワサキレッドスピリッツ,20,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,0.0,,
27,川口喬,大分三好ヴァイセアドラー,16,9,21.0,14.0,1.0,66.7,1.56,0.0,0.0,0.0,,4.0,0.44,28.0,0.0,6.0,9.0,2.7,4.0,2.0,0.0,50.0,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,18.0,61.9,
28,工藤有史,VC長野トライデンツ,22,8,62.0,29.0,3.0,46.8,3.62,7.0,5.0,0.0,71.4,2.0,0.25,37.0,2.0,3.0,10.0,10.1,77.0,41.0,10.0,59.7,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,33.0,41.9,71.4
29,張育陞,ヴォレアス北海道,28,9,106.0,59.0,12.0,55.7,6.56,47.0,29.0,3.0,61.7,4.0,0.44,39.0,8.0,11.0,12.0,21.2,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,71.0,44.3,55.3
30,後藤万澄,ヴォレアス北海道,36,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,0.0,0.0,2.0,6.2,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,0.0,0.0,
31,戸田拓也,ヴォレアス北海道,20,9,31.0,9.0,3.0,29.0,1.0,2.0,0.0,0.0,0.0,3.0,0.33,26.0,1.0,7.0,6.0,2.9,54.0,24.0,11.0,54.6,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,13.0,19.4,0.0
32,本澤凌斗,ヴォレアス北海道,42,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,1.0,0.0,1.0,41.7,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,1.0,,
