,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
376,樋口裕希,堺ブレイザーズ,12,4,9,50,19,3,38.0,2.11,4,1,2,25.0,1,0.11,30,1,9,7,1.7,67,25,14,47.8,325,1950,21,32.0,-25.0
377,武智洸史,JTサンダーズ広島,1,48,7,15,8,3,53.3,1.14,0,0,0,,0,0.0,19,1,4,7,9.2,37,18,5,55.4,1109,11569,9,33.3,
378,武智洸史,JTサンダーズ広島,10,32,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,450,5270,0,,
379,武智洸史,JTサンダーズ広島,11,64,21,27,16,2,59.3,0.76,1,0,0,0.0,0,0.0,20,2,5,4,8.8,44,23,9,62.5,1125,8766,18,51.9,0.0
380,武智洸史,JTサンダーズ広島,12,16,8,35,17,5,48.6,2.12,1,1,0,100.0,0,0.0,30,2,6,9,9.2,58,26,12,55.2,323,3297,19,34.3,100.0
381,武藤鉄也,東京グレートベアーズ,1,108,22,32,18,1,56.2,0.82,0,0,0,,8,0.36,52,0,3,9,2.9,9,4,3,61.1,1091,6922,26,53.1,
382,武藤鉄也,東京グレートベアーズ,10,72,7,13,6,1,46.2,0.86,0,0,0,,1,0.14,25,0,1,3,2.0,7,0,5,35.7,438,12076,7,38.5,
383,武藤鉄也,東京グレートベアーズ,11,108,18,34,13,0,38.2,0.72,0,0,0,,6,0.33,47,0,5,7,1.1,1,1,0,100.0,833,9134,19,38.2,
384,武藤鉄也,東京グレートベアーズ,12,36,8,6,1,0,16.7,0.12,0,0,0,,5,0.62,17,0,2,2,0.0,0,0,0,,323,3297,6,16.7,
385,永尾敏明,大分三好ヴァイセアドラー,1,120,10,0,0,0,,0.0,0,0,0,,0,0.0,12,0,3,1,-4.2,2,0,0,0.0,1113,6695,0,,
386,永尾敏明,大分三好ヴァイセアドラー,10,80,7,0,0,0,,0.0,0,0,0,,0,0.0,9,0,2,3,2.8,2,1,1,75.0,444,2516,0,,
387,永尾敏明,大分三好ヴァイセアドラー,11,120,10,0,0,0,,0.0,0,0,0,,0,0.0,13,0,4,2,-3.8,0,0,0,,832,6020,0,,
