,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,JTサンダーズ広島,62,50,808,838,824,421.0,44.0,2935.0,3470.0,1712.0,242.0,49.3,13.17,716.0,376.0,61.0,52.5,282.0,2.17,2939.0,134.0,561.0,686.0,5.6,2426.0,1070.0,548.0,55.4,90.0,807,68,58,850,816,827,442.0,56.0,2991.0,3484,1762,225,1819.6,488.48,759,398,85,1864.8,232,64.5,2987,104,513,751,187.2,2322,1056.0,501.0,2030.5,69.0,893,6854,52481.0,130,2128.0,42.4,44.0
1,VC長野トライデンツ,38,19,779,796,726,447.0,70.0,2818.0,3621.0,1685.0,276.0,46.5,12.48,746.0,343.0,92.0,46.0,229.0,1.7,2850.0,81.0,421.0,661.0,4.9,2598.0,1132.0,589.0,54.9,77.0,823,97,89,863,889,874,505.0,87.0,3218.0,3589,1924,221,1947.7,515.91,732,420,57,2080.0,345,91.81,3186,175,512,780,277.5,2399,1093.0,594.0,2122.2,90.0,774,6809,41792.0,135,1995.0,38.9,33.6
2,ウルフドッグス名古屋,84,75,880,845,875,302.0,104.0,3006.0,3392.0,1735.0,209.0,51.1,13.55,814.0,436.0,80.0,53.6,333.0,2.6,2984.0,87.0,420.0,752.0,5.7,2213.0,1006.0,556.0,58.0,83.0,850,44,33,777,789,773,300.0,91.0,2730.0,3541,1680,266,1706.0,471.38,766,353,80,1664.9,235,66.23,2752,104,497,591,158.4,2527,1014.0,711.0,1956.9,87.0,712,6797,57653.0,128,2155.0,45.0,43.7
3,サントリーサンバーズ,82,71,823,868,852,495.0,116.0,3154.0,3481.0,1893.0,223.0,54.4,13.92,926.0,509.0,97.0,55.0,302.0,2.22,3149.0,138.0,585.0,776.0,5.9,2366.0,946.0,648.0,53.7,89.0,821,54,37,800,786,818,447.0,107.0,2958.0,3490,1693,208,1751.8,449.31,706,363,59,1842.8,229,62.37,2963,139,537,694,212.1,2506,997.0,654.0,1892.7,76.0,897,6828,52666.0,136,2333.0,48.0,44.5
4,ジェイテクトSTINGS,79,70,864,838,870,366.0,78.0,3016.0,3579.0,1784.0,235.0,49.8,13.72,760.0,410.0,68.0,53.9,221.0,1.7,3001.0,151.0,526.0,745.0,6.9,2287.0,974.0,553.0,54.7,42.0,860,51,38,798,780,803,354.0,82.0,2817.0,3344,1605,255,1724.0,444.4,712,337,80,1685.7,299,83.03,2832,110,508,686,180.3,2421,1013.0,566.0,1926.6,97.0,803,6832,85006.0,130,2156.0,43.3,45.0
5,パナソニックパンサーズ,91,77,884,853,869,509.0,148.0,3263.0,3692.0,1913.0,227.0,51.8,13.57,617.0,322.0,51.0,52.2,297.0,2.11,3237.0,144.0,423.0,775.0,7.2,2347.0,1053.0,649.0,58.7,75.0,909,50,31,761,788,757,470.0,158.0,2934.0,3896,1850,257,1696.4,469.94,890,448,89,1769.7,264,66.93,2958,95,575,586,118.60000000000001,2753,1111.0,783.0,1955.9,77.0,725,6837,65711.0,141,2354.0,45.7,43.9
6,堺ブレイザーズ,80,71,825,849,862,475.0,69.0,3080.0,3557.0,1783.0,195.0,50.1,13.41,578.0,308.0,51.0,53.3,321.0,2.41,3064.0,146.0,472.0,705.0,6.7,2396.0,1054.0,589.0,56.3,70.0,830,53,37,813,809,788,441.0,69.0,2920.0,3763,1801,248,1727.1000000000001,487.49,854,420,85,1788.4,249,67.81,2936,133,487,672,217.9,2542,1049.0,690.0,1966.0,95.0,737,6843,38084.0,133,2250.0,44.6,44.5
7,大分三好ヴァイセアドラー,25,14,761,742,711,301.0,39.0,2554.0,3261.0,1494.0,265.0,45.8,11.95,772.0,385.0,96.0,49.9,220.0,1.76,2588.0,122.0,556.0,595.0,5.1,2495.0,978.0,568.0,50.6,77.0,719,100,94,899,893,883,332.0,37.0,3044.0,3087,1687,187,2012.2,491.37,611,358,69,2118.5,294,85.81,3010,165,459,838,312.9,1981,938.0,376.0,2055.4,73.0,898,7006,37174.0,125,1836.0,37.7,37.4
8,東レアローズ,82,62,842,831,836,606.0,158.0,3273.0,3844.0,1950.0,250.0,50.7,13.45,880.0,453.0,87.0,51.5,309.0,2.13,3262.0,173.0,645.0,732.0,6.0,2669.0,1208.0,726.0,58.9,116.0,841,63,46,833,832,802,614.0,134.0,3215.0,3730,1783,255,1724.0,446.84,820,448,78,1976.4,292,72.33,3226,129,517,646,174.9,2551,1101.0,613.0,1991.7,69.0,1011,6826,48091.0,145,2432.0,44.2,41.6
9,東京グレートベアーズ,47,31,798,776,768,441.0,119.0,2902.0,3749.0,1720.0,273.0,45.9,12.55,851.0,423.0,94.0,49.7,248.0,1.81,2925.0,109.0,483.0,635.0,5.0,2603.0,1074.0,637.0,53.5,80.0,826,90,77,870,854,868,458.0,124.0,3174.0,3722,1884,273,1839.4,497.59000000000003,810,420,95,1857.9,323,88.71000000000001,3149,131,487,818,245.4,2398,1123.0,575.0,2131.0,66.0,836,6948,65310.0,137,2077.0,38.6,38.7
