Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
VC長野トライデンツ,1,0,22,25,16,19,,82,109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4,1.0,22,東レアローズ,3,3,25,18,25,25,,93,98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3,5.0,25
東レアローズ,3,3,25,18,25,25,,93,98,51,5,52.0,12.75,27,15,1,55.6,12,3.00,92,5,12,32,10.9,68,33.0,16.0,60.3,5.0,25,VC長野トライデンツ,1,0,22,25,16,19,,82,109,49,10,45.0,12.25,28,14,3,50.0,10,2.50,83,1,14,19,2.7,78,30.0,14.0,47.4,1.0,22
VC長野トライデンツ,0,0,17,21,22,,,60,77,34,5,44.2,11.33,16,7,2,43.8,4,1.33,62,1,14,9,-0.4,60,16.0,15.0,39.2,4.0,21,東レアローズ,3,3,25,25,25,,,75,75,41,3,54.7,13.67,14,12,1,85.7,9,3.00,73,2,13,27,7.5,47,27.0,12.0,70.2,5.0,23
東レアローズ,3,3,25,25,25,,,75,75,41,3,54.7,13.67,14,12,1,85.7,9,3.00,73,2,13,27,7.5,47,27.0,12.0,70.2,5.0,23,VC長野トライデンツ,0,0,17,21,22,,,60,77,34,5,44.2,11.33,16,7,2,43.8,4,1.33,62,1,14,9,-0.4,60,16.0,15.0,39.2,4.0,21
ジェイテクトSTINGS,1,0,18,19,25,19,,81,124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8,3.0,26,JTサンダーズ広島,3,3,25,25,20,25,,95,98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6,4.0,31
JTサンダーズ広島,3,3,25,25,20,25,,95,98,43,11,43.9,10.75,18,9,2,50.0,20,5.00,94,1,11,19,3.2,63,26.0,18.0,55.6,4.0,31,ジェイテクトSTINGS,1,0,18,19,25,19,,81,124,49,9,39.5,12.25,30,16,2,53.3,2,0.50,82,4,19,15,3.7,82,35.0,28.0,59.8,3.0,26
ジェイテクトSTINGS,3,2,25,26,20,20,15,106,120,63,11,52.5,12.60,30,15,2,50.0,10,2.00,105,7,15,30,10.2,86,39.0,27.0,61.0,2.0,26,JTサンダーズ広島,2,1,23,24,25,25,11,108,120,63,8,52.5,12.60,24,17,2,70.8,8,1.60,109,9,17,17,8.3,86,30.0,24.0,48.8,1.0,28
JTサンダーズ広島,2,1,23,24,25,25,11,108,120,63,8,52.5,12.60,24,17,2,70.8,8,1.60,109,9,17,17,8.3,86,30.0,24.0,48.8,1.0,28,ジェイテクトSTINGS,3,2,25,26,20,20,15,106,120,63,11,52.5,12.60,30,15,2,50.0,10,2.00,105,7,15,30,10.2,86,39.0,27.0,61.0,2.0,26
堺ブレイザーズ,1,0,19,20,25,26,,90,87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7,3.0,31,大分三好ヴァイセアドラー,3,3,25,25,21,28,,99,109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4,0.0,25
大分三好ヴァイセアドラー,3,3,25,25,21,28,,99,109,60,7,55.0,15.00,24,16,2,66.7,5,1.25,98,9,24,20,8.2,76,26.0,20.0,47.4,0.0,25,堺ブレイザーズ,1,0,19,20,25,26,,90,87,40,8,46.0,10.00,20,9,4,45.0,16,4.00,91,3,14,29,7.4,69,36.0,9.0,58.7,3.0,31
