Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
VC長野トライデンツ,0,0,23,17,19,,,59,84,32,10,38.1,10.67,17,5,5,29.4,5,1.67,61,2,19,14,1.2,57,26.0,14.0,57.9,3.0,20,パナソニックパンサーズ,3,3,25,25,25,,,75,67,33,2,49.3,11.00,11,4,0,36.4,6,2.00,73,4,16,17,5.8,41,19.0,8.0,56.1,2.0,32
パナソニックパンサーズ,3,3,25,25,25,,,75,67,33,2,49.3,11.00,11,4,0,36.4,6,2.00,73,4,16,17,5.8,41,19.0,8.0,56.1,2.0,32,VC長野トライデンツ,0,0,23,17,19,,,59,84,32,10,38.1,10.67,17,5,5,29.4,5,1.67,61,2,19,14,1.2,57,26.0,14.0,57.9,3.0,20
ウルフドッグス名古屋,0,0,23,19,24,,,66,86,40,4,46.5,13.33,16,6,1,37.5,4,1.33,68,1,10,19,4.8,56,31.0,17.0,70.5,4.0,21,サントリーサンバーズ,3,3,25,25,26,,,76,81,45,2,55.6,15.00,20,12,0,60.0,10,3.33,74,3,16,7,1.0,57,22.0,16.0,52.6,3.0,18
サントリーサンバーズ,3,3,25,25,26,,,76,81,45,2,55.6,15.00,20,12,0,60.0,10,3.33,74,3,16,7,1.0,57,22.0,16.0,52.6,3.0,18,ウルフドッグス名古屋,0,0,23,19,24,,,66,86,40,4,46.5,13.33,16,6,1,37.5,4,1.33,68,1,10,19,4.8,56,31.0,17.0,70.5,4.0,21
ジェイテクトSTINGS,3,3,25,25,25,,,75,66,40,5,60.6,13.33,18,10,3,55.6,9,3.00,73,7,19,27,12.3,43,19.0,16.0,62.8,1.0,19,FC東京,0,0,16,19,16,,,51,74,26,5,35.1,8.67,17,8,2,47.1,0,0.00,53,0,10,8,-0.9,53,11.0,15.0,34.9,4.0,25
FC東京,0,0,16,19,16,,,51,74,26,5,35.1,8.67,17,8,2,47.1,0,0.00,53,0,10,8,-0.9,53,11.0,15.0,34.9,4.0,25,ジェイテクトSTINGS,3,3,25,25,25,,,75,66,40,5,60.6,13.33,18,10,3,55.6,9,3.00,73,7,19,27,12.3,43,19.0,16.0,62.8,1.0,19
東レアローズ,3,2,16,26,25,22,15,104,119,54,6,45.4,10.80,14,5,0,35.7,8,1.60,102,3,24,38,6.4,78,37.0,18.0,59.0,9.0,39,堺ブレイザーズ,2,1,25,24,18,25,12,104,112,49,7,43.8,9.80,30,16,3,53.3,16,3.20,106,0,26,23,-0.7,78,17.0,23.0,36.5,6.0,39
堺ブレイザーズ,2,1,25,24,18,25,12,104,112,49,7,43.8,9.80,30,16,3,53.3,16,3.20,106,0,26,23,-0.7,78,17.0,23.0,36.5,6.0,39,東レアローズ,3,2,16,26,25,22,15,104,119,54,6,45.4,10.80,14,5,0,35.7,8,1.60,102,3,24,38,6.4,78,37.0,18.0,59.0,9.0,39
大分三好ヴァイセアドラー,0,0,20,19,18,,,57,78,31,6,39.7,10.33,24,5,3,20.8,4,1.33,59,2,12,14,4.2,57,17.0,14.0,42.1,4.0,20,JTサンダーズ広島,3,3,25,25,25,,,75,63,31,2,49.2,10.33,9,5,1,55.6,13,4.33,73,9,14,19,14.0,47,20.0,12.0,55.3,4.0,22
JTサンダーズ広島,3,3,25,25,25,,,75,63,31,2,49.2,10.33,9,5,1,55.6,13,4.33,73,9,14,19,14.0,47,20.0,12.0,55.3,4.0,22,大分三好ヴァイセアドラー,0,0,20,19,18,,,57,78,31,6,39.7,10.33,24,5,3,20.8,4,1.33,59,2,12,14,4.2,57,17.0,14.0,42.1,4.0,20
