Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
サントリーサンバーズ,2,1,14,27,23,25,12,101,141,59,13,41.8,11.80,37,13,8,35.1,10,2.00,101,5,10,14,5.9,97,31.0,50.0,57.7,6.0,27,JTサンダーズ,3,2,25,25,25,23,15,113,147,71,11,48.3,14.20,31,17,0,54.8,7,1.40,113,6,14,13,5.1,87,22.0,50.0,54.0,2.0,29
JTサンダーズ,3,2,25,25,25,23,15,113,147,71,11,48.3,14.20,31,17,0,54.8,7,1.40,113,6,14,13,5.1,87,22.0,50.0,54.0,2.0,29,サントリーサンバーズ,2,1,14,27,23,25,12,101,141,59,13,41.8,11.80,37,13,8,35.1,10,2.00,101,5,10,14,5.9,97,31.0,50.0,57.7,6.0,27
パナソニックパンサーズ,3,3,25,25,25,,,75,82,40,8,48.8,13.33,15,6,3,40.0,7,2.33,73,7,9,20,13.4,50,22.0,22.0,66.0,0.0,21,FC東京,0,0,20,21,19,,,60,78,36,8,46.2,12.00,16,8,1,50.0,5,1.67,62,2,11,5,0.8,62,25.0,12.0,50.0,2.0,17
FC東京,0,0,20,21,19,,,60,78,36,8,46.2,12.00,16,8,1,50.0,5,1.67,62,2,11,5,0.8,62,25.0,12.0,50.0,2.0,17,パナソニックパンサーズ,3,3,25,25,25,,,75,82,40,8,48.8,13.33,15,6,3,40.0,7,2.33,73,7,9,20,13.4,50,22.0,22.0,66.0,0.0,21
東レアローズ,0,0,21,22,22,,,65,97,44,3,45.4,14.67,28,11,2,39.3,3,1.00,66,2,15,19,4.5,64,30.0,14.0,57.8,2.0,16,豊田合成トレフェルサ,3,3,25,25,25,,,75,75,43,2,57.3,14.33,18,11,2,61.1,11,3.67,74,1,10,19,4.4,49,17.0,13.0,48.0,4.0,20
豊田合成トレフェルサ,3,3,25,25,25,,,75,75,43,2,57.3,14.33,18,11,2,61.1,11,3.67,74,1,10,19,4.4,49,17.0,13.0,48.0,4.0,20,東レアローズ,0,0,21,22,22,,,65,97,44,3,45.4,14.67,28,11,2,39.3,3,1.00,66,2,15,19,4.5,64,30.0,14.0,57.8,2.0,16
ジェイテクトSTINGS,3,3,25,23,25,26,,99,113,62,6,54.9,15.50,21,10,1,47.6,8,2.00,98,3,14,14,3.1,74,31.0,28.0,60.8,2.0,26,堺ブレイザーズ,1,0,20,25,21,24,,90,115,57,6,49.6,14.25,22,14,0,63.6,10,2.50,91,1,17,14,0.3,82,31.0,37.0,60.4,3.0,22
堺ブレイザーズ,1,0,20,25,21,24,,90,115,57,6,49.6,14.25,22,14,0,63.6,10,2.50,91,1,17,14,0.3,82,31.0,37.0,60.4,3.0,22,ジェイテクトSTINGS,3,3,25,23,25,26,,99,113,62,6,54.9,15.50,21,10,1,47.6,8,2.00,98,3,14,14,3.1,74,31.0,28.0,60.8,2.0,26
豊田合成トレフェルサ,3,3,25,25,24,25,,99,122,56,5,45.9,14.00,23,13,1,56.5,8,2.00,98,7,13,31,11.7,69,29.0,24.0,59.4,3.0,28,JTサンダーズ,1,0,18,17,26,22,,83,122,51,10,41.8,12.75,29,12,2,41.4,8,2.00,84,3,14,14,3.6,84,19.0,28.0,39.3,4.0,21
JTサンダーズ,1,0,18,17,26,22,,83,122,51,10,41.8,12.75,29,12,2,41.4,8,2.00,84,3,14,14,3.6,84,19.0,28.0,39.3,4.0,21,豊田合成トレフェルサ,3,3,25,25,24,25,,99,122,56,5,45.9,14.00,23,13,1,56.5,8,2.00,98,7,13,31,11.7,69,29.0,24.0,59.4,3.0,28
