,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,チョンテヒョン,奈良ドリーマーズ,486,81,614.0,313.0,63.0,51.0,3.86,104.0,48.0,20.0,46.2,27.0,0.33,309.0,20.0,92.0,65.0,4.3,367.0,137.0,92.0,49.9,22356,5158.0,52.0,29.0,639.0,579.0,641.0,609.0,661.0,608.0,382.0,397.0,110.0,99.0,2433.0,2292.0,611,618,659,398.0,115.0,64,42,74.0,32.0,360.0,40.7,26.9
1,フランシスムヤカバング,奈良ドリーマーズ,494,46,140.0,73.0,6.0,52.1,1.59,0.0,0.0,0.0,,31.0,0.67,131.0,4.0,19.0,35.0,6.1,5.0,3.0,1.0,70.0,16109,3317.0,32.0,25.0,439.0,426.0,444.0,443.0,463.0,424.0,311.0,319.0,95.0,86.0,1752.0,1698.0,432,439,470,315.0,99.0,42,36,46.0,32.0,108.0,47.9,
2,三杉遥,近畿クラブスフィーダ,72,8,32.0,16.0,4.0,50.0,2.0,10.0,3.0,4.0,30.0,2.0,0.25,19.0,1.0,5.0,2.0,1.3,12.0,4.0,1.0,37.5,2639,574.0,6.0,3.0,66.0,72.0,75.0,63.0,71.0,80.0,72.0,70.0,28.0,27.0,312.0,312.0,69,67,76,75.0,32.0,8,6,0.0,14.0,19.0,37.5,-10.0
3,上坂将輝,トヨタ自動車サンホークス,486,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,22257,5336.0,66.0,15.0,666.0,582.0,683.0,561.0,657.0,584.0,290.0,273.0,117.0,110.0,2413.0,2110.0,590,614,599,276.0,130.0,75,27,65.0,37.0,0.0,0.0,
4,上岡新,奈良ドリーマーズ,12,1,4.0,3.0,0.0,75.0,3.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,,2573,910.0,3.0,6.0,74.0,68.0,67.0,72.0,70.0,67.0,69.0,71.0,25.0,24.0,305.0,302.0,75,71,73,74.0,27.0,6,8,5.0,9.0,3.0,75.0,
5,上竣,奈良ドリーマーズ,345,11,49.0,23.0,9.0,46.9,2.09,18.0,5.0,4.0,27.8,0.0,0.0,24.0,2.0,13.0,1.0,-4.2,0.0,0.0,0.0,,18993,4308.0,44.0,25.0,552.0,488.0,541.0,516.0,559.0,519.0,337.0,352.0,95.0,90.0,2084.0,1965.0,518,520,559,353.0,102.0,55,36,63.0,28.0,25.0,28.6,5.6
6,中村洸稀,近畿クラブスフィーダ,12,14,37.0,16.0,5.0,43.2,1.14,6.0,3.0,1.0,50.0,2.0,0.14,30.0,1.0,4.0,6.0,5.0,6.0,0.0,2.0,16.7,4657,455.0,5.0,13.0,131.0,142.0,134.0,133.0,139.0,149.0,81.0,89.0,16.0,14.0,501.0,527.0,136,136,143,80.0,17.0,8,15,11.0,12.0,19.0,29.7,33.3
7,中條立樹,長野GaRons,306,8,6.0,2.0,1.0,33.3,0.25,0.0,0.0,0.0,,1.0,0.12,4.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,,14264,3025.0,21.0,30.0,404.0,410.0,383.0,404.0,405.0,425.0,271.0,268.0,62.0,77.0,1525.0,1584.0,433,407,446,276.0,86.0,29,39,30.0,38.0,3.0,16.7,
8,中澤和也,警視庁フォートファイターズ,240,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,1.0,4.0,1.0,2.5,1.0,0.0,1.0,50.0,9819,1984.0,21.0,15.0,281.0,273.0,272.0,271.0,295.0,258.0,191.0,181.0,38.0,47.0,1077.0,1030.0,276,273,277,204.0,48.0,26,21,30.0,17.0,1.0,,
9,中田雄大,近畿クラブスフィーダ,132,23,8.0,1.0,0.0,12.5,0.04,0.0,0.0,0.0,,1.0,0.04,83.0,1.0,2.0,24.0,7.8,3.0,0.0,0.0,0.0,8980,1239.0,17.0,16.0,254.0,272.0,257.0,239.0,264.0,260.0,229.0,219.0,15.0,9.0,1019.0,999.0,266,258,270,223.0,15.0,22,22,29.0,15.0,3.0,12.5,
10,中西翔太,奈良ドリーマーズ,115,37,244.0,114.0,25.0,46.7,3.08,94.0,35.0,14.0,37.2,7.0,0.19,108.0,6.0,39.0,31.0,3.7,2.0,0.0,1.0,25.0,19058,4108.0,46.0,23.0,548.0,486.0,540.0,526.0,565.0,511.0,319.0,322.0,85.0,71.0,2057.0,1916.0,526,525,555,327.0,86.0,55,34,65.0,24.0,127.0,36.5,22.3
11,中越敬大,近畿クラブスフィーダ,700,49,10.0,7.0,0.0,70.0,0.14,0.0,0.0,0.0,,2.0,0.04,78.0,0.0,7.0,10.0,1.0,0.0,0.0,0.0,,16600,2877.0,31.0,29.0,452.0,464.0,440.0,442.0,459.0,468.0,314.0,313.0,86.0,73.0,1751.0,1760.0,463,438,464,307.0,97.0,40,40,19.0,61.0,9.0,70.0,
12,中道元貴,警視庁フォートファイターズ,364,68,332.0,140.0,29.0,42.2,2.06,11.0,2.0,1.0,18.2,6.0,0.09,217.0,6.0,45.0,63.0,4.8,445.0,233.0,112.0,64.9,21424,3479.0,50.0,28.0,626.0,577.0,607.0,586.0,624.0,562.0,313.0,298.0,80.0,83.0,2250.0,2106.0,607,609,610,324.0,93.0,59,38,63.0,34.0,152.0,33.4,9.1
13,中野稜太,奈良ドリーマーズ,120,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,,4844,1346.0,14.0,4.0,147.0,125.0,147.0,130.0,147.0,126.0,38.0,50.0,15.0,9.0,494.0,440.0,141,138,141,46.0,13.0,16,5,21.0,0.0,0.0,,
14,丸一達也,クボタスピアーズ,125,27,53.0,23.0,3.0,43.4,0.85,0.0,0.0,0.0,,13.0,0.48,66.0,1.0,19.0,10.0,-1.9,3.0,2.0,1.0,83.3,21087,5353.0,56.0,19.0,613.0,510.0,591.0,566.0,615.0,556.0,217.0,201.0,70.0,60.0,2106.0,1893.0,515,579,593,218.0,78.0,63,26,45.0,44.0,37.0,37.7,
15,久保田雄,近畿クラブスフィーダ,580,79,36.0,16.0,2.0,44.4,0.2,0.0,0.0,0.0,,14.0,0.18,265.0,8.0,9.0,57.0,7.5,5.0,0.0,0.0,0.0,16889,3096.0,40.0,20.0,452.0,467.0,447.0,437.0,462.0,459.0,361.0,329.0,85.0,68.0,1807.0,1760.0,461,441,473,350.0,95.0,47,34,21.0,60.0,38.0,38.9,
16,久門伸司,近畿クラブスフィーダ,90,6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0,5005,560.0,9.0,9.0,137.0,142.0,143.0,132.0,137.0,152.0,64.0,69.0,29.0,29.0,510.0,524.0,146,140,149,67.0,34.0,11,12,3.0,20.0,0.0,,
