Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,TotalSet
クボタスピアーズ,3,3,25,23,25,25,,98.0,114.0,55.0,6.0,48.2,13.75,19.0,11.0,0.0,57.9,6.0,1.5,97.0,2.0,16.0,23.0,3.9,68.0,41.0,10.0,67.6,0.0,35,千葉ZELVA,1,0,22,25,19,19,,85.0,121,46,11,38.0,11.50,27,9,3,33.3,15,3.75,86,2,16,17,2.6,81,39.0,17.0,58.6,8.0,22,767,2022-11-06,京都府,舞鶴文化公園体育館,200.0,13:30,15:19,1:49,大塚達也,栗崎慎太郎,吉山弘道,平野尚宣,4
千葉ZELVA,1,0,22,25,19,19,,85.0,121.0,46.0,11.0,38.0,11.5,27.0,9.0,3.0,33.3,15.0,3.75,86.0,2.0,16.0,17.0,2.6,81.0,39.0,17.0,58.6,8.0,22,クボタスピアーズ,3,3,25,23,25,25,,98.0,114,55,6,48.2,13.75,19,11,0,57.9,6,1.50,97,2,16,23,3.9,68,41.0,10.0,67.6,0.0,35,767,2022-11-06,京都府,舞鶴文化公園体育館,200.0,13:30,15:19,1:49,大塚達也,栗崎慎太郎,吉山弘道,平野尚宣,4
奈良ドリーマーズ,3,2,25,25,24,27,15,116.0,132.0,70.0,13.0,53.0,14.0,30.0,13.0,6.0,43.3,8.0,1.6,116.0,8.0,28.0,20.0,5.2,96.0,58.0,13.0,67.2,2.0,30,トヨタ自動車サンホークス,2,1,20,22,26,29,13,110.0,122,56,12,45.9,11.20,13,8,3,61.5,10,2.00,111,2,15,23,3.6,83,45.0,15.0,63.3,3.0,43,768,2022-11-06,京都府,舞鶴文化公園体育館,330.0,16:00,17:59,1:59,北村友香,辻本貴大,梅﨑幸人,元木麗,5
トヨタ自動車サンホークス,2,1,20,22,26,29,13,110.0,122.0,56.0,12.0,45.9,11.2,13.0,8.0,3.0,61.5,10.0,2.0,111.0,2.0,15.0,23.0,3.6,83.0,45.0,15.0,63.3,3.0,43,奈良ドリーマーズ,3,2,25,25,24,27,15,116.0,132,70,13,53.0,14.00,30,13,6,43.3,8,1.60,116,8,28,20,5.2,96,58.0,13.0,67.2,2.0,30,768,2022-11-06,京都府,舞鶴文化公園体育館,330.0,16:00,17:59,1:59,北村友香,辻本貴大,梅﨑幸人,元木麗,5
福岡ウイニングスピリッツ,3,3,25,25,23,25,,98.0,116.0,56.0,9.0,48.3,14.0,19.0,10.0,1.0,52.6,11.0,2.75,97.0,4.0,14.0,21.0,5.9,66.0,36.0,13.0,64.4,1.0,27,トヨタモビリティ東京スパークル,1,0,11,23,25,16,,75.0,116,43,13,37.1,10.75,13,5,1,38.5,5,1.25,76,3,9,15,5.9,81,38.0,20.0,59.3,5.0,24,764,2022-11-05,福岡県,久留米総合スポーツセンター,150.0,13:00,14:34,1:34,塚本健,森山真梨絵,須藤義宏,賀来愛実,4
トヨタモビリティ東京スパークル,1,0,11,23,25,16,,75.0,116.0,43.0,13.0,37.1,10.75,13.0,5.0,1.0,38.5,5.0,1.25,76.0,3.0,9.0,15.0,5.9,81.0,38.0,20.0,59.3,5.0,24,福岡ウイニングスピリッツ,3,3,25,25,23,25,,98.0,116,56,9,48.3,14.00,19,10,1,52.6,11,2.75,97,4,14,21,5.9,66,36.0,13.0,64.4,1.0,27,764,2022-11-05,福岡県,久留米総合スポーツセンター,150.0,13:00,14:34,1:34,塚本健,森山真梨絵,須藤義宏,賀来愛実,4
警視庁フォートファイターズ,3,3,26,25,22,25,,98.0,132.0,65.0,12.0,49.2,16.25,22.0,13.0,2.0,59.1,10.0,2.5,97.0,0.0,13.0,14.0,0.3,73.0,43.0,14.0,68.5,2.0,23,近畿クラブスフィーダ,1,0,24,20,25,17,,86.0,138,52,7,37.7,13.00,16,5,0,31.2,6,1.50,87,1,13,16,2.0,84,53.0,17.0,73.2,3.0,27,765,2022-11-05,福岡県,久留米総合スポーツセンター,100.0,15:15,16:55,1:40,塚本健,福本信太郎,松永佳幸,梅本美樹子,4
近畿クラブスフィーダ,1,0,24,20,25,17,,86.0,138.0,52.0,7.0,37.7,13.0,16.0,5.0,0.0,31.2,6.0,1.5,87.0,1.0,13.0,16.0,2.0,84.0,53.0,17.0,73.2,3.0,27,警視庁フォートファイターズ,3,3,26,25,22,25,,98.0,132,65,12,49.2,16.25,22,13,2,59.1,10,2.50,97,0,13,14,0.3,73,43.0,14.0,68.5,2.0,23,765,2022-11-05,福岡県,久留米総合スポーツセンター,100.0,15:15,16:55,1:40,塚本健,福本信太郎,松永佳幸,梅本美樹子,4
福岡ウイニングスピリッツ,0,0,22,17,21,,,60.0,90.0,35.0,5.0,38.9,11.67,21.0,9.0,1.0,42.9,3.0,1.0,62.0,1.0,9.0,8.0,1.2,56.0,25.0,13.0,56.2,3.0,21,警視庁フォートファイターズ,3,3,25,25,25,,,75.0,96,48,5,50.0,16.00,18,8,2,44.4,7,2.33,73,3,14,18,5.5,53,21.0,23.0,61.3,2.0,17,769,2022-11-06,福岡県,久留米総合スポーツセンター,150.0,12:00,13:19,1:19,塚本健,森山真梨絵,坂口美華,賀来愛実,3
警視庁フォートファイターズ,3,3,25,25,25,,,75.0,96.0,48.0,5.0,50.0,16.0,18.0,8.0,2.0,44.4,7.0,2.33,73.0,3.0,14.0,18.0,5.5,53.0,21.0,23.0,61.3,2.0,17,福岡ウイニングスピリッツ,0,0,22,17,21,,,60.0,90,35,5,38.9,11.67,21,9,1,42.9,3,1.00,62,1,9,8,1.2,56,25.0,13.0,56.2,3.0,21,769,2022-11-06,福岡県,久留米総合スポーツセンター,150.0,12:00,13:19,1:19,塚本健,森山真梨絵,坂口美華,賀来愛実,3
