No.,L,Player,Set,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team
1,,渡邊徹,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
5,,中西翔太,1,□,,,,,0,0,0,,,0,0,0,,0,,1,0,1,0,-25.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
7,,有津翔太,3,■,■,■,,,8,4,1,50.0,1.33,0,0,0,,2,0.67,5,0,0,1,5.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
8,,高橋和希,1,,,■,,,7,1,0,14.3,1.0,0,0,0,,0,,6,0,0,1,4.2,5,3,1,70.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
10,,檀上正健,2,■,,■,,,7,3,1,42.9,1.5,0,0,0,,1,0.5,10,0,0,0,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
11,,後藤和志,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,0,0,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
12,,江崎闘愛,3,■,■,■,,,36,17,3,47.2,5.67,12,7,0,58.3,2,0.67,12,0,3,3,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
15,,上竣,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,1,0,-25.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
16,,片野坂拓人,3,■,■,□,,,12,8,0,66.7,2.67,0,0,0,,0,,10,0,0,5,12.5,13,12,0,92.3,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
17,,近藤海斗,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,,1,0.33,13,0,2,3,1.9,1,0,0,0.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
18,,チョンテヒョン,3,■,■,■,,,25,15,4,60.0,5.0,4,2,1,50.0,0,,18,2,3,10,20.8,12,4,4,50.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
19,L,石渡瑛法,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
25,L,山根志哉,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,23,17,3,80.4,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
33,,岡本伊武己,1,,■,,,,3,2,0,66.7,2.0,0,0,0,,1,1.0,4,0,0,1,6.2,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
1,,浅野晶,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
3,,齋藤貴大,3,■,■,■,,,10,3,1,30.0,1.0,0,0,0,,3,1.0,10,1,0,1,12.5,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
4,,橋本大海,3,■,■,■,,,5,1,1,20.0,0.33,0,0,0,,2,0.67,10,1,2,3,12.5,1,1,0,100.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
5,,板橋健之,2,■,■,,,,0,0,0,,,0,0,0,,0,,1,0,1,0,-25.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
6,L,野澤辰義,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,5,3,1,70.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
8,,座間健輔,3,■,■,■,,,10,4,0,40.0,1.33,4,0,0,0.0,0,,15,0,2,1,-1.7,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
9,,高村勇太,1,□,,,,,1,0,1,0.0,,1,0,1,0.0,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
18,,高田晋作,3,■,□,■,,,15,5,2,33.3,1.67,0,0,0,,0,,8,0,2,1,-3.1,23,6,7,41.3,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
19,,瀧内佑一,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
20,,杉崎大和,3,□,□,■,,,1,0,1,0.0,,0,0,0,,2,0.67,10,0,1,3,5.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
21,L,遠藤善斗,3,〇,〇,〇,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
23,,羽富琉偉,1,□,,,,,1,0,0,0.0,,0,0,0,,0,,0,0,0,0,,3,0,0,0.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
25,,野沢剛義,2,■,■,,,,3,0,0,0.0,,0,0,0,,0,,2,0,1,0,-12.5,10,7,0,70.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
26,,松下正明,3,□,■,■,,,32,18,3,56.2,6.0,5,4,0,80.0,3,1.0,8,0,0,0,0.0,29,17,3,63.8,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
1,,西村駿佑,3,■,■,■,,,23,11,2,47.8,3.67,0,0,0,,2,0.67,9,0,4,4,0.0,18,13,0,72.2,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
5,,柴田康平,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
7,,岸森翼,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
8,,山岡龍司,3,■,■,■,,,1,0,0,0.0,,0,0,0,,0,,16,1,1,4,10.9,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
9,,平野太一,3,■,■,■,,,5,3,0,60.0,1.0,0,0,0,,1,0.33,12,0,0,4,8.3,1,1,0,100.0,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
10,,川端下大,3,■,■,■,,,24,12,0,50.0,4.0,3,2,0,66.7,2,0.67,6,1,3,1,8.3,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
11,L,福島孝輝,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,13,11,0,84.6,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
12,,石黒拓未,3,■,■,■,,,11,9,0,81.8,3.0,0,0,0,,4,1.33,9,0,4,2,-5.6,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
13,,佃壮悟,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
16,,吉岡衛,3,■,■,■,,,16,7,0,43.8,2.33,1,0,0,0.0,0,,17,0,2,7,7.4,9,6,0,66.7,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
18,,上坂将輝,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
19,,大野祐大朗,1,,,□,,,0,0,0,,,0,0,0,,0,,2,0,1,1,0.0,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
22,,神代優司,1,,,□,,,0,0,0,,,0,0,0,,0,,2,0,1,1,0.0,1,0,1,50.0,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,トヨタ自動車サンホークス,東京ヴェルディ
1,,與崎風人,3,■,■,■,,,8,2,2,25.0,0.67,0,0,0,,0,,11,0,0,2,4.5,17,8,0,47.1,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
2,,藏田大輝,2,■,□,,,,5,0,2,0.0,,0,0,0,,0,,2,0,0,0,0.0,7,3,0,42.9,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
3,,辛韓翼,2,□,,□,,,0,0,0,,,0,0,0,,0,,2,0,2,0,-25.0,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
4,L,宮田航輔,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,20,13,1,67.5,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
5,,柳川大知,2,■,■,,,,12,3,1,25.0,1.5,4,1,1,25.0,0,,4,0,1,1,0.0,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
7,,辻田尚史,3,■,■,■,,,6,3,0,50.0,1.0,0,0,0,,2,0.67,6,0,2,0,-8.3,2,0,0,0.0,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
8,,坂上幹太,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,0,0,0.0,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
9,,山田駿太,2,,■,■,,,17,6,2,35.3,3.0,5,1,1,20.0,1,0.5,4,0,0,0,0.0,11,6,0,54.5,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
11,,熊谷勇人,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,,0,,8,0,2,1,-3.1,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
12,,江川晃司,2,,□,■,,,17,5,5,29.4,2.5,7,1,4,14.3,1,0.5,4,0,1,2,6.2,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
16,,石黒聖也,3,■,■,■,,,8,2,0,25.0,0.67,0,0,0,,1,0.33,8,0,0,4,12.5,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
28,,槌尾健,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,762,2022-11-05,京都府,舞鶴文化公園体育館,300,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,東京ヴェルディ,トヨタ自動車サンホークス
1,,鎌苅翔,4,■,■,■,■,,13,8,2,61.5,2.0,0,0,0,,2,0.5,15,0,2,0,-3.3,5,4,0,80.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
2,,赤松圭介,4,■,■,■,■,,29,11,2,37.9,2.75,3,3,0,100.0,3,0.75,15,0,6,1,-8.3,5,4,0,80.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
3,L,早瀬川雄也,4,●,●,●,●,,0,0,0,,,0,0,0,,0,,0,0,0,0,,20,13,0,65.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
6,,阪根彩斗,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
7,,蓑田蓮,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
9,,田中誠,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,,1,0.25,20,0,0,7,8.8,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
10,,増田宏人,4,■,■,■,■,,18,11,1,61.1,2.75,0,0,0,,1,0.25,14,1,2,2,7.1,2,1,0,50.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
11,,枡富滉,4,■,■,■,■,,12,8,1,66.7,2.0,3,1,0,33.3,4,1.0,15,0,1,4,5.0,44,35,2,81.8,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
13,,津崎智之,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
14,,井上大地,4,■,■,■,■,,42,21,3,50.0,5.25,14,8,2,57.1,1,0.25,14,0,6,3,-5.4,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
17,,田中伸哉,2,,,□,□,,0,0,0,,,0,0,0,,0,,4,0,0,1,6.2,2,0,1,25.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
24,,大崎世惇,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,クボタスピアーズ,長野GaRons
1,L,松下祐太,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
2,,鰐川怜児,4,■,■,■,■,,30,13,6,43.3,3.25,17,7,5,41.2,0,,11,0,2,3,2.3,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
3,,高井大輝,4,■,■,■,■,,1,0,0,0.0,,0,0,0,,0,,18,0,0,5,6.9,1,1,0,100.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
4,,福池凌太,4,■,■,■,■,,40,19,6,47.5,4.75,11,4,2,36.4,0,,16,3,2,1,17.2,8,1,0,12.5,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
5,,浅田潮,4,■,■,■,■,,20,3,2,15.0,0.75,6,0,2,0.0,2,0.5,16,0,0,4,6.2,38,18,10,60.5,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
6,,篠原和政,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
7,,齊藤優太,1,,□,,,,1,0,0,0.0,,0,0,0,,0,,1,0,0,0,0.0,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
9,,荻野颯大,3,,□,□,□,,6,2,0,33.3,0.67,1,1,0,100.0,0,,6,0,1,1,0.0,1,1,0,100.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
10,L,難波宏冶,4,●,●,●,●,,0,0,0,,,0,0,0,,0,,0,0,0,0,,31,21,9,82.3,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
12,,矢澤雅敦,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
13,,今中聖也,4,■,■,■,■,,6,4,0,66.7,1.0,0,0,0,,3,0.75,9,0,0,1,2.8,1,0,0,0.0,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
14,,小林雅治,4,■,■,■,■,,11,4,0,36.4,1.0,0,0,0,,2,0.5,9,0,2,2,0.0,0,0,0,,763,2022-11-05,京都府,舞鶴文化公園体育館,170,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,長野GaRons,クボタスピアーズ
1,,與崎風人,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
2,,藏田大輝,3,■,■,■,,,31,13,3,41.9,4.33,3,2,0,66.7,2,0.67,7,0,1,0,-3.6,27,13,4,55.6,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
3,,辛韓翼,3,□,□,□,,,0,0,0,,,0,0,0,,0,,6,0,1,3,8.3,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
4,L,宮田航輔,2,●,●,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,8,3,0,37.5,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
5,,柳川大知,2,,■,■,,,12,4,0,33.3,2.0,4,1,0,25.0,0,,5,0,3,0,-15.0,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
7,,辻田尚史,3,■,■,■,,,6,1,0,16.7,0.33,0,0,0,,2,0.67,5,0,0,1,5.0,1,0,1,50.0,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
8,L,坂上幹太,3,〇,〇,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,17,7,1,44.1,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
9,,山田駿太,3,■,■,■,,,17,6,1,35.3,2.0,5,1,0,20.0,0,,10,1,1,4,17.5,13,7,2,61.5,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
11,,熊谷勇人,3,■,■,■,,,0,0,0,,,0,0,0,,3,1.0,13,1,0,5,17.3,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
12,,江川晃司,1,■,,,,,9,2,2,22.2,2.0,6,1,1,16.7,0,,2,0,1,0,-12.5,1,1,0,100.0,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
16,,石黒聖也,3,■,■,■,,,8,5,0,62.5,1.67,0,0,0,,3,1.0,10,0,0,5,12.5,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
28,,槌尾健,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,東京ヴェルディ,長野GaRons
1,L,松下祐太,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,長野GaRons,東京ヴェルディ
2,,鰐川怜児,3,■,■,■,,,20,9,2,45.0,3.0,7,4,0,57.1,4,1.33,6,0,1,3,8.3,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,長野GaRons,東京ヴェルディ
3,,高井大輝,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,,0,,20,2,1,6,16.2,0,0,0,,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,長野GaRons,東京ヴェルディ
4,,福池凌太,3,■,■,■,,,40,18,3,45.0,6.0,11,4,3,36.4,2,0.67,16,1,1,6,14.1,5,2,1,50.0,766,2022-11-06,京都府,舞鶴文化公園体育館,140,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,長野GaRons,東京ヴェルディ
