No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
13,,寺岡良馬,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
14,,村形礼翔,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
17,,茂木祐太,5,■,■,■,■,■,42.0,18.0,1.0,42.9,3.6,13.0,4.0,1.0,30.8,1.0,0.2,18.0,0.0,3.0,2.0,-1.4,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,19.0
18,,三浦一真,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
2,,石川嵐斗,5,■,■,■,■,■,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,19.0,1.0,1.0,5.0,10.5,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,1.0
6,,瀧澤陽紀,5,□,□,□,□,■,8.0,6.0,0.0,75.0,1.2,0.0,0.0,0.0,,0.0,,5.0,0.0,3.0,1.0,-10.0,4.0,1.0,3.0,62.5,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,6.0
9,,松林哲平,1,,,,□,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,0.0
10,,鎌田敏弥,4,■,■,■,■,,40.0,11.0,3.0,27.5,2.75,15.0,4.0,0.0,26.7,2.0,0.5,12.0,0.0,4.0,2.0,-4.2,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,13.0
11,,濱田英寿,5,■,■,■,■,■,30.0,12.0,2.0,40.0,2.4,2.0,0.0,0.0,0.0,4.0,0.8,22.0,3.0,5.0,7.0,15.9,30.0,17.0,5.0,65.0,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,19.0
13,L,新垣東麻,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,0.0
16,,松田康河,5,■,■,■,■,■,25.0,13.0,0.0,52.0,2.6,2.0,0.0,0.0,0.0,4.0,0.8,11.0,0.0,4.0,2.0,-4.5,1.0,1.0,0.0,100.0,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,17.0
19,,架谷也斗,5,■,■,■,■,■,29.0,12.0,1.0,41.4,2.4,2.0,0.0,0.0,0.0,3.0,0.6,13.0,0.0,4.0,3.0,-1.9,25.0,8.0,4.0,40.0,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,15.0
20,,満生大輝,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,0.0
21,,十文字龍翔,5,■,■,■,■,■,13.0,7.0,1.0,53.8,1.4,0.0,0.0,0.0,,3.0,0.6,16.0,2.0,0.0,8.0,25.0,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,12.0
23,L,曽田一也,5,●,●,●,●,●,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,36.0,23.0,7.0,73.6,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,0.0
24,,辻川頼来,1,,,□,,,1.0,1.0,0.0,100.0,1.0,1.0,1.0,0.0,100.0,0.0,,3.0,0.0,1.0,0.0,-8.3,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,1.0
