Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
警視庁フォートファイターズ,3,3,25,25,19,25,,94,115,54,6,47.0,13.50,21,7,2,33.3,9,2.25,93,3,6,15,5.6,69,36.0,14.0,62.3,6.0,28,長野GaRons,1,0,19,21,25,17,,82,123,52,11,42.3,13.00,13,5,3,38.5,8,2.00,83,4,11,19,7.2,86,40.0,31.0,64.5,6.0,18
長野GaRons,1,0,19,21,25,17,,82,123,52,11,42.3,13.00,13,5,3,38.5,8,2.00,83,4,11,19,7.2,86,40.0,31.0,64.5,6.0,18,警視庁フォートファイターズ,3,3,25,25,19,25,,94,115,54,6,47.0,13.50,21,7,2,33.3,9,2.25,93,3,6,15,5.6,69,36.0,14.0,62.3,6.0,28
ヴォレアス北海道,3,3,26,25,25,,,76,92,34,7,37.0,11.33,28,15,2,53.6,14,4.67,75,3,11,15,5.3,50,28.0,14.0,70.0,4.0,25,きんでんトリニティーブリッツ,0,0,24,21,23,,,68,101,39,5,38.6,13.00,20,10,1,50.0,4,1.33,69,3,16,8,1.4,63,33.0,15.0,64.3,4.0,22
きんでんトリニティーブリッツ,0,0,24,21,23,,,68,101,39,5,38.6,13.00,20,10,1,50.0,4,1.33,69,3,16,8,1.4,63,33.0,15.0,64.3,4.0,22,ヴォレアス北海道,3,3,26,25,25,,,76,92,34,7,37.0,11.33,28,15,2,53.6,14,4.67,75,3,11,15,5.3,50,28.0,14.0,70.0,4.0,25
大同特殊鋼レッドスター,3,2,18,25,21,25,15,104,119,68,4,57.1,13.60,28,14,2,50.0,5,1.00,103,1,13,11,0.5,81,39.0,29.0,66.0,1.0,30,つくばユナイテッドSunGAIA,2,1,25,19,25,20,11,100,127,71,9,55.9,14.20,10,4,3,40.0,7,1.40,101,4,16,13,3.2,89,42.0,36.0,67.4,5.0,18
つくばユナイテッドSunGAIA,2,1,25,19,25,20,11,100,127,71,9,55.9,14.20,10,4,3,40.0,7,1.40,101,4,16,13,3.2,89,42.0,36.0,67.4,5.0,18,大同特殊鋼レッドスター,3,2,18,25,21,25,15,104,119,68,4,57.1,13.60,28,14,2,50.0,5,1.00,103,1,13,11,0.5,81,39.0,29.0,66.0,1.0,30
富士通カワサキレッドスピリッツ,3,3,25,25,22,25,,97,93,47,12,50.5,11.75,13,3,2,23.1,12,3.00,96,5,7,25,9.9,54,37.0,8.0,75.9,0.0,33,兵庫デルフィーノ,1,0,16,14,25,16,,71,110,49,11,44.5,12.25,14,7,3,50.0,3,0.75,72,0,18,9,-3.1,87,45.0,17.0,61.5,4.0,19
兵庫デルフィーノ,1,0,16,14,25,16,,71,110,49,11,44.5,12.25,14,7,3,50.0,3,0.75,72,0,18,9,-3.1,87,45.0,17.0,61.5,4.0,19,富士通カワサキレッドスピリッツ,3,3,25,25,22,25,,97,93,47,12,50.5,11.75,13,3,2,23.1,12,3.00,96,5,7,25,9.9,54,37.0,8.0,75.9,0.0,33
警視庁フォートファイターズ,2,1,23,25,25,16,16,105,141,61,12,43.3,12.20,33,11,5,33.3,8,1.60,105,3,15,10,1.7,89,53.0,20.0,70.8,2.0,33,きんでんトリニティーブリッツ,3,2,25,22,19,25,18,109,133,63,14,47.4,12.60,24,11,3,45.8,11,2.20,109,6,17,16,5.3,88,63.0,15.0,80.1,2.0,29
きんでんトリニティーブリッツ,3,2,25,22,19,25,18,109,133,63,14,47.4,12.60,24,11,3,45.8,11,2.20,109,6,17,16,5.3,88,63.0,15.0,80.1,2.0,29,警視庁フォートファイターズ,2,1,23,25,25,16,16,105,141,61,12,43.3,12.20,33,11,5,33.3,8,1.60,105,3,15,10,1.7,89,53.0,20.0,70.8,2.0,33
ヴォレアス北海道,3,3,25,25,25,,,75,91,44,5,48.4,14.67,23,16,1,69.6,7,2.33,73,4,17,20,6.5,61,38.0,7.0,68.0,2.0,20,長野GaRons,0,0,20,22,21,,,63,70,26,13,37.1,8.67,8,1,3,12.5,10,3.33,65,3,4,15,8.8,54,23.0,11.0,52.8,3.0,24
長野GaRons,0,0,20,22,21,,,63,70,26,13,37.1,8.67,8,1,3,12.5,10,3.33,65,3,4,15,8.8,54,23.0,11.0,52.8,3.0,24,ヴォレアス北海道,3,3,25,25,25,,,75,91,44,5,48.4,14.67,23,16,1,69.6,7,2.33,73,4,17,20,6.5,61,38.0,7.0,68.0,2.0,20
大同特殊鋼レッドスター,3,3,25,25,24,25,,99,112,57,7,50.9,14.25,14,7,2,50.0,9,2.25,98,4,9,28,8.9,62,22.0,20.0,51.6,2.0,29,兵庫デルフィーノ,1,0,13,20,26,16,,75,123,49,18,39.8,12.25,20,8,6,40.0,4,1.00,76,4,10,21,8.9,87,25.0,33.0,47.7,1.0,18
兵庫デルフィーノ,1,0,13,20,26,16,,75,123,49,18,39.8,12.25,20,8,6,40.0,4,1.00,76,4,10,21,8.9,87,25.0,33.0,47.7,1.0,18,大同特殊鋼レッドスター,3,3,25,25,24,25,,99,112,57,7,50.9,14.25,14,7,2,50.0,9,2.25,98,4,9,28,8.9,62,22.0,20.0,51.6,2.0,29
