,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
101,林優作,兵庫デルフィーノ,140,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,0.0,-12.5,0.0,0.0,0.0,,5268,4512.0,0.0,30.0,214.0,253.0,207.0,243.0,189.0,245.0,94.0,125.0,0.0,0.0,704.0,866.0,232,230,230,111.0,0.0,5,30,14.0,21.0,0.0,,
102,架谷也斗,つくばユナイテッドSunGAIA,285,54,370.0,169.0,17.0,45.7,3.13,60.0,28.0,4.0,46.7,18.0,0.33,180.0,5.0,29.0,44.0,4.9,296.0,143.0,68.0,59.8,8039,5671.0,24.0,21.0,351.0,336.0,318.0,354.0,352.0,345.0,272.0,259.0,45.0,37.0,1338.0,1331.0,359,359,386,285.0,51.0,30,29,19.0,40.0,192.0,41.1,40.0
103,柳田百織,富士通カワサキレッドスピリッツ,52,46,358.0,180.0,30.0,50.3,3.91,119.0,59.0,15.0,49.6,19.0,0.41,160.0,4.0,31.0,31.0,2.5,8.0,4.0,3.0,68.8,7024,6113.0,27.0,12.0,306.0,272.0,306.0,272.0,310.0,310.0,198.0,203.0,45.0,34.0,1165.0,1091.0,289,300,340,211.0,44.0,33,18,26.0,25.0,203.0,41.9,37.0
104,森垣拓真,ヴィアティン三重,135,22,10.0,3.0,1.0,30.0,0.14,0.0,0.0,0.0,,2.0,0.09,65.0,1.0,4.0,18.0,6.9,1.0,0.0,0.0,0.0,8126,7602.0,30.0,15.0,359.0,345.0,354.0,340.0,366.0,341.0,265.0,236.0,73.0,79.0,1417.0,1341.0,344,367,372,261.0,83.0,36,25,48.0,13.0,6.0,20.0,
105,森山陸人,きんでんトリニティーブリッツ,25,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,559,708.0,0.0,3.0,21.0,25.0,20.0,25.0,16.0,25.0,0.0,0.0,0.0,0.0,57.0,75.0,21,22,20,0.0,0.0,0,3,0.0,3.0,0.0,,
106,森愛樹,兵庫デルフィーノ,102,57,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,421.0,248.0,82.0,68.6,9170,6074.0,1.0,50.0,345.0,428.0,358.0,409.0,344.0,415.0,142.0,200.0,12.0,15.0,1201.0,1467.0,382,397,404,173.0,17.0,9,51,22.0,38.0,0.0,,
107,森田凌雅,埼玉アザレア,68,61,471.0,207.0,42.0,43.9,3.39,30.0,9.0,3.0,30.0,22.0,0.36,229.0,16.0,53.0,47.0,6.3,494.0,225.0,141.0,59.8,9172,6591.0,26.0,25.0,385.0,403.0,406.0,397.0,408.0,387.0,289.0,279.0,51.0,59.0,1539.0,1525.0,386,405,436,295.0,64.0,33,34,37.0,30.0,245.0,35.0,20.0
108,森陽希,大同特殊鋼レッドスター,112,16,37.0,18.0,2.0,48.6,1.12,0.0,0.0,0.0,,1.0,0.06,38.0,1.0,8.0,6.0,1.3,0.0,0.0,0.0,,7573,5501.0,7.0,35.0,309.0,334.0,288.0,334.0,290.0,338.0,129.0,139.0,12.0,15.0,1028.0,1160.0,318,320,327,138.0,13.0,12,37,23.0,26.0,20.0,43.2,
109,樋内竜也,富士通カワサキレッドスピリッツ,16,34,285.0,132.0,16.0,46.3,3.88,77.0,36.0,6.0,46.8,13.0,0.38,134.0,6.0,25.0,37.0,6.7,199.0,69.0,67.0,51.5,4469,3687.0,18.0,6.0,196.0,167.0,188.0,177.0,199.0,206.0,165.0,154.0,45.0,34.0,793.0,738.0,180,185,217,161.0,44.0,22,12,20.0,14.0,151.0,40.7,39.0
110,樫村大仁,ヴォレアス北海道,195,38,124.0,71.0,8.0,57.3,1.87,1.0,0.0,0.0,0.0,22.0,0.58,124.0,6.0,12.0,17.0,5.8,5.0,2.0,2.0,60.0,6962,6377.0,35.0,4.0,305.0,283.0,335.0,278.0,320.0,286.0,170.0,139.0,43.0,37.0,1173.0,1023.0,291,323,324,166.0,48.0,38,11,41.0,8.0,99.0,50.8,0.0
