No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
16,,小磯智紀,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,907,2023-04-09,岩手県,オガールアリーナ,70.0,11:00,12:40,1:40,印藤智一,大塚健之,上總向貴,小野寺太,クボタスピアーズ,大同特殊鋼レッドスター,3.0,0.0,23.0,25.0,25.0,18.0,25.0,20.0,25.0,20.0,,,98.0,83.0,25,22,21,23.0,,1:31,3,1,,4.0,0.0
17,,田中伸哉,1,□,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,,907,2023-04-09,岩手県,オガールアリーナ,70.0,11:00,12:40,1:40,印藤智一,大塚健之,上總向貴,小野寺太,クボタスピアーズ,大同特殊鋼レッドスター,3.0,0.0,23.0,25.0,25.0,18.0,25.0,20.0,25.0,20.0,,,98.0,83.0,25,22,21,23.0,,1:31,3,1,,4.0,0.0
18,,鐘ヶ江春樹,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,907,2023-04-09,岩手県,オガールアリーナ,70.0,11:00,12:40,1:40,印藤智一,大塚健之,上總向貴,小野寺太,クボタスピアーズ,大同特殊鋼レッドスター,3.0,0.0,23.0,25.0,25.0,18.0,25.0,20.0,25.0,20.0,,,98.0,83.0,25,22,21,23.0,,1:31,3,1,,4.0,0.0
21,,渡邊慎之介,3,■,■,■,,,14.0,4.0,1.0,28.6,1.33,2.0,2.0,0.0,100.0,0.0,,14.0,2.0,1.0,0.0,12.5,4.0,2.0,2.0,75.0,907,2023-04-09,岩手県,オガールアリーナ,70.0,11:00,12:40,1:40,印藤智一,大塚健之,上總向貴,小野寺太,クボタスピアーズ,大同特殊鋼レッドスター,3.0,0.0,23.0,25.0,25.0,18.0,25.0,20.0,25.0,20.0,,,98.0,83.0,25,22,21,23.0,,1:31,3,1,,4.0,6.0
24,,大崎世惇,4,■,■,■,■,,3.0,1.0,0.0,33.3,0.25,0.0,0.0,0.0,,3.0,0.75,14.0,1.0,0.0,0.0,7.1,0.0,0.0,0.0,,907,2023-04-09,岩手県,オガールアリーナ,70.0,11:00,12:40,1:40,印藤智一,大塚健之,上總向貴,小野寺太,クボタスピアーズ,大同特殊鋼レッドスター,3.0,0.0,23.0,25.0,25.0,18.0,25.0,20.0,25.0,20.0,,,98.0,83.0,25,22,21,23.0,,1:31,3,1,,4.0,5.0
1,,西澤岳,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
3,,逢沢亘,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
5,,中野将太,3,■,■,■,,,3.0,2.0,0.0,66.7,0.67,1.0,1.0,0.0,100.0,0.0,,15.0,1.0,0.0,3.0,11.7,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,3.0
6,L,森愛樹,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,20.0,10.0,6.0,65.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
11,,澁谷杜斗,3,■,■,■,,,21.0,7.0,6.0,33.3,2.33,0.0,0.0,0.0,,0.0,,14.0,0.0,1.0,1.0,0.0,33.0,16.0,10.0,63.6,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,7.0
16,,坂本尚哉,3,■,■,■,,,42.0,18.0,5.0,42.9,6.0,15.0,6.0,3.0,40.0,1.0,0.33,13.0,1.0,1.0,0.0,5.8,3.0,1.0,2.0,66.7,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,20.0
20,,山口匠海,3,■,■,■,,,12.0,8.0,0.0,66.7,2.67,0.0,0.0,0.0,,1.0,0.33,11.0,0.0,2.0,4.0,4.5,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,9.0
22,,橋知宏,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
23,,後藤大希,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
25,,吉田洋大,3,■,■,■,,,17.0,6.0,2.0,35.3,2.0,0.0,0.0,0.0,,0.0,,9.0,1.0,1.0,0.0,8.3,9.0,3.0,3.0,50.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,7.0
26,,山本翔也,1,□,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
28,,持下瑞貴,3,■,■,■,,,12.0,7.0,0.0,58.3,2.33,0.0,0.0,0.0,,1.0,0.33,8.0,0.0,1.0,0.0,-3.1,1.0,1.0,0.0,100.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,8.0
