,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,きんでんトリニティーブリッツ,47,33,619,603,582,394.0,132.0,2330.0,2963.0,1397.0,245.0,47.1,13.06,608.0,295.0,74.0,48.5,182.0,1.7,2334.0,101.0,434.0,513.0,5.2,2009.0,869.0,535.0,56.6,90.0,650,60,48,638,642,631,390.0,127.0,2428.0,2787,1337,214,1306.8,338.75,452,209,52,1276.8,233,59.49,2424,89,381,550,145.1,1851,821.0,465.0,1533.9,55.0,769,15268,9537.0,107,1680.0,38.9,36.3
1,つくばユナイテッドSunGAIA,42,29,604,563,596,440.0,90.0,2293.0,2996.0,1290.0,235.0,43.1,12.65,531.0,217.0,78.0,40.9,245.0,2.4,2307.0,82.0,418.0,516.0,4.6,1976.0,1012.0,436.0,62.2,76.0,676,60,49,613,625,606,442.0,77.0,2363.0,3022,1351,257,1180.1,345.98,510,225,74,1140.9,214,55.36,2349,69,337,495,123.8,1848,868.0,422.0,1521.3,82.0,729,14735,10180.0,102,1617.0,35.2,26.2
2,アイシンティルマーレ,61,49,638,588,599,363.0,114.0,2302.0,3006.0,1319.0,194.0,43.9,12.93,520.0,217.0,51.0,41.7,227.0,2.23,2288.0,75.0,376.0,470.0,4.3,1861.0,721.0,570.0,54.1,54.0,681,41,29,554,594,576,387.0,112.0,2223.0,3072,1312,250,1102.8,331.73,557,245,70,1061.0,203,51.3,2237,84,352,512,141.1,1879,835.0,532.0,1524.4,79.0,624,14861,10222.0,102,1621.0,37.4,31.9
3,サフィルヴァ北海道,70,61,644,666,644,407.0,100.0,2461.0,2836.0,1368.0,206.0,48.2,12.91,674.0,320.0,75.0,47.5,291.0,2.75,2443.0,103.0,374.0,522.0,5.7,1845.0,749.0,537.0,55.1,68.0,699,36,20,591,559,587,384.0,117.0,2238.0,3050,1347,251,1184.0,340.73,529,241,60,1173.1,166,41.03,2256,77,376,518,124.2,2028,850.0,595.0,1511.9,72.0,648,15286,14775.0,106,1762.0,41.0,36.4
4,ヴィアティン三重,55,42,634,631,643,448.0,103.0,2459.0,3117.0,1432.0,230.0,45.9,13.38,441.0,206.0,54.0,46.7,227.0,2.12,2454.0,85.0,345.0,519.0,5.2,2022.0,971.0,544.0,61.5,55.0,715,52,39,636,630,621,432.0,109.0,2428.0,3123,1452,269,1267.7,365.46,597,268,92,1183.4,251,63.33,2433,95,382,440,121.2,2073,933.0,573.0,1588.8,64.0,630,15420,13789.0,107,1744.0,38.6,34.5
5,ヴォレアス北海道,78,73,648,657,670,400.0,58.0,2433.0,2663.0,1403.0,196.0,52.7,13.89,538.0,293.0,57.0,54.5,271.0,2.68,2401.0,147.0,435.0,628.0,8.1,1754.0,804.0,413.0,57.6,56.0,612,23,8,576,594,566,326.0,45.0,2107.0,2712,1205,185,1199.5,321.29,475,212,51,1199.2,135,34.86,2139,80,350,491,141.7,1907,711.0,480.0,1351.8999999999999,77.0,687,15411,15521.0,101,1821.0,45.3,43.9
6,兵庫デルフィーノ,16,2,532,551,570,261.0,22.0,1936.0,2844.0,1110.0,261.0,39.0,11.44,403.0,159.0,68.0,39.5,129.0,1.33,1972.0,54.0,308.0,411.0,4.0,1929.0,834.0,498.0,56.1,73.0,643,81,79,675,656,659,348.0,30.0,2368.0,2725,1352,217,1352.2,376.06,459,205,63,1186.8,280,78.92,2332,94,364,542,169.5,1644,776.0,422.0,1609.6,62.0,642,15193,9037.0,97,1293.0,29.9,22.6
7,埼玉アザレア,55,43,615,651,644,481.0,77.0,2468.0,3237.0,1463.0,244.0,45.2,13.67,515.0,220.0,71.0,42.7,203.0,1.9,2469.0,67.0,283.0,542.0,5.3,1925.0,912.0,489.0,60.1,72.0,735,52,38,624,623,611,464.0,90.0,2412.0,3350,1473,249,1187.7,370.07,615,266,75,1116.5,240,59.86,2411,100,420,489,133.3,2160,971.0,606.0,1584.6,66.0,599,15265,9716.0,107,1733.0,37.7,28.9
8,大同特殊鋼レッドスター,25,15,571,583,566,278.0,37.0,2035.0,2795.0,1217.0,265.0,43.5,12.55,315.0,112.0,66.0,35.6,163.0,1.68,2059.0,52.0,252.0,404.0,4.4,1876.0,813.0,488.0,56.3,70.0,603,72,66,652,645,654,303.0,45.0,2299.0,2757,1349,194,1337.6,376.38,475,229,56,1307.8,262,74.46,2275,101,353,520,171.5,1787,861.0,489.0,1671.7,56.0,587,15434,11881.0,97,1432.0,34.1,14.6
9,富士通カワサキレッドスピリッツ,66,55,640,638,641,412.0,75.0,2406.0,3044.0,1469.0,233.0,48.3,14.12,667.0,324.0,71.0,48.6,234.0,2.25,2396.0,90.0,426.0,497.0,4.5,1904.0,827.0,570.0,58.4,53.0,613,38,26,586,563,644,408.0,56.0,2257.0,2903,1290,223,1199.0,330.68,543,263,72,1268.9,188,47.19,2267,67,336,465,110.1,1924,886.0,496.0,1570.6,54.0,712,15407,11630.0,104,1793.0,40.6,37.9
