,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
14,坊野明里,ヴィクトリーナ姫路,4,46,8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.12,25.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,1.0,,
15,城戸陽菜,岡山シーガルズ,4,22,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,14.0,4.0,76.2,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,0.0,,
16,大元朱菜,ヴィクトリーナ姫路,4,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,912,1137.0,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2,3,5.0,0.0,0.0,,
17,孫田菜奈,ヴィクトリーナ姫路,4,12,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,914,1356.0,0.0,3.0,18.0,25.0,23.0,25.0,17.0,25.0,0.0,0.0,0.0,0.0,58.0,75.0,23,29,25,0.0,0.0,0,3,3.0,0.0,0.0,,
18,宇賀神みずき,岡山シーガルズ,4,10,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.43,22.0,0.0,0.0,4.0,4.5,0.0,0.0,0.0,,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,3.0,,
19,安福若菜,群馬銀行グリーンウイングス,4,16,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,911,750.0,0.0,3.0,18.0,25.0,12.0,25.0,18.0,25.0,0.0,0.0,0.0,0.0,48.0,75.0,23,20,26,0.0,0.0,0,3,0.0,3.0,0.0,,
20,宮下遥,岡山シーガルズ,4,28,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,0.0,,
21,宮本菜月,プレステージ・インターナショナルアランマーレ,4,12,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,0.0,0.0,
22,宮部藍梨,ヴィクトリーナ姫路,4,58,8,120.0,42.0,5.0,35.0,5.25,0.0,0.0,0.0,,4.0,0.5,24.0,2.0,2.0,8.0,14.6,3.0,1.0,2.0,66.7,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,48.0,30.8,
23,小林知加,群馬銀行グリーンウイングス,4,24,5,13.0,3.0,0.0,23.1,0.6,0.0,0.0,0.0,,0.0,0.0,11.0,1.0,1.0,5.0,18.2,9.0,3.0,2.0,44.4,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,4.0,23.1,
24,岡村南奈,プレステージ・インターナショナルアランマーレ,4,26,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,0.0,0.0,
25,川島亜依美,岡山シーガルズ,4,56,4,11.0,7.0,0.0,63.6,1.75,0.0,0.0,0.0,,3.0,0.75,16.0,2.0,1.0,6.0,20.3,2.0,1.0,0.0,50.0,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,12.0,63.6,
26,有村涼美,プレステージ・インターナショナルアランマーレ,4,34,4,54.0,20.0,6.0,37.0,5.0,14.0,6.0,2.0,42.9,0.0,0.0,16.0,0.0,4.0,5.0,1.6,30.0,18.0,5.0,68.3,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,20.0,25.9,28.6
27,有薗未也美,プレステージ・インターナショナルアランマーレ,4,38,8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,35.0,15.0,10.0,57.1,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,0.0,,
28,木村友里,プレステージ・インターナショナルアランマーレ,4,6,8,57.0,25.0,2.0,43.9,3.12,4.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,7.0,12.0,54.0,24.0,15.0,58.3,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,26.0,40.4,-25.0
29,松尾奈津子,群馬銀行グリーンウイングス,4,30,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.17,23.0,3.0,1.0,3.0,15.2,0.0,0.0,0.0,,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,4.0,0.0,
30,松本愛希穂,ヴィクトリーナ姫路,4,30,6,33.0,7.0,3.0,21.2,1.17,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,15.0,4.0,63.0,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,7.0,12.1,
31,柳沢紫子,プレステージ・インターナショナルアランマーレ,4,20,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,1.0,1.0,0.0,18.8,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,1.0,,
32,栗栖留生,群馬銀行グリーンウイングス,4,10,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,18.0,11.0,57.3,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,0.0,,
33,櫻井美樹,ヴィクトリーナ姫路,4,4,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,0.0,,
34,正木七海,群馬銀行グリーンウイングス,4,11,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,913,837.0,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,0.0,0.0,74.0,94.0,24,21,21,33.0,0.0,1,3,0.0,4.0,0.0,0.0,
35,清水愛,群馬銀行グリーンウイングス,4,26,6,20.0,2.0,1.0,10.0,0.33,0.0,0.0,0.0,,2.0,0.33,15.0,0.0,1.0,4.0,5.0,11.0,6.0,3.0,68.2,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,4.0,5.0,
36,清田萌,ヴィクトリーナ姫路,4,34,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,1.0,0.0,1.0,15.6,0.0,0.0,0.0,,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,1.0,,
37,濱田真友,岡山シーガルズ,4,2,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,0.0,,
38,田中咲希,ヴィクトリーナ姫路,4,26,7,55.0,23.0,2.0,41.8,3.29,0.0,0.0,0.0,,2.0,0.29,15.0,2.0,2.0,6.0,20.0,34.0,10.0,11.0,45.6,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,27.0,38.2,
39,田中瑠奈,群馬銀行グリーンウイングス,4,2,4,22.0,5.0,4.0,22.7,1.25,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,3.1,6.0,3.0,2.0,66.7,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,5.0,4.5,-100.0
40,田口絢佳,岡山シーガルズ,4,3,3,12.0,3.0,3.0,25.0,1.0,0.0,0.0,0.0,,1.0,0.33,14.0,1.0,1.0,1.0,7.1,0.0,0.0,0.0,,913,837.0,3.0,0.0,19.0,25.0,25.0,11.0,25.0,15.0,25.0,23.0,0.0,0.0,94.0,74.0,24,21,21,33.0,0.0,3,1,4.0,0.0,5.0,0.0,
41,白岩蘭奈,群馬銀行グリーンウイングス,4,20,6,49.0,16.0,8.0,32.7,2.67,2.0,1.0,1.0,50.0,2.0,0.33,9.0,0.0,4.0,2.0,-5.6,40.0,15.0,11.0,51.2,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,18.0,16.3,0.0
42,目黒愛梨,群馬銀行グリーンウイングス,4,18,4,7.0,3.0,0.0,42.9,0.75,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,3.0,7.5,1.0,0.0,0.0,0.0,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,3.0,42.9,
43,石盛めるも,プレステージ・インターナショナルアランマーレ,4,24,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,32.0,0.0,0.0,11.0,8.6,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,0.0,0.0,
44,船田芽依,岡山シーガルズ,4,22,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,5.0,0.0,83.3,911,750.0,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,0.0,0.0,0.0,0.0,75.0,48.0,23,20,26,0.0,0.0,3,0,3.0,0.0,0.0,,
