,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,プレステージ・インターナショナルアランマーレ,6,5,50,50,43,16.0,16.0,175.0,327.0,109.0,22.0,33.3,13.62,32.0,10.0,5.0,31.2,18.0,2.25,173.0,8.0,15.0,54.0,10.3,155.0,74.0,39.0,60.3,5.0,40,2,1,40,43,42,25.0,14.0,164.0,297,99,18,65.6,24.47,3,0,1,16,3.73,166,7,8,38,18.0,156,60.0,35.0,98.80000000000001,14.0,42,1826,2493.0,8,135.0,26.6,15.6
1,ヴィクトリーナ姫路,2,1,40,43,42,25.0,14.0,164.0,297.0,99.0,18.0,33.3,12.38,3.0,0.0,1.0,0.0,16.0,2.0,166.0,7.0,8.0,38.0,8.7,156.0,60.0,35.0,49.7,14.0,42,6,5,50,50,43,16.0,16.0,175.0,327,109,22,67.8,27.8,32,10,5,18,4.53,173,8,15,54,20.799999999999997,155,74.0,39.0,119.6,5.0,40,1826,2493.0,8,122.0,27.3,-33.3
2,岡山シーガルズ,6,6,44,50,50,25.0,0.0,169.0,233.0,94.0,8.0,40.3,13.43,1.0,1.0,0.0,100.0,17.0,2.43,167.0,4.0,7.0,53.0,9.3,102.0,64.0,12.0,68.6,7.0,54,1,0,43,23,33,23.0,0.0,122.0,269,86,25,63.1,24.25,19,3,5,10,2.67,124,4,20,24,8.6,159,66.0,37.0,106.7,9.0,22,1824,1587.0,7,115.0,36.9,100.0
3,群馬銀行グリーンウイングス,1,0,43,23,33,23.0,0.0,122.0,269.0,86.0,25.0,32.0,12.29,19.0,3.0,5.0,15.8,10.0,1.43,124.0,4.0,20.0,24.0,4.0,159.0,66.0,37.0,53.1,9.0,22,6,6,44,50,50,25.0,0.0,169.0,233,94,8,81.0,26.75,1,1,0,17,5.33,167,4,7,53,18.5,102,64.0,12.0,137.10000000000002,7.0,54,1824,1587.0,7,100.0,22.7,-10.5
