No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
33,,中本柚朱,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,19.0,25.0,25.0,11.0,25.0,15.0,25.0,23.0,,,94.0,74.0,24,21,21,33.0,,1:39,3,1,4.0,,0.0
1,,田中瑠奈,1,,,,□,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
2,L,吉岡みなみ,3,,〇,〇,〇,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,100.0,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
4,,道下ひなの,4,■,■,■,■,,20.0,4.0,1.0,20.0,1.0,0.0,0.0,0.0,,0.0,,9.0,0.0,2.0,1.0,-2.8,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,4.0
5,L,栗栖留生,4,●,●,●,●,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,23.0,13.0,4.0,65.2,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
6,,古市彩音,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
7,,藤井寧々,4,■,■,■,■,,37.0,15.0,1.0,40.5,3.75,1.0,1.0,0.0,100.0,1.0,0.25,13.0,0.0,4.0,3.0,-1.9,26.0,8.0,5.0,40.4,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,16.0
8,,ハンタヴァエヴァンゲリア,4,■,■,■,■,,43.0,19.0,6.0,44.2,4.75,8.0,1.0,3.0,12.5,3.0,0.75,7.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,65.0,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,22.0
9,,目黒愛梨,3,□,,□,■,,7.0,3.0,0.0,42.9,1.0,0.0,0.0,0.0,,0.0,,9.0,0.0,0.0,3.0,8.3,1.0,0.0,0.0,0.0,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,3.0
10,,白岩蘭奈,4,■,■,■,■,,37.0,11.0,6.0,29.7,2.75,2.0,1.0,1.0,50.0,2.0,0.5,6.0,0.0,4.0,1.0,-12.5,28.0,9.0,10.0,50.0,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,13.0
11,,正木七海,1,,□,,,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
12,,小林知加,2,,,□,□,,1.0,1.0,0.0,100.0,0.5,0.0,0.0,0.0,,0.0,,7.0,1.0,0.0,4.0,28.6,3.0,1.0,0.0,33.3,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,2.0
13,,清水愛,3,■,■,■,,,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.33,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,1.0
15,,松尾奈津子,4,■,■,■,■,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.25,16.0,1.0,1.0,2.0,7.8,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,2.0
18,,藤原愛,1,,□,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,,913,2023-04-09,新潟県,シティホールプラザ アオーレ長岡,837.0,11:00,12:48,1:48,勝又正,慈眼雅啓,本間明,島田和彦,群馬銀行グリーンウイングス,岡山シーガルズ,0.0,3.0,25.0,19.0,11.0,25.0,15.0,25.0,23.0,25.0,,,74.0,94.0,24,21,21,33.0,,1:39,1,3,,4.0,0.0
2,,櫻井美樹,2,■,■,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,0.0
