Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
久光スプリングス,3,3,25,26,26,,,77,139,50,3,36.0,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27.0,10.0,48.5,0.0,17,デンソーエアリービーズ,0,0,23,24,24,,,71,139,51,8,36.7,17.00,16,4,3,25.0,8,2.67,72,3,6,29,12.2,69,37.0,5.0,57.2,3.0,9
デンソーエアリービーズ,0,0,23,24,24,,,71,139,51,8,36.7,17.00,16,4,3,25.0,8,2.67,72,3,6,29,12.2,69,37.0,5.0,57.2,3.0,9,久光スプリングス,3,3,25,26,26,,,77,139,50,3,36.0,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27.0,10.0,48.5,0.0,17
JTマーヴェラス,3,3,25,25,25,,,75,145,58,7,40.0,19.33,25,9,3,36.0,1,0.33,74,6,5,16,11.8,60,43.0,8.0,78.3,0.0,10,岡山シーガルズ,0,0,20,22,21,,,63,121,46,2,38.0,15.33,2,1,0,50.0,4,1.33,64,1,4,8,3.1,68,38.0,9.0,62.5,4.0,12
岡山シーガルズ,0,0,20,22,21,,,63,121,46,2,38.0,15.33,2,1,0,50.0,4,1.33,64,1,4,8,3.1,68,38.0,9.0,62.5,4.0,12,JTマーヴェラス,3,3,25,25,25,,,75,145,58,7,40.0,19.33,25,9,3,36.0,1,0.33,74,6,5,16,11.8,60,43.0,8.0,78.3,0.0,10
久光スプリングス,1,0,22,27,19,13,,81,148,55,6,37.2,13.75,7,3,1,42.9,8,2.00,82,1,5,20,5.8,90,48.0,11.0,59.4,3.0,17,JTマーヴェラス,3,3,25,25,25,25,,100,160,71,6,44.4,17.75,20,9,1,45.0,9,2.25,98,6,6,29,12.0,76,48.0,10.0,69.7,5.0,14
JTマーヴェラス,3,3,25,25,25,25,,100,160,71,6,44.4,17.75,20,9,1,45.0,9,2.25,98,6,6,29,12.0,76,48.0,10.0,69.7,5.0,14,久光スプリングス,1,0,22,27,19,13,,81,148,55,6,37.2,13.75,7,3,1,42.9,8,2.00,82,1,5,20,5.8,90,48.0,11.0,59.4,3.0,17
岡山シーガルズ,1,0,25,19,19,18,,81,161,56,4,34.8,14.00,1,0,0,0.0,7,1.75,82,0,3,16,4.0,86,44.0,11.0,57.6,1.0,18,NECレッドロケッツ,3,3,19,25,25,25,,94,181,71,8,39.2,17.75,12,2,1,16.7,9,2.25,93,6,7,25,11.3,79,51.0,12.0,72.2,3.0,8
NECレッドロケッツ,3,3,19,25,25,25,,94,181,71,8,39.2,17.75,12,2,1,16.7,9,2.25,93,6,7,25,11.3,79,51.0,12.0,72.2,3.0,8,岡山シーガルズ,1,0,25,19,19,18,,81,161,56,4,34.8,14.00,1,0,0,0.0,7,1.75,82,0,3,16,4.0,86,44.0,11.0,57.6,1.0,18
日立リヴァーレ,3,2,25,22,21,25,15,108,158,71,10,44.9,14.20,11,5,0,45.5,12,2.40,107,4,13,35,8.9,86,36.0,23.0,55.2,10.0,21,ヴィクトリーナ姫路,2,1,16,25,25,20,12,98,166,60,9,36.1,12.00,3,1,0,33.3,5,1.00,99,0,11,27,4.0,91,41.0,15.0,53.3,1.0,33
ヴィクトリーナ姫路,2,1,16,25,25,20,12,98,166,60,9,36.1,12.00,3,1,0,33.3,5,1.00,99,0,11,27,4.0,91,41.0,15.0,53.3,1.0,33,日立リヴァーレ,3,2,25,22,21,25,15,108,158,71,10,44.9,14.20,11,5,0,45.5,12,2.40,107,4,13,35,8.9,86,36.0,23.0,55.2,10.0,21
