Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,TotalSet
東レアローズ,3,3,25,25,25,,,75.0,125.0,53.0,3.0,42.4,17.67,21.0,12.0,1.0,57.1,7.0,2.33,74.0,3.0,7.0,18.0,7.8,54.0,8.0,33.0,45.4,1.0,12,NECレッドロケッツ,0,0,18,19,18,,,55.0,114,35,8,30.7,11.67,8,2,1,25.0,9,3.00,56,0,2,13,4.9,67,14.0,32.0,44.8,2.0,11,489,2023-04-08,群馬県,高崎アリーナ,1753.0,12:05,13:32,1:27,利根川忠史/田中昭彦,吉岡奈々,明井寿枝,手島義則,3
NECレッドロケッツ,0,0,18,19,18,,,55.0,114.0,35.0,8.0,30.7,11.67,8.0,2.0,1.0,25.0,9.0,3.0,56.0,0.0,2.0,13.0,4.9,67.0,14.0,32.0,44.8,2.0,11,東レアローズ,3,3,25,25,25,,,75.0,125,53,3,42.4,17.67,21,12,1,57.1,7,2.33,74,3,7,18,7.8,54,8.0,33.0,45.4,1.0,12,489,2023-04-08,群馬県,高崎アリーナ,1753.0,12:05,13:32,1:27,利根川忠史/田中昭彦,吉岡奈々,明井寿枝,手島義則,3
埼玉上尾メディックス,3,2,17,27,20,26,15,105.0,174.0,71.0,5.0,40.8,14.2,10.0,4.0,1.0,40.0,8.0,1.6,104.0,5.0,8.0,21.0,7.9,101.0,48.0,16.0,55.4,4.0,21,久光スプリングス,2,1,25,25,25,24,8,107.0,184,80,10,43.5,16.00,8,4,1,50.0,7,1.40,108,3,7,35,9.3,96,43.0,27.0,58.9,4.0,17,490,2023-04-08,群馬県,高崎アリーナ,1945.0,15:05,17:32,2:27,利根川忠史・田中昭彦,渡部菜保子,津嶋由香,新井裕之,5
久光スプリングス,2,1,25,25,25,24,8,107.0,184.0,80.0,10.0,43.5,16.0,8.0,4.0,1.0,50.0,7.0,1.4,108.0,3.0,7.0,35.0,9.3,96.0,43.0,27.0,58.9,4.0,17,埼玉上尾メディックス,3,2,17,27,20,26,15,105.0,174,71,5,40.8,14.20,10,4,1,40.0,8,1.60,104,5,8,21,7.9,101,48.0,16.0,55.4,4.0,21,490,2023-04-08,群馬県,高崎アリーナ,1945.0,15:05,17:32,2:27,利根川忠史・田中昭彦,渡部菜保子,津嶋由香,新井裕之,5
東レアローズ,3,3,25,27,25,,,77.0,124.0,53.0,7.0,42.7,17.67,15.0,7.0,0.0,46.7,10.0,3.33,75.0,2.0,5.0,26.0,9.7,57.0,28.0,13.0,60.5,3.0,12,埼玉上尾メディックス,0,0,23,25,12,,,60.0,114,42,6,36.8,14.00,13,5,0,38.5,3,1.00,62,0,5,16,4.4,70,25.0,17.0,47.9,1.0,15,491,2023-04-09,群馬県,高崎アリーナ,1855.0,12:05,13:37,1:32,利根川忠史・田中昭彦,佐々木伸子,津嶋由香,飯田 貢士,3
埼玉上尾メディックス,0,0,23,25,12,,,60.0,114.0,42.0,6.0,36.8,14.0,13.0,5.0,0.0,38.5,3.0,1.0,62.0,0.0,5.0,16.0,4.4,70.0,25.0,17.0,47.9,1.0,15,東レアローズ,3,3,25,27,25,,,77.0,124,53,7,42.7,17.67,15,7,0,46.7,10,3.33,75,2,5,26,9.7,57,28.0,13.0,60.5,3.0,12,491,2023-04-09,群馬県,高崎アリーナ,1855.0,12:05,13:37,1:32,利根川忠史・田中昭彦,佐々木伸子,津嶋由香,飯田 貢士,3
久光スプリングス,0,0,13,20,23,,,56.0,116.0,41.0,11.0,35.3,13.67,9.0,3.0,2.0,33.3,6.0,2.0,57.0,0.0,3.0,23.0,8.8,71.0,26.0,18.0,49.3,3.0,9,NECレッドロケッツ,3,3,25,25,25,,,75.0,115,43,7,37.4,14.33,6,1,2,16.7,9,3.00,74,6,2,21,14.5,54,18.0,13.0,45.4,0.0,17,492,2023-04-09,群馬県,高崎アリーナ,1825.0,15:05,16:37,1:32,利根川忠史・田中昭彦,増岡三佳子,明井寿枝,新井裕之,3
NECレッドロケッツ,3,3,25,25,25,,,75.0,115.0,43.0,7.0,37.4,14.33,6.0,1.0,2.0,16.7,9.0,3.0,74.0,6.0,2.0,21.0,14.5,54.0,18.0,13.0,45.4,0.0,17,久光スプリングス,0,0,13,20,23,,,56.0,116,41,11,35.3,13.67,9,3,2,33.3,6,2.00,57,0,3,23,8.8,71,26.0,18.0,49.3,3.0,9,492,2023-04-09,群馬県,高崎アリーナ,1825.0,15:05,16:37,1:32,利根川忠史・田中昭彦,増岡三佳子,明井寿枝,新井裕之,3
東レアローズ,0,0,15,19,23,,,57.0,110.0,42.0,8.0,38.2,14.0,4.0,2.0,0.0,50.0,4.0,1.33,58.0,1.0,8.0,17.0,5.6,67.0,16.0,30.0,46.3,2.0,10,久光スプリングス,3,3,25,25,25,,,75.0,98,46,2,46.9,15.33,4,1,1,25.0,10,3.33,74,1,6,21,6.4,50,19.0,13.0,51.0,2.0,18,493,2023-04-15,愛知県,豊田市総合体育館,1721.0,12:05,13:25,1:20,髙橋憲太郎,増岡三佳子,原啓之,松本冴香,3
久光スプリングス,3,3,25,25,25,,,75.0,98.0,46.0,2.0,46.9,15.33,4.0,1.0,1.0,25.0,10.0,3.33,74.0,1.0,6.0,21.0,6.4,50.0,19.0,13.0,51.0,2.0,18,東レアローズ,0,0,15,19,23,,,57.0,110,42,8,38.2,14.00,4,2,0,50.0,4,1.33,58,1,8,17,5.6,67,16.0,30.0,46.3,2.0,10,493,2023-04-15,愛知県,豊田市総合体育館,1721.0,12:05,13:25,1:20,髙橋憲太郎,増岡三佳子,原啓之,松本冴香,3
