,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,NECレッドロケッツ,6,6,68,69,61,25.0,0.0,223.0,395.0,141.0,19.0,35.7,14.1,30.0,10.0,3.0,33.3,24.0,2.4,222.0,9.0,11.0,54.0,8.9,195.0,57.0,77.0,49.0,8.0,49,4,3,56,61,73,23.0,0.0,213.0,407,149,24,110.8,45.09,48,17,3,101.5,21,6.33,214,5,19,56,20.8,209,76.0,71.0,156.6,6.0,38,1475,5489.0,10,174.0,30.9,23.3
1,久光スプリングス,5,4,63,70,73,24.0,8.0,238.0,398.0,167.0,23.0,42.0,15.18,21.0,8.0,4.0,38.1,23.0,2.09,239.0,4.0,16.0,79.0,8.3,217.0,88.0,58.0,53.9,9.0,44,6,5,57,71,68,26.0,15.0,237.0,399,156,20,116.4,42.53,20,7,3,106.7,21,5.93,236,12,18,59,28.0,222,82.0,59.0,147.1,6.0,48,1475,5491.0,11,194.0,36.2,19.0
2,埼玉上尾メディックス,4,2,58,68,57,49.0,15.0,247.0,454.0,168.0,21.0,37.0,14.0,41.0,11.0,1.0,26.8,19.0,1.58,249.0,7.0,22.0,52.0,5.8,255.0,115.0,53.0,55.5,7.0,53,8,7,75,77,68,49.0,8.0,277.0,474,196,21,124.2,49.42,39,18,1,140.5,23,6.23,275,8,19,81,25.8,227,96.0,72.0,174.8,13.0,50,1475,5711.0,12,194.0,32.4,24.4
3,東レアローズ,6,6,65,71,73,0.0,0.0,209.0,359.0,148.0,18.0,41.2,16.44,40.0,21.0,1.0,52.5,21.0,2.33,207.0,6.0,20.0,61.0,7.9,178.0,52.0,76.0,50.6,6.0,34,3,3,66,69,55,0.0,0.0,190.0,326,123,16,114.4,41.0,25,8,2,88.5,22,7.33,192,1,13,50,15.700000000000001,187,58.0,62.0,143.7,5.0,44,1473,5329.0,9,175.0,36.2,50.0
