,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
13,ウィルハイトサラ,NECレッドロケッツ,11,36,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,1.0,0.0,-8.3,0.0,0.0,0.0,,680,6019.0,6.0,0.0,50.0,40.0,55.0,43.0,56.0,52.0,0.0,0.0,0.0,0.0,161.0,135.0,49.0,55.0,64.0,0.0,0.0,6,0,6.0,0.0,0.0,,
14,ウィルハイトサラ,NECレッドロケッツ,12,36,7,55.0,17.0,1.0,30.9,2.43,4.0,2.0,0.0,50.0,5.0,0.71,22.0,3.0,1.0,5.0,18.2,13.0,2.0,7.0,42.3,714,3183.0,6.0,0.0,46.0,50.0,50.0,44.0,50.0,37.0,50.0,39.0,0.0,0.0,196.0,170.0,27.0,25.0,27.0,27.0,0.0,6,2,8.0,0.0,25.0,29.1,50.0
15,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,1,136,19,131.0,41.0,10.0,31.3,2.16,29.0,10.0,2.0,34.5,2.0,0.11,28.0,0.0,2.0,5.0,2.7,0.0,0.0,0.0,,3075,8040.0,9.0,15.0,184.0,201.0,190.0,184.0,173.0,169.0,139.0,126.0,31.0,27.0,717.0,707.0,210.0,227.0,198.0,160.0,36.0,14,18,7.0,25.0,43.0,23.7,27.6
16,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,2,102,12,102.0,33.0,5.0,32.4,2.75,15.0,6.0,2.0,40.0,0.0,0.0,17.0,3.0,1.0,2.0,19.1,0.0,0.0,0.0,,2555,7482.0,12.0,6.0,133.0,142.0,126.0,125.0,144.0,116.0,95.0,100.0,26.0,29.0,524.0,512.0,160.0,142.0,146.0,118.0,39.0,14,10,21.0,3.0,36.0,27.5,26.7
17,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,3,17,4,58.0,16.0,4.0,27.6,4.0,8.0,3.0,1.0,37.5,0.0,0.0,14.0,0.0,2.0,3.0,1.8,0.0,0.0,0.0,,448,1080.0,0.0,3.0,22.0,25.0,33.0,31.0,14.0,25.0,18.0,25.0,0.0,0.0,87.0,106.0,26.0,37.0,22.0,24.0,0.0,1,3,4.0,0.0,16.0,20.7,25.0
18,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,10,34,8,74.0,27.0,6.0,36.5,3.38,14.0,6.0,1.0,42.9,7.0,0.88,26.0,2.0,1.0,8.0,14.4,1.0,1.0,0.0,100.0,588,1782.0,5.0,1.0,41.0,38.0,50.0,41.0,47.0,45.0,25.0,18.0,15.0,8.0,178.0,150.0,39.0,56.0,48.0,22.0,16.0,6,2,8.0,0.0,36.0,28.4,35.7
19,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,11,136,28,283.0,117.0,24.0,41.3,4.18,70.0,30.0,7.0,42.9,9.0,0.32,60.0,2.0,11.0,7.0,1.7,4.0,3.0,0.0,75.0,2603,8743.0,7.0,17.0,174.0,180.0,168.0,182.0,186.0,199.0,73.0,96.0,13.0,15.0,614.0,672.0,200.0,196.0,222.0,98.0,17.0,10,19,6.0,23.0,128.0,32.9,32.9
20,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,12,34,6,67.0,25.0,7.0,37.3,4.17,9.0,2.0,2.0,22.2,3.0,0.5,16.0,1.0,0.0,4.0,12.5,0.0,0.0,0.0,,706,1052.0,3.0,3.0,42.0,46.0,42.0,43.0,40.0,50.0,25.0,20.0,0.0,0.0,149.0,159.0,46.0,46.0,53.0,26.0,0.0,3,4,7.0,0.0,29.0,26.9,0.0
21,オズソイネリマン,デンソーエアリービーズ,1,248,30,442.0,159.0,31.0,36.0,5.3,150.0,57.0,12.0,38.0,19.0,0.63,122.0,2.0,3.0,31.0,7.4,3.0,1.0,1.0,50.0,3069,8122.0,17.0,7.0,187.0,184.0,195.0,192.0,201.0,162.0,122.0,113.0,15.0,13.0,720.0,664.0,209.0,239.0,234.0,138.0,17.0,19,11,16.0,14.0,180.0,29.0,30.0
22,オズソイネリマン,デンソーエアリービーズ,2,186,20,245.0,107.0,12.0,43.7,5.35,83.0,37.0,5.0,44.6,5.0,0.25,80.0,3.0,4.0,16.0,7.5,12.0,10.0,0.0,83.3,2566,7993.0,6.0,12.0,140.0,123.0,133.0,136.0,133.0,134.0,44.0,50.0,0.0,0.0,450.0,443.0,146.0,161.0,159.0,55.0,0.0,8,12,10.0,10.0,115.0,38.8,38.6
