,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,JTマーヴェラス,1,20,15,198.0,182.0,198.0,139.0,53.0,770.0,1336.0,523.0,65.0,39.1,14.94,144.0,56.0,10.0,38.9,70.0,2.0,767.0,22.0,57.0,172.0,6.6,705.0,330.0,193.0,60.5,23.0,155,15,9,169.0,188.0,184.0,157.0,58.0,756.0,1348,526,89,309.5,119.5,77,21,9,68,15.67,759,17,47,173,50.099999999999994,704,325.0,190.0,475.0,19.0,145,3069,12918.0,35,615.0,34.3,31.9
1,JTマーヴェラス,2,15,12,147.0,143.0,142.0,86.0,32.0,550.0,887.0,394.0,42.0,44.4,16.42,105.0,48.0,10.0,45.7,33.0,1.38,548.0,19.0,36.0,113.0,7.0,459.0,223.0,115.0,61.1,8.0,104,9,6,123.0,124.0,132.0,90.0,32.0,501.0,881,348,48,234.3,86.18,51,25,7,50,12.49,504,17,41,108,39.0,502,246.0,133.0,370.6,15.0,86,2580,5620.0,24,446.0,39.7,36.2
2,JTマーヴェラス,3,14,11,170.0,167.0,159.0,59.0,15.0,570.0,947.0,387.0,50.0,40.9,15.48,112.0,42.0,6.0,37.5,45.0,1.8,568.0,20.0,40.0,142.0,8.0,485.0,259.0,106.0,64.3,13.0,118,11,10,158.0,151.0,143.0,75.0,12.0,539.0,935,369,54,275.8,103.39,101,41,11,47,13.26,541,20,46,111,48.4,517,250.0,116.0,419.3,18.0,103,3277,6327.0,25,452.0,35.6,32.1
3,JTマーヴェラス,10,6,5,48.0,50.0,46.0,25.0,15.0,184.0,295.0,115.0,15.0,39.0,14.38,32.0,8.0,0.0,25.0,17.0,2.12,181.0,5.0,6.0,49.0,8.7,135.0,61.0,37.0,58.9,9.0,47,2,1,40.0,38.0,48.0,22.0,8.0,156.0,321,110,24,69.0,27.6,80,22,11,10,2.8,159,6,19,36,11.0,172,71.0,50.0,110.9,4.0,30,594,1999.0,8,137.0,33.9,25.0
4,JTマーヴェラス,11,22,18,195.0,191.0,194.0,90.0,56.0,726.0,1152.0,471.0,53.0,40.9,14.72,144.0,60.0,16.0,41.7,77.0,2.41,721.0,18.0,61.0,171.0,6.3,588.0,282.0,149.0,60.6,19.0,160,10,6,172.0,172.0,157.0,97.0,57.0,655.0,1181,435,69,291.5,108.21000000000001,161,58,12,65,15.4,660,22,62,145,53.5,654,326.0,146.0,486.3,29.0,133,2613,6307.0,32,566.0,36.3,30.6
5,JTマーヴェラス,12,6,6,50.0,52.0,50.0,0.0,0.0,152.0,214.0,105.0,7.0,49.1,17.5,16.0,10.0,1.0,62.5,12.0,2.0,150.0,7.0,8.0,57.0,12.8,97.0,49.0,18.0,59.8,3.0,28,0,0,36.0,44.0,28.0,0.0,0.0,108.0,208,77,13,74.1,25.67,12,3,1,8,2.67,110,5,10,28,17.7,140,50.0,28.0,91.4,5.0,18,712,2924.0,6,124.0,45.8,56.2
6,KUROBEアクアフェアリーズ,1,14,11,144.0,135.0,139.0,145.0,15.0,578.0,981.0,379.0,37.0,38.6,15.16,133.0,44.0,8.0,33.1,45.0,1.8,575.0,20.0,41.0,145.0,8.0,500.0,226.0,134.0,58.6,20.0,134,11,7,123.0,147.0,148.0,136.0,12.0,566.0,1030,395,51,232.4,94.8,65,30,7,57,13.6,568,16,63,130,34.5,528,249.0,120.0,352.1,20.0,98,2349,4221.0,25,444.0,34.9,27.1
7,KUROBEアクアフェアリーズ,2,8,6,155.0,155.0,155.0,68.0,0.0,533.0,895.0,331.0,61.0,37.0,13.79,117.0,43.0,10.0,36.8,57.0,2.38,539.0,24.0,44.0,122.0,8.1,499.0,276.0,76.0,62.9,19.0,121,16,15,171.0,153.0,166.0,70.0,0.0,560.0,918,369,53,281.8,107.33,90,34,7,52,15.59,554,15,52,135,45.0,491,263.0,86.0,434.7,16.0,124,2923,7909.0,24,412.0,30.2,28.2
8,KUROBEアクアフェアリーズ,3,11,6,179.0,180.0,168.0,134.0,26.0,687.0,1256.0,473.0,76.0,37.7,14.78,70.0,30.0,8.0,42.9,71.0,2.22,690.0,28.0,59.0,160.0,7.7,695.0,311.0,166.0,56.7,22.0,115,21,18,192.0,191.0,201.0,141.0,25.0,750.0,1174,485,55,337.9,122.78,85,31,8,88,21.98,747,21,43,205,67.8,620,287.0,156.0,472.7,17.0,157,3632,7278.0,32,572.0,31.6,31.4
9,KUROBEアクアフェアリーズ,10,2,1,38.0,41.0,45.0,18.0,8.0,150.0,270.0,94.0,22.0,34.8,11.75,26.0,4.0,5.0,15.4,18.0,2.25,152.0,3.0,12.0,49.0,8.1,155.0,74.0,21.0,54.5,3.0,35,6,5,41.0,50.0,47.0,25.0,15.0,178.0,271,111,18,83.0,28.2,30,13,2,20,5.07,176,10,15,56,23.799999999999997,139,65.0,23.0,112.7,2.0,37,588,1782.0,8,115.0,26.7,-3.8
