Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
日立リヴァーレ,3,3,16,25,25,25,,91,154,61,4,39.6,15.25,9,2,0,22.2,7,1.75,90,5,8,35,13.1,75,37.0,18.0,61.3,4.0,18,ヴィクトリーナ姫路,1,0,25,22,14,20,,81,173,57,10,32.9,14.25,22,9,1,40.9,4,1.00,82,4,6,17,8.2,81,23.0,19.0,40.1,2.0,16
ヴィクトリーナ姫路,1,0,25,22,14,20,,81,173,57,10,32.9,14.25,22,9,1,40.9,4,1.00,82,4,6,17,8.2,81,23.0,19.0,40.1,2.0,16,日立リヴァーレ,3,3,16,25,25,25,,91,154,61,4,39.6,15.25,9,2,0,22.2,7,1.75,90,5,8,35,13.1,75,37.0,18.0,61.3,4.0,18
デンソーエアリービーズ,3,3,25,25,25,25,,100,160,63,12,39.4,15.75,22,9,1,40.9,10,2.50,99,4,6,32,10.6,72,21.0,19.0,42.4,3.0,23,久光製薬スプリングス,1,0,27,23,9,20,,79,153,42,11,27.5,10.50,3,0,1,0.0,12,3.00,80,4,6,30,12.5,92,26.0,31.0,45.1,6.0,21
久光製薬スプリングス,1,0,27,23,9,20,,79,153,42,11,27.5,10.50,3,0,1,0.0,12,3.00,80,4,6,30,12.5,92,26.0,31.0,45.1,6.0,21,デンソーエアリービーズ,3,3,25,25,25,25,,100,160,63,12,39.4,15.75,22,9,1,40.9,10,2.50,99,4,6,32,10.6,72,21.0,19.0,42.4,3.0,23
NECレッドロケッツ,1,0,20,25,18,21,,84,176,60,8,34.1,15.00,8,1,2,12.5,7,1.75,85,2,7,23,7.1,85,31.0,22.0,49.4,3.0,15,岡山シーガルズ,3,3,25,20,25,25,,95,182,67,4,36.8,16.75,4,1,1,25.0,5,1.25,94,5,7,32,12.0,78,37.0,18.0,59.0,4.0,18
岡山シーガルズ,3,3,25,20,25,25,,95,182,67,4,36.8,16.75,4,1,1,25.0,5,1.25,94,5,7,32,12.0,78,37.0,18.0,59.0,4.0,18,NECレッドロケッツ,1,0,20,25,18,21,,84,176,60,8,34.1,15.00,8,1,2,12.5,7,1.75,85,2,7,23,7.1,85,31.0,22.0,49.4,3.0,15
東レアローズ,3,3,28,25,25,,,78,140,55,9,39.3,18.33,17,3,4,17.6,8,2.67,76,4,4,22,11.2,66,35.0,15.0,64.4,4.0,11,埼玉上尾メディックス,0,0,26,23,22,,,71,134,44,5,32.8,14.67,15,2,1,13.3,6,2.00,73,4,6,13,7.9,72,30.0,16.0,52.8,0.0,17
埼玉上尾メディックス,0,0,26,23,22,,,71,134,44,5,32.8,14.67,15,2,1,13.3,6,2.00,73,4,6,13,7.9,72,30.0,16.0,52.8,0.0,17,東レアローズ,3,3,28,25,25,,,78,140,55,9,39.3,18.33,17,3,4,17.6,8,2.67,76,4,4,22,11.2,66,35.0,15.0,64.4,4.0,11
JTマーヴェラス,0,0,20,23,19,,,62,129,44,7,34.1,14.67,10,4,0,40.0,3,1.00,63,1,4,20,7.9,66,35.0,15.0,64.4,5.0,14,トヨタ車体クインシーズ,3,3,25,25,25,,,75,128,52,7,40.6,17.33,19,5,0,26.3,4,1.33,74,3,5,16,7.8,59,30.0,9.0,58.5,2.0,16
トヨタ車体クインシーズ,3,3,25,25,25,,,75,128,52,7,40.6,17.33,19,5,0,26.3,4,1.33,74,3,5,16,7.8,59,30.0,9.0,58.5,2.0,16,JTマーヴェラス,0,0,20,23,19,,,62,129,44,7,34.1,14.67,10,4,0,40.0,3,1.00,63,1,4,20,7.9,66,35.0,15.0,64.4,5.0,14
