Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
岡山シーガルズ,2,1,30,24,25,13,11,103,211,64,10,30.3,12.80,1,0,1,0.0,5,1.00,103,3,1,29,9.7,101,71.0,11.0,75.7,5.0,31,埼玉上尾メディックス,3,2,28,26,23,25,15,117,224,88,11,39.3,17.60,9,2,1,22.2,11,2.20,117,2,15,19,2.6,101,53.0,20.0,62.4,5.0,16
埼玉上尾メディックス,3,2,28,26,23,25,15,117,224,88,11,39.3,17.60,9,2,1,22.2,11,2.20,117,2,15,19,2.6,101,53.0,20.0,62.4,5.0,16,岡山シーガルズ,2,1,30,24,25,13,11,103,211,64,10,30.3,12.80,1,0,1,0.0,5,1.00,103,3,1,29,9.7,101,71.0,11.0,75.7,5.0,31
岡山シーガルズ,0,0,16,15,22,,,53,121,36,6,29.8,12.00,3,0,0,0.0,3,1.00,55,0,1,15,6.4,66,25.0,22.0,54.5,3.0,14,埼玉上尾メディックス,3,3,25,25,25,,,75,142,54,6,38.0,18.00,12,3,1,25.0,7,2.33,73,4,6,16,8.9,54,18.0,21.0,52.8,2.0,10
埼玉上尾メディックス,3,3,25,25,25,,,75,142,54,6,38.0,18.00,12,3,1,25.0,7,2.33,73,4,6,16,8.9,54,18.0,21.0,52.8,2.0,10,岡山シーガルズ,0,0,16,15,22,,,53,121,36,6,29.8,12.00,3,0,0,0.0,3,1.00,55,0,1,15,6.4,66,25.0,22.0,54.5,3.0,14
デンソーエアリービーズ,3,3,23,25,25,25,,98,168,65,6,38.7,16.25,21,8,2,38.1,10,2.50,97,3,10,23,6.4,75,39.0,21.0,66.0,1.0,20,PFUブルーキャッツ,1,0,25,16,21,20,,82,167,58,7,34.7,14.50,11,5,1,45.5,4,1.00,83,3,8,15,5.7,87,37.0,27.0,58.0,5.0,17
PFUブルーキャッツ,1,0,25,16,21,20,,82,167,58,7,34.7,14.50,11,5,1,45.5,4,1.00,83,3,8,15,5.7,87,37.0,27.0,58.0,5.0,17,デンソーエアリービーズ,3,3,23,25,25,25,,98,168,65,6,38.7,16.25,21,8,2,38.1,10,2.50,97,3,10,23,6.4,75,39.0,21.0,66.0,1.0,20
デンソーエアリービーズ,3,3,25,25,25,,,75,144,47,9,32.6,15.67,24,7,2,29.2,6,2.00,73,0,5,16,3.8,55,34.0,8.0,69.1,2.0,22,PFUブルーキャッツ,0,0,20,23,22,,,65,127,38,5,29.9,12.67,12,3,1,25.0,8,2.67,67,3,11,11,4.5,68,37.0,15.0,65.4,6.0,16
PFUブルーキャッツ,0,0,20,23,22,,,65,127,38,5,29.9,12.67,12,3,1,25.0,8,2.67,67,3,11,11,4.5,68,37.0,15.0,65.4,6.0,16,デンソーエアリービーズ,3,3,25,25,25,,,75,144,47,9,32.6,15.67,24,7,2,29.2,6,2.00,73,0,5,16,3.8,55,34.0,8.0,69.1,2.0,22
トヨタ車体クインシーズ,1,0,22,25,18,20,,85,152,44,14,28.9,11.00,22,2,4,9.1,9,2.25,86,3,7,21,7.6,85,41.0,18.0,58.8,1.0,29,JTマーヴェラス,3,3,25,21,25,25,,96,149,61,12,40.9,15.25,22,10,4,45.5,8,2.00,95,5,9,23,8.9,78,43.0,13.0,63.5,8.0,22
JTマーヴェラス,3,3,25,21,25,25,,96,149,61,12,40.9,15.25,22,10,4,45.5,8,2.00,95,5,9,23,8.9,78,43.0,13.0,63.5,8.0,22,トヨタ車体クインシーズ,1,0,22,25,18,20,,85,152,44,14,28.9,11.00,22,2,4,9.1,9,2.25,86,3,7,21,7.6,85,41.0,18.0,58.8,1.0,29
トヨタ車体クインシーズ,0,0,16,19,13,,,48,81,23,11,28.4,7.67,8,2,2,25.0,3,1.00,50,2,9,8,3.5,63,23.0,23.0,54.8,4.0,20,JTマーヴェラス,3,3,25,25,25,,,75,80,40,9,50.0,13.33,16,5,4,31.2,7,2.33,73,4,8,14,7.5,39,16.0,14.0,59.0,3.0,24
JTマーヴェラス,3,3,25,25,25,,,75,80,40,9,50.0,13.33,16,5,4,31.2,7,2.33,73,4,8,14,7.5,39,16.0,14.0,59.0,3.0,24,トヨタ車体クインシーズ,0,0,16,19,13,,,48,81,23,11,28.4,7.67,8,2,2,25.0,3,1.00,50,2,9,8,3.5,63,23.0,23.0,54.8,4.0,20
久光スプリングス,2,1,23,23,25,25,16,112,190,71,10,37.4,14.20,4,1,0,25.0,13,2.60,113,2,7,34,7.7,96,37.0,23.0,50.5,6.0,26,日立Astemoリヴァーレ,3,2,25,25,16,23,18,107,191,74,10,38.7,14.80,23,7,3,30.4,4,0.80,106,6,8,32,11.3,104,50.0,20.0,57.7,8.0,23
日立Astemoリヴァーレ,3,2,25,25,16,23,18,107,191,74,10,38.7,14.80,23,7,3,30.4,4,0.80,106,6,8,32,11.3,104,50.0,20.0,57.7,8.0,23,久光スプリングス,2,1,23,23,25,25,16,112,190,71,10,37.4,14.20,4,1,0,25.0,13,2.60,113,2,7,34,7.7,96,37.0,23.0,50.5,6.0,26
久光スプリングス,3,3,25,19,25,25,,94,148,64,9,43.2,16.00,10,3,0,30.0,6,1.50,93,5,2,12,8.1,80,42.0,14.0,61.3,1.0,19,日立Astemoリヴァーレ,1,0,20,25,22,16,,83,156,57,14,36.5,14.25,16,6,2,37.5,9,2.25,84,5,4,20,10.7,89,56.0,18.0,73.0,1.0,12
日立Astemoリヴァーレ,1,0,20,25,22,16,,83,156,57,14,36.5,14.25,16,6,2,37.5,9,2.25,84,5,4,20,10.7,89,56.0,18.0,73.0,1.0,12,久光スプリングス,3,3,25,19,25,25,,94,148,64,9,43.2,16.00,10,3,0,30.0,6,1.50,93,5,2,12,8.1,80,42.0,14.0,61.3,1.0,19
