,Player,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,AEff%,BAEff%
35,ラッセルアーロン・ジョセフ,11,24,15,112,53,5,47.3,3.53,22,11,1,50.0,6,0.11,55,4,8,16,10.9,115,48,16,48.7,526,3300,42.9,45.5
36,三輪大将,10,76,13,39,18,3,46.2,1.38,0,0,0,,3,0.07,45,3,6,6,6.7,8,3,3,56.2,444,4990,38.5,
37,三輪大将,11,152,29,103,60,4,58.3,2.07,0,0,0,,6,0.06,100,1,16,17,1.2,16,14,2,93.8,1107,7913,54.4,
38,三輪大将,12,38,6,19,13,3,68.4,2.17,0,0,0,,2,0.11,22,0,3,2,-1.1,8,7,0,87.5,331,2450,52.6,
39,上條レイモンド,10,64,15,53,32,1,60.4,2.13,0,0,0,,8,0.15,37,1,16,3,-6.1,3,2,0,66.7,444,4605,58.5,
40,上條レイモンド,11,128,20,47,29,5,61.7,1.45,1,0,0,0.0,3,0.06,49,4,21,9,2.0,10,4,3,55.0,1123,8601,51.1,0.0
41,上條レイモンド,12,32,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,325,1950,,
42,下川諒,10,10,6,0,0,0,,0.0,0,0,0,,0,0.0,21,1,1,5,9.5,1,0,1,50.0,229,1400,,
43,下川諒,11,40,28,2,1,0,50.0,0.04,0,0,0,,5,0.04,97,1,3,14,3.9,3,0,0,0.0,1107,7913,50.0,
44,下川諒,12,10,6,0,0,0,,0.0,0,0,0,,0,0.0,15,0,1,1,0.0,0,0,0,,331,2450,,
45,中島健太,10,16,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,450,5270,,
46,中島健太,11,12,1,0,0,0,,0.0,0,0,0,,0,0.0,1,0,1,0,-25.0,0,0,0,,387,2200,,
47,中島健太,12,8,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,323,3297,,
48,中村啓人,10,68,7,5,2,1,40.0,0.29,1,0,1,0.0,1,0.07,2,0,1,0,-12.5,0,0,0,,444,4990,20.0,-100.0
49,中村啓人,11,136,21,7,2,1,28.6,0.1,3,1,1,33.3,0,0.0,1,0,1,0,-25.0,0,0,0,,1107,7913,14.3,0.0
50,中村啓人,12,34,4,2,0,0,0.0,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,331,2450,0.0,
51,中村竜輔,10,24,8,15,4,0,26.7,0.5,0,0,0,,2,0.08,26,0,0,2,1.9,5,0,2,20.0,444,2516,26.7,
52,中村竜輔,11,36,21,32,15,2,46.9,0.71,0,0,0,,12,0.13,52,1,2,4,2.9,5,3,0,60.0,832,6020,40.6,
53,中村竜輔,12,12,6,5,0,1,0.0,0.0,0,0,0,,4,0.22,22,0,1,3,2.3,1,0,0,0.0,329,1588,-20.0,
54,中村駿介,12,3,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,166,1724,,
55,中野倭,10,64,2,0,0,0,,0.0,0,0,0,,0,0.0,3,0,0,0,0.0,0,0,0,,434,12823,,
56,中野倭,11,112,1,0,0,0,,0.0,0,0,0,,0,0.0,2,0,1,0,-12.5,0,0,0,,977,9003,,
57,中野倭,12,16,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,161,1624,,
58,中野竜,10,16,7,15,8,1,53.3,1.14,2,0,1,0.0,0,0.0,12,0,4,1,-6.2,18,5,7,47.2,444,4990,46.7,-50.0
59,中野竜,11,32,24,110,46,4,41.8,1.92,16,8,2,50.0,7,0.07,80,5,19,21,6.9,142,58,25,49.6,1107,7913,38.2,37.5
60,中野竜,12,8,6,32,13,4,40.6,2.17,0,0,0,,1,0.06,12,0,4,2,-4.2,29,10,5,43.1,331,2450,28.1,
61,久保田雅人,10,52,9,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,47,17,12,48.9,444,2516,,
62,久保田雅人,11,78,23,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,106,36,21,43.9,832,6020,,
63,久保田雅人,12,26,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,30,12,10,56.7,329,1588,,
64,井上慎一朗,10,15,3,0,0,0,,0.0,0,0,0,,0,0.0,6,1,2,1,12.5,0,0,0,,335,4370,,
65,井上慎一朗,11,30,13,15,10,1,66.7,0.77,2,2,0,100.0,2,0.12,14,1,3,4,8.9,6,1,2,33.3,847,6360,60.0,100.0
66,井上慎一朗,12,10,8,51,24,5,47.1,3.0,11,8,0,72.7,4,0.13,26,0,3,4,1.0,36,9,12,41.7,323,3297,37.3,72.7
67,井口直紀,10,84,8,0,0,0,,0.0,0,0,0,,0,0.0,7,0,0,3,10.7,0,0,0,,444,2516,,
68,井口直紀,11,126,14,2,2,0,100.0,0.14,0,0,0,,1,0.02,39,0,1,3,1.3,0,0,0,,832,6020,100.0,
69,井口直紀,12,42,4,0,0,0,,0.0,0,0,0,,0,0.0,6,0,0,0,0.0,0,0,0,,329,1588,,
70,今村貴彦,10,36,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,442,6906,,
71,今村貴彦,11,72,10,1,1,0,100.0,0.1,0,0,0,,1,0.05,0,0,0,0,,0,0,0,,1118,14280,100.0,
72,今村貴彦,12,18,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,327,3348,,
73,仲本賢優,10,32,15,64,29,2,45.3,1.93,6,2,0,33.3,4,0.07,45,0,11,10,-0.6,74,38,14,60.8,442,6906,42.2,33.3
74,仲本賢優,11,64,31,179,86,10,48.0,2.77,6,4,1,66.7,3,0.03,116,4,26,34,5.2,194,100,47,63.7,1118,14280,42.5,50.0
75,仲本賢優,12,16,6,27,12,2,44.4,2.0,0,0,0,,0,0.0,14,1,1,4,12.5,33,16,9,62.1,327,3348,37.0,
76,伊藤友健,11,12,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,130,1782,,
77,伊藤樹,10,24,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,444,4990,,
78,伊藤樹,11,48,6,9,4,0,44.4,0.67,0,0,0,,0,0.0,4,0,3,0,-18.8,24,6,4,33.3,1107,7913,44.4,
