Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
GSS東京サンビームズ,3,3,26,16,25,25,,92,154,56,5,36.4,14.00,2,0,0,0.0,7,1.75,91,6,6,22,11.0,84,35.0,28.0,58.3,0.0,23,千葉エンゼルクロス,1,0,24,25,16,20,,85,180,65,18,36.1,16.25,6,1,1,16.7,6,1.50,86,3,1,21,9.3,83,44.0,17.0,63.3,4.0,11
千葉エンゼルクロス,1,0,24,25,16,20,,85,180,65,18,36.1,16.25,6,1,1,16.7,6,1.50,86,3,1,21,9.3,83,44.0,17.0,63.3,4.0,11,GSS東京サンビームズ,3,3,26,16,25,25,,92,154,56,5,36.4,14.00,2,0,0,0.0,7,1.75,91,6,6,22,11.0,84,35.0,28.0,58.3,0.0,23
ルートインホテルズブリリアントアリーズ,3,3,16,26,25,29,,96,178,65,12,36.5,16.25,2,0,0,0.0,6,1.50,95,3,8,20,6.3,82,36.0,20.0,56.1,3.0,22,プレステージ・インターナショナルアランマーレ,1,0,25,24,16,27,,92,186,57,11,30.6,14.25,17,3,1,17.6,7,1.75,93,5,11,25,9.1,86,46.0,20.0,65.1,0.0,23
プレステージ・インターナショナルアランマーレ,1,0,25,24,16,27,,92,186,57,11,30.6,14.25,17,3,1,17.6,7,1.75,93,5,11,25,9.1,86,46.0,20.0,65.1,0.0,23,ルートインホテルズブリリアントアリーズ,3,3,16,26,25,29,,96,178,65,12,36.5,16.25,2,0,0,0.0,6,1.50,95,3,8,20,6.3,82,36.0,20.0,56.1,3.0,22
GSS東京サンビームズ,1,0,14,25,19,19,,77,150,47,8,31.3,11.75,3,0,0,0.0,7,1.75,78,1,2,21,7.4,84,25.0,21.0,42.3,5.0,22,プレステージ・インターナショナルアランマーレ,3,3,25,18,25,25,,93,160,61,11,38.1,15.25,16,4,1,25.0,13,3.25,92,4,8,34,11.4,76,30.0,24.0,55.3,3.0,15
プレステージ・インターナショナルアランマーレ,3,3,25,18,25,25,,93,160,61,11,38.1,15.25,16,4,1,25.0,13,3.25,92,4,8,34,11.4,76,30.0,24.0,55.3,3.0,15,GSS東京サンビームズ,1,0,14,25,19,19,,77,150,47,8,31.3,11.75,3,0,0,0.0,7,1.75,78,1,2,21,7.4,84,25.0,21.0,42.3,5.0,22
ルートインホテルズブリリアントアリーズ,0,0,26,20,21,,,67,112,40,7,35.7,13.33,2,0,0,0.0,11,3.67,69,1,6,16,5.1,69,28.0,13.0,50.0,2.0,15,群馬銀行グリーンウイングス,3,3,28,25,25,,,78,126,54,8,42.9,18.00,2,0,0,0.0,3,1.00,76,6,6,28,15.1,63,25.0,22.0,57.1,1.0,15
群馬銀行グリーンウイングス,3,3,28,25,25,,,78,126,54,8,42.9,18.00,2,0,0,0.0,3,1.00,76,6,6,28,15.1,63,25.0,22.0,57.1,1.0,15,ルートインホテルズブリリアントアリーズ,0,0,26,20,21,,,67,112,40,7,35.7,13.33,2,0,0,0.0,11,3.67,69,1,6,16,5.1,69,28.0,13.0,50.0,2.0,15
JAぎふリオレーナ,3,2,18,21,25,25,15,104,216,77,14,35.6,15.40,19,7,3,36.8,10,2.00,104,3,6,44,12.0,98,42.0,32.0,59.2,1.0,14,大野石油広島オイラーズ,2,1,25,25,21,22,9,102,204,68,9,33.3,13.60,12,2,0,16.7,12,2.40,102,1,4,23,5.6,98,29.0,23.0,41.3,1.0,21
大野石油広島オイラーズ,2,1,25,25,21,22,9,102,204,68,9,33.3,13.60,12,2,0,16.7,12,2.40,102,1,4,23,5.6,98,29.0,23.0,41.3,1.0,21,JAぎふリオレーナ,3,2,18,21,25,25,15,104,216,77,14,35.6,15.40,19,7,3,36.8,10,2.00,104,3,6,44,12.0,98,42.0,32.0,59.2,1.0,14
