,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
435,草島華穂,プレステージ・インターナショナルアランマーレ,1,36,6,1,0,0,0.0,0.0,1,0,0,0.0,0,0.0,11,2,1,4,25.0,7,3,0,42.9,2760,3034,2,0.0,0.0
436,草島華穂,プレステージ・インターナショナルアランマーレ,10,18,3,0,0,0,,0.0,0,0,0,,0,0.0,4,1,0,2,37.5,2,1,0,50.0,1286,1210,1,,
437,草島華穂,プレステージ・インターナショナルアランマーレ,11,36,2,0,0,0,,0.0,0,0,0,,0,0.0,4,0,1,1,0.0,0,0,0,,2649,1831,0,,
438,草島華穂,プレステージ・インターナショナルアランマーレ,12,18,4,0,0,0,,0.0,0,0,0,,0,0.0,7,0,0,1,3.6,2,2,0,100.0,1357,1270,0,,
439,草深ことみ,ヴィアティン三重,1,45,20,155,42,7,27.1,2.1,14,2,1,14.3,5,0.25,46,2,11,9,3.3,7,3,2,57.1,3469,2296,49,22.6,7.1
440,草深ことみ,ヴィアティン三重,11,45,19,201,69,11,34.3,3.63,34,7,4,20.6,4,0.21,64,8,12,13,12.9,4,4,0,100.0,3314,2425,81,28.9,8.8
441,菅原里奈,プレステージ・インターナショナルアランマーレ,1,16,14,70,25,3,35.7,1.79,0,0,0,,11,0.79,55,2,1,17,10.9,0,0,0,,2760,3034,38,31.4,
442,菅原里奈,プレステージ・インターナショナルアランマーレ,10,8,7,27,4,3,14.8,0.57,0,0,0,,3,0.43,16,0,0,3,4.7,1,1,0,100.0,1286,1210,7,3.7,
443,菅原里奈,プレステージ・インターナショナルアランマーレ,11,16,12,50,21,1,42.0,1.75,0,0,0,,9,0.75,36,0,2,7,3.5,4,2,1,62.5,2649,1831,30,40.0,
444,菅原里奈,プレステージ・インターナショナルアランマーレ,12,8,8,33,14,2,42.4,1.75,0,0,0,,3,0.38,33,2,0,7,11.4,3,1,2,66.7,1357,1270,19,36.4,
445,菊地実結,群馬銀行グリーンウイングス,1,12,11,67,30,3,44.8,2.73,0,0,0,,2,0.18,46,1,3,7,4.3,18,5,6,44.4,2759,1905,33,40.3,
446,菊地実結,群馬銀行グリーンウイングス,10,6,7,51,23,5,45.1,3.29,6,0,2,0.0,5,0.71,26,0,2,5,2.9,27,9,12,55.6,1288,720,28,35.3,-33.3
447,菊地実結,群馬銀行グリーンウイングス,11,15,17,128,48,8,37.5,2.82,12,1,1,8.3,3,0.18,61,6,3,14,14.3,44,19,7,51.1,3305,2375,57,31.2,0.0
448,菊地実結,群馬銀行グリーンウイングス,12,3,2,4,1,0,25.0,0.5,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,683,230,1,25.0,
449,菊地零,GSS東京サンビームズ,1,30,9,48,15,3,31.2,1.67,1,0,0,0.0,3,0.33,31,0,1,3,1.6,22,6,7,43.2,2086,2175,18,25.0,0.0
450,菊地零,GSS東京サンビームズ,10,20,7,21,7,0,33.3,1.0,0,0,0,,2,0.29,8,0,1,1,0.0,9,2,3,38.9,1291,1000,9,33.3,
451,菊地零,GSS東京サンビームズ,11,30,6,27,6,1,22.2,1.0,0,0,0,,1,0.17,11,1,0,0,9.1,2,1,0,50.0,1960,1505,8,18.5,
452,菊地零,GSS東京サンビームズ,12,10,1,2,0,0,0.0,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,682,180,0,0.0,
453,菊野樹奈,GSS東京サンビームズ,11,22,5,20,6,1,30.0,1.2,0,0,0,,1,0.2,15,0,1,1,0.0,0,0,0,,1324,411,7,25.0,
454,萩原透海,フォレストリーヴズ熊本,1,28,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,2779,1151,0,,
455,萩原透海,フォレストリーヴズ熊本,11,42,10,11,3,0,27.3,0.3,0,0,0,,1,0.1,3,0,2,1,-8.3,3,2,0,66.7,3973,1832,4,27.3,
456,萩原透海,フォレストリーヴズ熊本,12,7,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,682,180,0,,
457,藤井寧々,群馬銀行グリーンウイングス,1,28,10,78,21,8,26.9,2.1,5,0,1,0.0,4,0.4,32,2,10,3,0.8,39,11,12,43.6,2759,1905,27,16.7,-20.0
458,藤井寧々,群馬銀行グリーンウイングス,10,14,7,77,28,2,36.4,4.0,2,0,0,0.0,2,0.29,31,3,5,6,10.5,26,8,9,48.1,1288,720,33,33.8,0.0
459,藤井寧々,群馬銀行グリーンウイングス,11,28,11,98,29,8,29.6,2.64,15,2,2,13.3,2,0.18,32,1,9,7,1.6,51,25,12,60.8,2656,2055,32,21.4,0.0
460,藤原愛,群馬銀行グリーンウイングス,1,72,7,1,1,0,100.0,0.14,0,0,0,,1,0.14,20,0,2,5,3.8,1,0,0,0.0,2759,1905,2,100.0,
461,藤原愛,群馬銀行グリーンウイングス,10,36,4,1,0,0,0.0,0.0,0,0,0,,0,0.0,12,0,0,4,8.3,0,0,0,,1288,720,0,0.0,
462,藤原愛,群馬銀行グリーンウイングス,11,90,13,2,2,0,100.0,0.15,0,0,0,,0,0.0,28,0,3,7,3.6,1,0,0,0.0,3305,2375,2,100.0,
463,藤原愛,群馬銀行グリーンウイングス,12,18,3,2,1,0,50.0,0.33,0,0,0,,0,0.0,15,1,1,5,13.3,0,0,0,,683,230,2,50.0,
464,藤岡智恵美,ルートインホテルズブリリアントアリーズ,10,30,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1292,1180,0,,
465,藤岡智恵美,ルートインホテルズブリリアントアリーズ,11,45,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,2000,1810,0,,
466,西條華子,JAぎふリオレーナ,1,64,14,15,3,1,20.0,0.21,0,0,0,,0,0.0,11,1,0,2,13.6,22,12,2,59.1,2781,3567,4,13.3,
467,西條華子,JAぎふリオレーナ,10,32,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,1291,880,0,,
468,西條華子,JAぎふリオレーナ,11,80,8,0,0,0,,0.0,0,0,0,,0,0.0,4,0,2,1,-6.2,9,1,1,16.7,3328,2429,0,,
469,西條華子,JAぎふリオレーナ,12,32,4,4,1,1,25.0,0.25,0,0,0,,1,0.25,6,0,1,0,-4.2,7,2,1,35.7,1357,510,2,0.0,
470,角田南見,プレステージ・インターナショナルアランマーレ,1,64,2,7,1,0,14.3,0.5,1,0,0,0.0,1,0.5,5,0,0,2,10.0,7,2,4,57.1,2760,3034,2,14.3,0.0
471,角田南見,プレステージ・インターナショナルアランマーレ,10,32,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1286,1210,0,,
472,角田南見,プレステージ・インターナショナルアランマーレ,11,64,5,6,1,0,16.7,0.2,1,1,0,100.0,0,0.0,5,0,1,0,-5.0,2,0,0,0.0,2649,1831,1,16.7,100.0
473,角田南見,プレステージ・インターナショナルアランマーレ,12,32,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1357,1270,0,,
474,貝塚穂,ルートインホテルズブリリアントアリーズ,1,20,9,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,70,38,6,58.6,1395,980,0,,
