Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
群馬銀行グリーンウイングス,2,1,36,19,25,21,13,114,196,81,13,41.3,16.20,2,0,0,0.0,11,2.20,114,4,4,30,9.2,105,50.0,23.0,58.6,6.0,18,GSS東京サンビームズ,3,2,34,25,15,25,15,114,197,79,7,40.1,15.80,5,3,0,60.0,3,0.60,114,9,8,24,11.4,108,52.0,26.0,60.2,3.0,23
GSS東京サンビームズ,3,2,34,25,15,25,15,114,197,79,7,40.1,15.80,5,3,0,60.0,3,0.60,114,9,8,24,11.4,108,52.0,26.0,60.2,3.0,23,群馬銀行グリーンウイングス,2,1,36,19,25,21,13,114,196,81,13,41.3,16.20,2,0,0,0.0,11,2.20,114,4,4,30,9.2,105,50.0,23.0,58.6,6.0,18
ルートインホテルズブリリアントアリーズ,1,0,21,19,25,20,,85,175,55,11,31.4,13.75,4,0,2,0.0,7,1.75,86,1,3,17,5.2,90,43.0,26.0,62.2,3.0,22,JAぎふリオレーナ,3,3,25,25,23,25,,98,194,75,10,38.7,18.75,15,3,1,20.0,4,1.00,97,2,7,19,5.2,83,31.0,34.0,57.8,5.0,17
JAぎふリオレーナ,3,3,25,25,23,25,,98,194,75,10,38.7,18.75,15,3,1,20.0,4,1.00,97,2,7,19,5.2,83,31.0,34.0,57.8,5.0,17,ルートインホテルズブリリアントアリーズ,1,0,21,19,25,20,,85,175,55,11,31.4,13.75,4,0,2,0.0,7,1.75,86,1,3,17,5.2,90,43.0,26.0,62.2,3.0,22
プレステージ・インターナショナルアランマーレ,1,0,18,24,25,25,,92,176,52,14,29.5,13.00,20,2,2,10.0,13,3.25,93,4,9,26,8.9,85,52.0,17.0,71.2,3.0,23,柏エンゼルクロス,3,3,25,26,18,27,,96,181,62,9,34.3,15.50,4,1,1,25.0,5,1.25,95,3,10,13,3.9,83,37.0,18.0,55.4,4.0,26
柏エンゼルクロス,3,3,25,26,18,27,,96,181,62,9,34.3,15.50,4,1,1,25.0,5,1.25,95,3,10,13,3.9,83,37.0,18.0,55.4,4.0,26,プレステージ・インターナショナルアランマーレ,1,0,18,24,25,25,,92,176,52,14,29.5,13.00,20,2,2,10.0,13,3.25,93,4,9,26,8.9,85,52.0,17.0,71.2,3.0,23
大野石油広島オイラーズ,1,0,18,10,25,23,,76,181,42,15,23.2,10.50,23,2,3,8.7,6,1.50,77,4,5,15,8.4,89,57.0,8.0,68.5,4.0,24,ブレス浜松,3,3,25,25,22,25,,97,167,59,13,35.3,14.75,13,5,1,38.5,9,2.25,96,5,6,24,9.9,72,50.0,7.0,74.3,5.0,24
ブレス浜松,3,3,25,25,22,25,,97,167,59,13,35.3,14.75,13,5,1,38.5,9,2.25,96,5,6,24,9.9,72,50.0,7.0,74.3,5.0,24,大野石油広島オイラーズ,1,0,18,10,25,23,,76,181,42,15,23.2,10.50,23,2,3,8.7,6,1.50,77,4,5,15,8.4,89,57.0,8.0,68.5,4.0,24
JAぎふリオレーナ,2,1,25,24,28,13,13,103,220,73,18,33.2,14.60,11,4,1,36.4,6,1.20,103,7,9,29,11.7,106,55.0,23.0,62.7,3.0,17,GSS東京サンビームズ,3,2,21,26,26,25,15,113,201,72,10,35.8,14.40,7,4,2,57.1,8,1.60,113,3,6,26,7.1,88,45.0,13.0,58.5,1.0,30
GSS東京サンビームズ,3,2,21,26,26,25,15,113,201,72,10,35.8,14.40,7,4,2,57.1,8,1.60,113,3,6,26,7.1,88,45.0,13.0,58.5,1.0,30,JAぎふリオレーナ,2,1,25,24,28,13,13,103,220,73,18,33.2,14.60,11,4,1,36.4,6,1.20,103,7,9,29,11.7,106,55.0,23.0,62.7,3.0,17
