Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,97,44,6,45.4,14.67,8,1,2,12.5,10,3.33,74,5,5,28,14.5,40,22.0,7.0,63.7,4.0,15,千葉エンゼルクロス,0,0,11,13,18,,,42,109,27,9,24.8,9.00,4,0,1,0.0,1,0.33,43,0,3,11,4.7,67,21.0,15.0,42.5,3.0,15
千葉エンゼルクロス,0,0,11,13,18,,,42,109,27,9,24.8,9.00,4,0,1,0.0,1,0.33,43,0,3,11,4.7,67,21.0,15.0,42.5,3.0,15,プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,97,44,6,45.4,14.67,8,1,2,12.5,10,3.33,74,5,5,28,14.5,40,22.0,7.0,63.7,4.0,15
群馬銀行グリーンウイングス,3,3,25,25,25,,,75,122,50,12,41.0,16.67,8,2,2,25.0,8,2.67,74,3,4,33,13.9,51,27.0,14.0,66.7,1.0,14,リガーレ仙台,0,0,19,22,15,,,56,127,34,6,26.8,11.33,0,0,0,-,3,1.00,57,2,6,8,4.4,70,22.0,12.0,40.0,2.0,17
リガーレ仙台,0,0,19,22,15,,,56,127,34,6,26.8,11.33,0,0,0,-,3,1.00,57,2,6,8,4.4,70,22.0,12.0,40.0,2.0,17,群馬銀行グリーンウイングス,3,3,25,25,25,,,75,122,50,12,41.0,16.67,8,2,2,25.0,8,2.67,74,3,4,33,13.9,51,27.0,14.0,66.7,1.0,14
プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,127,37,8,29.1,12.33,7,2,0,28.6,14,4.67,74,2,3,27,10.8,52,23.0,10.0,53.8,4.0,22,リガーレ仙台,0,0,19,18,17,,,54,154,37,16,24.0,12.33,0,0,0,-,0,0.00,55,2,3,17,10.0,71,28.0,14.0,49.3,3.0,15
リガーレ仙台,0,0,19,18,17,,,54,154,37,16,24.0,12.33,0,0,0,-,0,0.00,55,2,3,17,10.0,71,28.0,14.0,49.3,3.0,15,プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,127,37,8,29.1,12.33,7,2,0,28.6,14,4.67,74,2,3,27,10.8,52,23.0,10.0,53.8,4.0,22
群馬銀行グリーンウイングス,3,3,25,25,25,,,75,140,48,8,34.3,16.00,16,1,2,6.2,6,2.00,74,4,5,20,10.5,45,24.0,15.0,70.0,1.0,17,千葉エンゼルクロス,0,0,17,18,10,,,45,142,29,13,20.4,9.67,8,1,3,12.5,2,0.67,46,0,1,6,2.7,67,19.0,26.0,47.8,3.0,14
千葉エンゼルクロス,0,0,17,18,10,,,45,142,29,13,20.4,9.67,8,1,3,12.5,2,0.67,46,0,1,6,2.7,67,19.0,26.0,47.8,3.0,14,群馬銀行グリーンウイングス,3,3,25,25,25,,,75,140,48,8,34.3,16.00,16,1,2,6.2,6,2.00,74,4,5,20,10.5,45,24.0,15.0,70.0,1.0,17
ブレス浜松,1,0,19,25,20,19,,83,162,49,13,30.2,12.25,18,8,5,44.4,4,1.00,84,3,15,20,5.1,83,39.0,23.0,60.8,1.0,27,JAぎふリオレーナ,3,3,25,20,25,25,,95,163,53,10,32.5,13.25,20,5,3,25.0,8,2.00,94,5,11,16,6.6,69,30.0,16.0,55.1,6.0,29
JAぎふリオレーナ,3,3,25,20,25,25,,95,163,53,10,32.5,13.25,20,5,3,25.0,8,2.00,94,5,11,16,6.6,69,30.0,16.0,55.1,6.0,29,ブレス浜松,1,0,19,25,20,19,,83,162,49,13,30.2,12.25,18,8,5,44.4,4,1.00,84,3,15,20,5.1,83,39.0,23.0,60.8,1.0,27
ルートインホテルズブリリアントアリーズ,3,3,25,25,25,,,75,151,57,10,37.7,19.00,14,4,0,28.6,8,2.67,73,0,7,18,3.8,55,32.0,15.0,71.8,2.0,10,GSS東京サンビームズ,0,0,20,19,15,,,54,130,32,8,24.6,10.67,3,0,0,0.0,2,0.67,56,1,1,7,4.5,66,24.0,24.0,54.5,1.0,19
GSS東京サンビームズ,0,0,20,19,15,,,54,130,32,8,24.6,10.67,3,0,0,0.0,2,0.67,56,1,1,7,4.5,66,24.0,24.0,54.5,1.0,19,ルートインホテルズブリリアントアリーズ,3,3,25,25,25,,,75,151,57,10,37.7,19.00,14,4,0,28.6,8,2.67,73,0,7,18,3.8,55,32.0,15.0,71.8,2.0,10
ブレス浜松,3,2,22,28,25,20,15,110,219,74,14,33.8,14.80,16,4,3,25.0,7,1.40,110,6,15,26,8.0,97,49.0,18.0,59.8,1.0,23,GSS東京サンビームズ,2,1,25,26,17,25,10,103,199,62,14,31.2,12.40,6,5,1,83.3,6,1.20,103,5,5,26,10.0,94,41.0,22.0,55.3,4.0,30
GSS東京サンビームズ,2,1,25,26,17,25,10,103,199,62,14,31.2,12.40,6,5,1,83.3,6,1.20,103,5,5,26,10.0,94,41.0,22.0,55.3,4.0,30,ブレス浜松,3,2,22,28,25,20,15,110,219,74,14,33.8,14.80,16,4,3,25.0,7,1.40,110,6,15,26,8.0,97,49.0,18.0,59.8,1.0,23
ルートインホテルズブリリアントアリーズ,3,3,21,25,25,25,,96,164,68,17,41.5,17.00,10,2,2,20.0,8,2.00,95,3,6,25,8.2,72,35.0,16.0,59.7,2.0,17,JAぎふリオレーナ,1,0,25,20,16,16,,77,164,47,6,28.7,11.75,7,2,1,28.6,3,0.75,78,2,6,19,6.7,89,45.0,16.0,59.6,5.0,25
JAぎふリオレーナ,1,0,25,20,16,16,,77,164,47,6,28.7,11.75,7,2,1,28.6,3,0.75,78,2,6,19,6.7,89,45.0,16.0,59.6,5.0,25,ルートインホテルズブリリアントアリーズ,3,3,21,25,25,25,,96,164,68,17,41.5,17.00,10,2,2,20.0,8,2.00,95,3,6,25,8.2,72,35.0,16.0,59.7,2.0,17
ブレス浜松,1,0,25,13,22,19,,79,181,51,11,28.2,12.75,21,6,0,28.6,7,1.75,80,3,7,17,6.9,89,55.0,10.0,67.4,4.0,18,プレステージ・インターナショナルアランマーレ,3,3,23,25,25,25,,98,171,58,8,33.9,14.50,9,2,1,22.2,13,3.25,97,5,7,20,8.5,72,50.0,3.0,71.5,3.0,22
