,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,プレステージ・インターナショナルアランマーレ,3,0.0,24,25,17,25,15.0,106.0,188.0,72.0,10.0,38.3,14.4,10.0,4.0,1.0,40.0,5.0,1.0,106.0,4.0,12.0,38.0,9.9,82.0,52.0,8.0,68.3,2.0,25,2,0.0,26,14,25,18,12.0,95.0,188,62,11,33.0,12.4,12,2,2,16.7,4,0.8,95,5,9,21,8.4,93,47.0,5.0,53.2,5.0,24,752,428.0,5,81.0,33.0,30.0
1,ルートインホテルズブリリアントアリーズ,1,0.0,25,18,18,10,0.0,71.0,162.0,42.0,13.0,25.9,10.5,10.0,2.0,1.0,20.0,5.0,1.25,72.0,2.0,12.0,14.0,3.5,85.0,39.0,14.0,54.1,8.0,22,3,0.0,20,25,25,25,0.0,95.0,154,54,8,35.1,13.5,6,3,0,50.0,6,1.5,94,2,9,30,7.7,60,33.0,11.0,64.2,5.0,33,751,374.0,4,49.0,17.9,10.0
2,群馬銀行グリーンウイングス,5,0.0,46,39,50,43,12.0,190.0,342.0,116.0,19.0,33.9,12.89,18.0,5.0,2.0,27.8,10.0,1.11,189.0,7.0,18.0,51.0,8.1,153.0,80.0,16.0,57.5,10.0,57,4,0.0,49,43,35,35,15.0,177.0,350,114,23,64.19999999999999,24.9,20,6,2,60.0,10,2.25,178,6,24,52,13.4,167,91.0,22.0,122.4,10.0,47,1503,802.0,9,133.0,28.4,16.7
