No.,L,Player,Set,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,Point
1,,オケケアルメソマチ,5,■,■,□,■,■,45,15,5,33.3,3.0,7,1,1,14.3,4,0.8,11,0,2,0,-4.5,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,19
2,,前田美紅,5,■,■,■,■,■,62,21,5,33.9,4.2,2,1,0,50.0,3,0.6,14,1,2,2,7.1,38,19,10,63.2,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,25
3,,木村友里,4,■,■,■,■,,33,9,2,27.3,2.25,4,0,0,0.0,0,,11,0,0,1,2.3,23,12,5,63.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,9
4,,菅原里奈,5,■,■,■,■,■,18,4,2,22.2,0.8,0,0,0,,2,0.4,13,0,0,3,5.8,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,6
6,,宮本菜月,3,,□,■,□,,10,2,1,20.0,0.67,1,0,0,0.0,0,,10,0,1,3,5.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,2
7,,伊藤摩耶,5,■,■,■,■,■,37,13,1,35.1,2.6,0,0,0,,2,0.4,19,1,1,9,15.8,4,3,0,75.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,16
9,,草島華穂,2,,□,,,□,0,0,0,,,0,0,0,,0,,3,1,0,2,50.0,2,1,0,50.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
10,,柳沢紫子,2,,□,,,□,0,0,0,,,0,0,0,,1,0.5,3,0,0,0,0.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
12,,石盛めるも,5,■,■,■,■,■,4,0,0,0.0,,0,0,0,,0,,13,0,0,3,5.8,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
14,,長尾のどか,3,,□,□,□,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
16,,角田南見,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
17,,有村涼美,3,,,□,□,■,28,11,3,39.3,3.67,3,0,0,0.0,0,,11,1,0,4,18.2,18,12,3,75.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,12
18,,佐藤菜々美,1,,,□,,,0,0,0,,,0,0,0,,0,,4,1,0,0,25.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
19,L,有薗未也美,5,●,●,●,●,●,0,0,0,,,0,0,0,,0,,0,0,0,0,,16,7,8,68.8,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
2,,岡部美優,5,■,■,■,■,■,2,0,0,0.0,,0,0,0,,0,,20,0,2,3,1.2,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
3,,黒田夢乃,5,□,□,□,□,□,0,0,0,,,0,0,0,,0,,9,1,0,2,16.7,14,5,3,46.4,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,1
4,,石川綾菜,5,■,■,■,■,■,49,15,5,30.6,3.0,3,0,0,0.0,2,0.4,17,0,0,2,2.9,4,2,1,62.5,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,17
5,,森田紫,5,■,■,■,■,■,41,9,2,22.0,1.8,0,0,0,,1,0.2,19,0,1,5,5.3,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,10
6,,君島彩,1,,,,,□,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
8,,森田実夢,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
9,,岡村真衣,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
10,,金井睦季,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
11,,関根友香,5,■,■,■,■,■,23,7,0,30.4,1.4,0,0,0,,0,,14,0,1,4,5.4,2,1,1,75.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,7
12,,吉田奈未,5,■,■,■,■,■,73,18,3,24.7,3.6,0,0,0,,2,0.4,21,1,0,2,7.1,39,14,11,50.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,21
14,L,鶴ヶ崎佳寿葉,5,●,●,●,●,●,0,0,0,,,0,0,0,,0,,0,0,0,0,,18,14,3,86.1,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
15,,中島優花,5,■,■,■,■,■,65,21,3,32.3,4.2,0,0,0,,1,0.2,6,0,0,2,8.3,28,6,13,44.6,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,22
16,,名原寧音,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
1,,田中瑠奈,4,■,■,■,■,,41,13,2,31.7,3.25,5,0,0,0.0,1,0.25,17,0,2,4,2.9,24,9,9,56.2,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,14
2,L,吉岡みなみ,2,,,〇,〇,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,0
3,,菊地実結,4,■,■,■,■,,31,15,4,48.4,3.75,3,0,2,0.0,2,0.5,13,0,0,3,5.8,21,8,9,59.5,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,17
4,,道下ひなの,4,■,■,■,■,,27,14,2,51.9,3.5,0,0,0,,1,0.25,17,1,0,4,11.8,1,0,1,50.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,16
5,L,栗栖留生,4,●,●,●,●,,0,0,0,,,0,0,0,,0,,0,0,0,0,,17,8,4,58.8,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,0
7,,藤井寧々,4,■,■,■,■,,52,17,1,32.7,4.25,1,0,0,0.0,1,0.25,16,1,4,1,1.6,12,6,2,58.3,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,19
8,,ハンタヴァエヴァンゲリア,1,,,□,,,6,1,0,16.7,1.0,0,0,0,,0,,0,0,0,0,,1,0,0,0.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,1
10,,白岩蘭奈,1,,□,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,1,1,0,100.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,0
11,,正木七海,1,,□,,,,4,1,1,25.0,1.0,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,1
12,,小林知加,3,□,,□,□,,0,0,0,,,0,0,0,,0,,4,1,0,0,25.0,3,2,0,66.7,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,1
13,,清水愛,4,■,■,■,■,,25,5,2,20.0,1.25,1,0,0,0.0,3,0.75,13,0,0,2,3.8,1,0,1,50.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,8
15,,松尾奈津子,4,■,■,■,■,,8,4,0,50.0,1.0,0,0,0,,0,,13,1,2,2,7.7,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,5
17,,伊藤寿奈,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,0
18,,藤原愛,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,0,1,25.0,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,リガーレ仙台,0
1,,杉浦文香,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
2,,小松泉穂,1,,□,,,,0,0,0,,,0,0,0,,0,,4,1,0,0,25.0,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,1
3,,宮田あかり,4,■,■,■,■,,40,14,2,35.0,3.5,1,0,0,0.0,1,0.25,15,0,1,4,5.0,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,15
4,,小澤史苑,4,■,■,■,■,,15,4,0,26.7,1.0,0,0,0,,3,0.75,11,0,0,4,9.1,30,15,9,65.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,7
5,L,佐藤あり紗,4,●,●,●,●,,0,0,0,,,0,0,0,,0,,0,0,0,0,,8,5,1,68.8,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
6,,清和真奈美,4,□,□,□,□,,0,0,0,,,0,0,0,,0,,5,0,0,1,5.0,3,0,2,33.3,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
7,,大貫菜生,4,■,■,■,■,,19,7,2,36.8,1.75,0,0,0,,1,0.25,8,0,1,2,3.1,1,0,1,50.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,8
9,,加藤優奈,4,■,■,■,■,,7,1,0,14.3,0.25,0,0,0,,0,,17,0,2,4,2.9,1,0,0,0.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,1
11,,末永真由,4,■,■,■,■,,53,17,1,32.1,4.25,0,0,0,,1,0.25,13,0,0,4,7.7,5,2,2,60.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,18
12,,江川優貴,2,,,□,□,,4,3,0,75.0,1.5,0,0,0,,1,0.5,2,0,0,0,0.0,2,1,1,75.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,4
13,,加藤彩夏,4,■,■,■,■,,30,8,2,26.7,2.0,1,0,0,0.0,0,,10,0,0,2,5.0,35,15,11,58.6,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,8
14,,鈴木音,2,□,□,,,,0,0,0,,,0,0,0,,0,,1,0,0,0,0.0,1,0,0,0.0,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
15,,鈴木美空,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
16,,柳下夏苗,2,□,,□,,,6,0,0,0.0,,0,0,0,,0,,0,0,0,0,,0,0,0,,642,2022-10-29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修,リガーレ仙台,群馬銀行グリーンウイングス,0
1,,オケケアルメソマチ,3,■,■,■,,,32,8,2,25.0,2.67,6,2,0,33.3,2,0.67,10,0,2,2,0.0,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,10
2,,前田美紅,3,■,■,■,,,42,22,2,52.4,7.33,8,3,0,37.5,0,,17,0,2,6,5.9,45,25,14,71.1,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,22
3,,木村友里,3,■,■,■,,,31,10,0,32.3,3.33,4,0,0,0.0,3,1.0,9,0,0,2,5.6,17,6,9,61.8,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,13
4,,菅原里奈,2,■,■,,,,9,0,1,0.0,,0,0,0,,1,0.5,3,0,0,0,0.0,1,1,0,100.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,1
6,,宮本菜月,1,□,,,,,1,0,0,0.0,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
7,,伊藤摩耶,3,■,■,■,,,24,10,0,41.7,3.33,0,0,0,,1,0.33,7,0,1,2,3.6,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,11
9,,草島華穂,1,,,□,,,0,0,0,,,0,0,0,,0,,1,0,0,0,0.0,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
10,,柳沢紫子,1,,□,,,,5,1,0,20.0,1.0,0,0,0,,0,,6,1,0,3,29.2,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,2
12,,石盛めるも,3,■,■,■,,,1,0,0,0.0,,0,0,0,,0,,15,1,0,3,11.7,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,1
14,,長尾のどか,1,□,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
16,,角田南見,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
17,,有村涼美,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
18,,佐藤菜々美,2,□,,■,,,9,2,1,22.2,1.0,0,0,0,,0,,5,0,0,1,5.0,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,2
19,L,有薗未也美,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,5,2,3,70.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,プレステージ・インターナショナルアランマーレ,リガーレ仙台,0
1,,杉浦文香,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
2,,小松泉穂,1,,□,,,,0,0,0,,,0,0,0,,0,,2,0,0,0,0.0,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
3,,宮田あかり,3,■,■,■,,,39,17,2,43.6,5.67,0,0,0,,0,,16,0,0,2,3.1,2,0,1,25.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,17
4,,小澤史苑,3,■,■,■,,,16,4,0,25.0,1.33,1,0,0,0.0,0,,10,0,0,1,2.5,21,12,5,69.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,4
5,L,佐藤あり紗,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,4,3,0,75.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
6,,清和真奈美,3,□,□,□,,,3,0,0,0.0,,0,0,0,,0,,5,0,0,0,0.0,6,3,1,58.3,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
7,,大貫菜生,2,■,■,,,,13,2,3,15.4,1.0,0,0,0,,3,1.5,5,0,0,0,0.0,1,1,0,100.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,5
9,,加藤優奈,3,■,■,■,,,6,2,0,33.3,0.67,0,0,0,,1,0.33,10,0,1,1,0.0,1,0,0,0.0,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,3
11,,末永真由,3,■,■,■,,,39,11,3,28.2,3.67,0,0,0,,3,1.0,7,0,0,1,3.6,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,14
12,,江川優貴,2,□,,■,,,14,6,1,42.9,3.0,0,0,0,,0,,6,0,1,0,-4.2,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,6
13,,加藤彩夏,3,■,■,■,,,18,3,0,16.7,1.0,1,0,0,0.0,0,,9,0,0,3,8.3,33,15,6,54.5,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,3
14,,鈴木音,1,,,□,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
15,,鈴木美空,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,0
16,,柳下夏苗,2,□,□,,,,3,2,0,66.7,1.0,0,0,0,,0,,0,0,0,0,,0,0,0,,645,2022-10-30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛,リガーレ仙台,プレステージ・インターナショナルアランマーレ,2
1,,田中瑠奈,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,646,2022-10-30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,千葉エンゼルクロス,0
3,,菊地実結,3,■,■,■,,,20,8,1,40.0,2.67,3,0,0,0.0,3,1.0,13,0,2,2,0.0,6,1,3,41.7,646,2022-10-30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,千葉エンゼルクロス,11
4,,道下ひなの,1,,,□,,,2,0,0,0.0,,0,0,0,,0,,0,0,0,0,,0,0,0,,646,2022-10-30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,千葉エンゼルクロス,0
5,L,栗栖留生,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,7,2,1,35.7,646,2022-10-30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修,群馬銀行グリーンウイングス,千葉エンゼルクロス,0
