,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,1,5,33.0,10.0,2.0,30.3,2.0,5.0,2.0,1.0,40.0,2.0,0.4,10.0,0.0,3.0,0.0,-7.5,0.0,0.0,0.0,,752,428.0,0.0,0.0,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,3,2,5.0,0.0,12.0,24.2,20.0
1,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,16,8,95.0,32.0,7.0,33.7,4.0,13.0,4.0,1.0,30.8,5.0,0.62,23.0,1.0,4.0,5.0,5.4,3.0,1.0,0.0,33.3,1503,802.0,0.0,0.0,46.0,49.0,39.0,43.0,50.0,35.0,43.0,35.0,12.0,15.0,190.0,177.0,58,45,51,47,19.0,5,4,0.0,9.0,38.0,26.3,23.1
2,中田唯香,ルートインホテルズブリリアントアリーズ,14,4,19.0,7.0,0.0,36.8,1.75,0.0,0.0,0.0,,0.0,0.0,16.0,2.0,0.0,5.0,20.3,29.0,13.0,4.0,51.7,751,374.0,0.0,0.0,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,0.0,0.0,71.0,95.0,30,25,26,19,0.0,1,3,4.0,0.0,9.0,36.8,
3,伊藤摩耶,プレステージ・インターナショナルアランマーレ,7,5,34.0,7.0,2.0,20.6,1.4,0.0,0.0,0.0,,0.0,0.0,17.0,0.0,0.0,12.0,17.6,1.0,0.0,0.0,0.0,752,428.0,0.0,0.0,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,3,2,5.0,0.0,7.0,14.7,
4,佐藤未羽,ルートインホテルズブリリアントアリーズ,6,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,75.0,751,374.0,0.0,0.0,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,0.0,0.0,71.0,95.0,30,25,26,19,0.0,1,3,4.0,0.0,0.0,0.0,
5,佐藤菜々美,プレステージ・インターナショナルアランマーレ,18,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,752,428.0,0.0,0.0,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,3,2,5.0,0.0,0.0,,
6,前田美紅,プレステージ・インターナショナルアランマーレ,2,3,20.0,12.0,1.0,60.0,4.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,2.0,1.0,-5.0,10.0,6.0,0.0,60.0,752,428.0,0.0,0.0,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,3,2,5.0,0.0,12.0,55.0,
7,古市彩音,群馬銀行グリーンウイングス,12,5,6.0,3.0,0.0,50.0,0.6,0.0,0.0,0.0,,1.0,0.2,9.0,0.0,0.0,1.0,2.8,1.0,0.0,0.0,0.0,1503,802.0,0.0,0.0,46.0,49.0,39.0,43.0,50.0,35.0,43.0,35.0,12.0,15.0,190.0,177.0,58,45,51,47,19.0,5,4,0.0,9.0,4.0,50.0,
8,吉岡みなみ,群馬銀行グリーンウイングス,4,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,0.0,80.0,1503,802.0,0.0,0.0,46.0,49.0,39.0,43.0,50.0,35.0,43.0,35.0,12.0,15.0,190.0,177.0,58,45,51,47,19.0,5,4,0.0,9.0,0.0,,
9,宮本菜月,プレステージ・インターナショナルアランマーレ,6,3,5.0,4.0,0.0,80.0,1.33,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,1.0,8.3,0.0,0.0,0.0,,752,428.0,0.0,0.0,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,3,2,5.0,0.0,4.0,80.0,
