No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
1,,富澤結花,3,□,,□,■,,15.0,2.0,5.0,13.3,0.67,0.0,0.0,0.0,,0.0,,4.0,0.0,2.0,1.0,-6.2,16.0,8.0,2.0,56.2,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,2.0
2,,山村涼香,4,■,■,■,■,,13.0,2.0,1.0,15.4,0.5,0.0,0.0,0.0,,3.0,0.75,9.0,0.0,0.0,1.0,2.8,2.0,1.0,0.0,50.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,5.0
3,,小茂田夏海,4,■,■,■,■,,22.0,3.0,2.0,13.6,0.75,0.0,0.0,0.0,,0.0,,8.0,0.0,2.0,1.0,-3.1,1.0,1.0,0.0,100.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,3.0
5,,張瓈文,1,,□,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
6,,佐藤未羽,2,□,□,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,5.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,75.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
7,,村山美佳,4,■,■,■,■,,56.0,16.0,5.0,28.6,4.0,10.0,2.0,1.0,20.0,1.0,0.25,12.0,0.0,0.0,2.0,4.2,1.0,0.0,1.0,50.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,17.0
8,,横田実穂,4,■,■,■,■,,3.0,2.0,0.0,66.7,0.5,0.0,0.0,0.0,,0.0,,6.0,0.0,3.0,2.0,-4.2,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,2.0
9,,岩本周加,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
10,L,貝塚穂,4,●,●,●,●,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,29.0,13.0,6.0,55.2,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
11,,平原果歩,3,■,■,■,,,29.0,9.0,0.0,31.0,3.0,0.0,0.0,0.0,,1.0,0.33,4.0,0.0,2.0,0.0,-12.5,5.0,2.0,0.0,40.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,10.0
12,,神田さくら,1,,,□,,,3.0,1.0,0.0,33.3,1.0,0.0,0.0,0.0,,0.0,,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,1.0
14,,中田唯香,4,■,■,■,■,,19.0,7.0,0.0,36.8,1.75,0.0,0.0,0.0,,0.0,,16.0,2.0,0.0,5.0,20.3,29.0,13.0,4.0,51.7,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,9.0
18,,黒鳥南,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
23,,田川紘美,3,,□,□,□,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,ルートインホテルズブリリアントアリーズ,群馬銀行グリーンウイングス,,,25.0,20.0,18.0,25.0,18.0,25.0,10.0,25.0,,,71.0,95.0,30,25,26,19,,1:40,1,3,4.0,,0.0
1,,田中瑠奈,1,■,,,,,18.0,2.0,2.0,11.1,2.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,50.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,2.0
2,L,吉岡みなみ,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,0.0
3,,菊地実結,3,,□,□,■,,12.0,8.0,0.0,66.7,2.67,0.0,0.0,0.0,,0.0,,9.0,0.0,0.0,6.0,16.7,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,8.0
4,,道下ひなの,4,■,■,■,■,,20.0,6.0,1.0,30.0,1.5,0.0,0.0,0.0,,0.0,,11.0,1.0,1.0,3.0,13.6,1.0,1.0,0.0,100.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,7.0
5,L,栗栖留生,4,●,●,●,●,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,18.0,12.0,5.0,80.6,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,0.0
6,,古市彩音,2,■,,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,0.0
7,,藤井寧々,4,■,■,■,■,,31.0,12.0,2.0,38.7,3.0,2.0,1.0,0.0,50.0,0.0,,16.0,1.0,2.0,3.0,7.8,11.0,6.0,2.0,63.6,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,13.0
8,,ハンタヴァエヴァンゲリア,3,□,■,■,,,31.0,12.0,2.0,38.7,4.0,3.0,2.0,0.0,66.7,4.0,1.33,6.0,0.0,1.0,2.0,4.2,1.0,1.0,0.0,100.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,16.0
9,,目黒愛梨,1,,,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,1.0,8.3,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,0.0
10,,白岩蘭奈,3,,■,■,■,,21.0,7.0,0.0,33.3,2.33,0.0,0.0,0.0,,0.0,,9.0,0.0,3.0,2.0,-2.8,19.0,9.0,2.0,52.6,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,7.0
12,,小林知加,2,■,□,,,,10.0,2.0,1.0,20.0,1.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,2.0
13,,清水愛,4,■,■,■,■,,9.0,4.0,0.0,44.4,1.0,0.0,0.0,0.0,,2.0,0.5,20.0,0.0,1.0,10.0,11.2,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,6.0
15,,松尾奈津子,4,□,■,■,■,,2.0,1.0,0.0,50.0,0.25,0.0,0.0,0.0,,0.0,,14.0,0.0,1.0,2.0,1.8,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,1.0
18,,藤原愛,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,751,2023-03-25,静岡県,さわやかアリーナ,374.0,13:00,14:49,1:49,北村友香,山尾未来,藤井靖香,岡本幸治,群馬銀行グリーンウイングス,ルートインホテルズブリリアントアリーズ,,,20.0,25.0,25.0,18.0,25.0,18.0,25.0,10.0,,,95.0,71.0,30,25,26,19,,1:40,3,1,,4.0,0.0
1,,オケケアルメソマチ,5,■,■,■,■,■,33.0,10.0,2.0,30.3,2.0,5.0,2.0,1.0,40.0,2.0,0.4,10.0,0.0,3.0,0.0,-7.5,0.0,0.0,0.0,,752,2023-03-26,静岡県,さわやかアリーナ,428.0,13:00,15:12,2:12,三見洋子,水間絵美,藤井靖香,戸塚靖,プレステージ・インターナショナルアランマーレ,群馬銀行グリーンウイングス,,,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,2:00,3,2,5.0,,12.0
2,,前田美紅,3,,,□,■,■,20.0,12.0,1.0,60.0,4.0,0.0,0.0,0.0,,0.0,,5.0,0.0,2.0,1.0,-5.0,10.0,6.0,0.0,60.0,752,2023-03-26,静岡県,さわやかアリーナ,428.0,13:00,15:12,2:12,三見洋子,水間絵美,藤井靖香,戸塚靖,プレステージ・インターナショナルアランマーレ,群馬銀行グリーンウイングス,,,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,2:00,3,2,5.0,,12.0
3,,木村友里,5,■,■,■,■,■,34.0,14.0,3.0,41.2,2.8,0.0,0.0,0.0,,0.0,,12.0,1.0,1.0,3.0,12.5,29.0,18.0,4.0,69.0,752,2023-03-26,静岡県,さわやかアリーナ,428.0,13:00,15:12,2:12,三見洋子,水間絵美,藤井靖香,戸塚靖,プレステージ・インターナショナルアランマーレ,群馬銀行グリーンウイングス,,,24.0,26.0,25.0,14.0,17.0,25.0,25.0,18.0,15.0,12.0,106.0,95.0,28,20,25,28,19.0,2:00,3,2,5.0,,15.0
